league|match_id|player_id|Shot_metrics.distance|Shot_metrics.average_distance|Shot_metrics.shots_on_goal|Shot_metrics.accuracy|Shot_metrics.goals|Shot_metrics.goals_per_attempt|Shot_metrics.shot_time|Shot_metrics.shot_time_period|Shot_metrics.body_part_shots|Pass_metrics.distances|Pass_metrics.success|Pass_metrics.success rate|Pass_metrics.assists|Pass_metrics.num assists|Pass_metrics.key_pass_event|Pass_metrics.key_pass_time|Pass_metrics.key_pass_period|Foul_metrics.fouls_committed|Foul_metrics.fouls_committed_time|Foul_metrics.fouls_committed_period|Foul_metrics.fouls_recieved|Foul_metrics.fouls_recieved_time|Foul_metrics.fouls_recieved_period|Foul_metrics.yellow_cards|Foul_metrics.yellow_cards_time|Foul_metrics.yellow_cards_period|Foul_metrics.red_cards|Foul_metrics.red_cards_time|Foul_metrics.red_cards_period
italy|2575959|8327|[13.88569408 28.7108429  13.13402071]|18.576852562031714|[0 0 0]|0.0|[0 0 0]|0.0|[ 4.1807192  39.19648137 23.90006172]|['1H' '1H' '2H']|['left' 'left' 'right']|"[ 8.91964125  8.022001   16.92077126  8.022001    7.58023746 37.50333319
 20.3691556  13.75       11.16064514 16.38780034 26.87768591 19.17185437
  5.32541078 18.52997572 22.32129029 31.40843836 16.89644933 26.26789866
  9.58592719 18.44756081 23.2165889   8.05744997 40.7       ]"|[1 1 1 1 0 1 1 1 1 0 1 1 0 0 0 1 1 0 0 1 1 1 0]|0.6521739130434783|[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]|0|['Smart pass' 'Cross']|[41.76188785  6.54708337]|['1H' '2H']|0|[]|[]|0|[]|[]|0|[]|[]|0|[]|[]
italy|2575959|20438|[]|nan|[]|0.0|0|0.0|[]|[]|[]|"[21.66454477 13.02075267  5.36400037 30.20496648 31.94276131 60.39000331
 32.65826848 48.59189747 24.88920449 59.13408493 13.17013667 28.50438563
 17.99506877 23.07276533 12.44548111 40.05196624 34.72880649 24.06600299
 18.76006397 30.621112   39.66386895 22.01272359 39.04663878 38.8753135
 22.77284567 18.79494613 27.75       25.72566812 44.4083607  20.03596766
 21.44621179 27.83707061 23.86650372 21.96298022 19.5         6.85
 38.65      ]"|[1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 0 0 0 1 0 1 1 0 1 1 1 0 1 1 1 0]|0.7027027027027027|[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]|0|[]|[]|[]|2|[34.27093285 25.2537788 ]|['1H' '2H']|1|[27.765153516666665]|['2H']|0|[]|[]|0|[]|[]
italy|2575959|8306|[]|nan|[]|0.0|0|0.0|[]|[]|[]|"[ 7.5        26.4        13.69525465  9.26498786 17.74091317 31.01548001
  9.06697303 11.85326959 43.10745295 67.11676393 32.88012317 53.22226977
 16.38780034  4.94191259  8.26377638 15.56606887 15.56349896 26.38825496
 14.47592829  6.83904233 15.56606887 15.27457037 19.07151017  7.58023746
  8.70703738 37.52012793  1.5        25.37439654 10.01299156 27.95840661
 33.97557947  8.022001   24.61483293 16.19729916 20.15198501 17.83704011
 11.30364985 16.51703666 14.2126704  54.58454452 13.5        46.6691547
 17.8392825  17.04142013 10.34456379 22.75543891 18.44756081 39.19952168
 34.35363882 35.08379255 24.84028985 60.66712454]"|"[1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0
 1 1 0 1 1 1 1 1 0 1 0 1 1 1 0]"|0.8461538461538461|"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"|0|['Cross']|[11.68397147]|['1H']|1|[8.94019817]|['1H']|2|[2.0610743333333326, 7.733088983333333]|['1H', '1H']|0|[]|[]|0|[]|[]
italy|2575959|86366|[]|nan|[]|0.0|0|0.0|[]|[]|[]|"[ 7.1063352  35.53167601 34.61506175 12.75       18.75       26.61620747
 54.68091532 36.7664589  21.02878979 41.65708223 16.92077126 55.94827969
 11.38463877 21.66454477 49.77763052 23.48302578  5.55090083 15.08011936
 16.14744562 18.19484817  8.92692556 26.26789866  7.58023746 52.1913786
 31.554754   21.70829335 26.75556017 32.65       20.85215816 19.86133178
 40.83944172  8.19390017 21.86915636 46.73973149 42.18000119 29.03708835
 39.08004606 35.48182633 25.7208573  35.85348658 19.77725967 18.04168784
 26.82000186  9.99512381]"|"[1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 0]"|0.8863636363636364|"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]"|0|[]|[]|[]|1|[0.56449183]|['1H']|3|[2.4062273833333316, 9.522731033333336, 38.30023923333333]|['2H', '2H', '2H']|0|[]|[]|0|[]|[]
italy|2575959|20404|[]|nan|[]|0.0|0|0.0|[]|[]|[]|"[14.29239308 26.63719204 12.         29.3820098  68.30060395 21.45600149
 28.63930865 25.12374375  5.69231939 13.2849539  18.19484817 20.14795275
  8.8319024  25.52371446 25.7161914  13.53661701 14.37845611 12.52996409
 12.1        26.09027597 12.12322152 30.5        18.66788686 22.32129029
 29.38575335 18.03357979 21.07065495 29.78942765 13.2        12.9384118
 22.40652807 42.28087629 28.32141416  4.63249393 24.23654266 21.2337585
 36.41771547 13.48786492]"|"[1 1 0 0 1 0 0 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1]"|0.8157894736842105|"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]"|0|"['Simple pass' 'Simple pass' 'Head pass' 'Simple pass' 'High pass'
 'Simple pass' 'Simple pass' 'Launch' 'Simple pass' 'Simple pass'
 'High pass' 'Simple pass' 'Simple pass' 'Simple pass' 'Simple pass'
 'Simple pass' 'Simple pass' 'Head pass' 'Simple pass' 'High pass'
 'Simple pass' 'Simple pass' 'Simple pass' 'Simple pass' 'Simple pass'
 'Simple pass' 'Simple pass' 'Simple pass' 'Simple pass' 'Simple pass'
 'Simple pass' 'Simple pass' 'Simple pass' 'Simple pass' 'Simple pass'
 'Simple pass' 'Simple pass' 'Simple pass']"|"[ 1.96644852  6.86748413  8.3217581   9.21031362 13.78042112 14.3788895
 15.64043557 16.68256328 16.87663935 20.83486555 20.96717148 22.34975253
 24.25834122 24.3168747  24.71410998 25.4968285  27.24563655 34.21356468
 35.29566505 37.84038702 43.58372648  2.15752977  2.95887703  4.01888073
  7.56339403 11.25348443 13.09916185 13.24793438 13.7441488  14.12988982
 14.2519452  19.99576872 20.54813972 21.83490885 22.52458133 25.42093563
 25.51959855 25.81568597]"|"['1H' '1H' '1H' '1H' '1H' '1H' '1H' '1H' '1H' '1H' '1H' '1H' '1H' '1H'
 '1H' '1H' '1H' '1H' '1H' '1H' '1H' '2H' '2H' '2H' '2H' '2H' '2H' '2H'
 '2H' '2H' '2H' '2H' '2H' '2H' '2H' '2H' '2H' '2H']"|3|[ 7.73308898 36.81400282 21.37655438]|['1H' '1H' '2H']|0|[]|[]|0|[]|[]|0|[]|[]
italy|2575959|246175|[29.56704246 16.74096771 16.14225821 13.22128965]|18.917889508200595|[1 0 0 1]|0.5|[0 0 0 0]|0.0|[24.37112795 27.77091292 35.35011143  3.12006492]|['1H' '1H' '1H' '2H']|['left' 'left' 'head/body' 'right']|"[33.91094956 23.16246964 16.77050983 25.61488825 62.291733   18.93911297
  8.69540108 24.75      ]"|[0 1 1 0 1 1 1 0]|0.625|[0 0 0 0 0 0 0 0]|0|['Cross' 'Smart pass']|[35.11868798  6.3202958 ]|['1H' '2H']|0|[]|[]|3|[10.733680066666667, 20.331524016666666, 21.9204158]|['1H', '1H', '1H']|0|[]|[]|0|[]|[]
italy|2575959|20518|[]|nan|[]|0.0|0|0.0|[]|[]|[]|"[12.07983858 19.23382437  8.05744997 36.5253679  12.52247979 58.15573918
 14.91383586  9.92836845 19.99024762 19.85673689 10.34456379  9.88382517
 18.59462288 22.41182723 27.79010615 26.4425793  27.30041208  6.29364759
 11.84440796 31.75928998 33.62870797 22.8035085  19.43765675 30.3
 11.6216393  39.84623571 13.31352696 11.10180166 20.98147993 14.25798022]"|[1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]|0.9|[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]|0|[]|[]|[]|3|[10.73368007 20.33152402 21.9204158 ]|['1H' '1H' '1H']|0|[]|[]|0|[]|[]|0|[]|[]
italy|2575959|20879|[32.30638482]|32.306384817865336|[0]|0.0|[0]|0.0|[10.55962957]|['1H']|['right']|"[44.05749085 37.09747296 44.74150757 26.62818056 35.31858576 17.34365878
 10.24707275 33.91094956  7.59094856 18.13394607 22.52687284 11.57626883
 30.08055851 23.58076547  9.08308868 18.19484817 12.07983858 14.47592829
 66.11021101  1.3313527  42.05757958 16.92077126 15.97623235 32.91842189
 34.61722837 23.89712326 32.30437277  7.24982758 38.39208903  8.32301027
 14.611297  ]"|[1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1]|0.8387096774193549|[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]|0|['Cross' 'Smart pass' 'Cross']|[ 8.26216332 20.45595207 20.8624057 ]|['2H' '2H' '2H']|2|[38.30023923 44.27765168]|['2H' '2H']|2|[0.5644918333333332, 29.684697133333334]|['1H', '1H']|1|[44.27765168]|['2H']|0|[]|[]
italy|2575959|3475|[]|nan|[]|0.0|0|0.0|[]|[]|[]|"[53.87633989 22.54046362 35.34204295  6.          3.90800461  7.73643975
  3.90800461 10.65082156 18.63893774 23.58966935 14.19894362 12.18862174
  8.92692556 39.13058267  6.64247695 13.2        10.01798383 10.55746182
  8.91852006 18.87862548  7.51348787 10.72800075 14.57737974 39.06161799
 25.39985236 15.68948693 11.10180166 16.27029502]"|[0 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 0 1 0 1 0 1 1 1 1]|0.75|[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]|0|['Cross' 'Smart pass' 'Smart pass' 'Cross' 'Cross']|[ 0.95521732 14.89754988 37.95408417 18.50718577 21.22307907]|['1H' '1H' '1H' '2H' '2H']|0|[]|[]|5|[26.645562416666667, 36.814002816666665, 8.000044966666662, 21.37655438333333, 22.954782549999997]|['1H', '1H', '2H', '2H', '2H']|0|[]|[]|0|[]|[]
italy|2575959|21077|[23.01222501 37.0012162  24.1       ]|28.03781373605484|[1 0 0]|0.3333333333333333|[0 0 0]|0.0|[ 3.23207132 28.76444967 25.92748588]|['1H' '1H' '2H']|['right' 'right' 'left']|"[13.8554141  19.76765034 17.35144086 20.30492551 16.2788206   8.53829608
  2.32432786  8.69540108 16.53662602 13.94596716 21.02878979  9.75
 39.40380692 19.66570619 26.37972706 17.99506877 27.01184925  3.72021505
 11.40175425 12.52996409 25.7161914   8.8         3.19530906 18.7
 27.0174018  36.6        16.52187943 35.08379255 17.07659217 18.71503406
 29.43637206 21.86098122 10.5         8.53829608 18.7        38.18494468
 32.39401951 32.65826848]"|"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 0 0
 1]"|0.8157894736842105|"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]"|0|['Cross' 'Cross' 'Cross' 'Cross' 'Cross' 'Cross']|[36.43089208 16.62499483 17.23211592 33.34338937 41.2237827  49.54836445]|['1H' '2H' '2H' '2H' '2H' '2H']|0|[]|[]|4|[17.244808350000003, 34.27093285, 40.16840738333334, 45.8731352]|['1H', '1H', '1H', '2H']|0|[]|[]|0|[]|[]
