,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Manuel Neuer,"€ 276,077","€ 14,356,000","€ 15,358,891",K,30,Germany,Bayern Munich,Bundesliga,2016-2017
2,Thomas Müller,"€ 275,154","€ 14,308,000","€ 15,307,538",F,26,Germany,Bayern Munich,Bundesliga,2016-2017
3,Robert Lewandowski,"€ 275,154","€ 14,308,000","€ 15,307,538",F,27,Poland,Bayern Munich,Bundesliga,2016-2017
4,Jérôme Boateng,"€ 220,115","€ 11,446,000","€ 12,245,602",D,27,Germany,Bayern Munich,Bundesliga,2016-2017
5,Franck Ribéry,"€ 220,115","€ 11,446,000","€ 12,245,602",F,33,France,Bayern Munich,Bundesliga,2016-2017
6,Arturo Vidal,"€ 217,250","€ 11,297,000","€ 12,086,193",M,29,Chile,Bayern Munich,Bundesliga,2016-2017
7,Xabi Alonso,"€ 184,058","€ 9,571,000","€ 10,239,617",M,34,Spain,Bayern Munich,Bundesliga,2016-2017
8,David Alaba,"€ 183,423","€ 9,538,000","€ 10,204,312",D,24,Austria,Bayern Munich,Bundesliga,2016-2017
9,Philipp Lahm,"€ 183,423","€ 9,538,000","€ 10,204,312",D,32,Germany,Bayern Munich,Bundesliga,2016-2017
10,Mats Hummels,"€ 183,423","€ 9,538,000","€ 10,204,312",D,27,Germany,Bayern Munich,Bundesliga,2016-2017
11,Thiago,"€ 165,654","€ 8,614,000","€ 9,215,762",M,25,Spain,Bayern Munich,Bundesliga,2016-2017
12,Arjen Robben,"€ 128,404","€ 6,677,000","€ 7,143,446",F,32,Netherlands,Bayern Munich,Bundesliga,2016-2017
13,Douglas Costa,"€ 110,442","€ 5,743,000","€ 6,144,198",F,25,Brazil,Bayern Munich,Bundesliga,2016-2017
14,Javi Martínez,"€ 110,058","€ 5,723,000","€ 6,122,801",M,27,Spain,Bayern Munich,Bundesliga,2016-2017
15,Rafinha,"€ 91,712","€ 4,769,000","€ 5,102,156",D,30,Brazil,Bayern Munich,Bundesliga,2016-2017
16,Holger Badstuber,"€ 73,365","€ 3,815,000","€ 4,081,511",D,27,Germany,Bayern Munich,Bundesliga,2016-2017
17,Juan Bernat,"€ 46,019","€ 2,393,000","€ 2,560,172",D,23,Spain,Bayern Munich,Bundesliga,2016-2017
18,Sven Ulreich,"€ 46,019","€ 2,393,000","€ 2,560,172",K,27,Germany,Bayern Munich,Bundesliga,2016-2017
19,Joshua Kimmich,"€ 27,615","€ 1,436,000","€ 1,536,317",D,21,Germany,Bayern Munich,Bundesliga,2016-2017
20,Renato Sanches,"€ 27,615","€ 1,436,000","€ 1,536,317",M,18,Portugal,Bayern Munich,Bundesliga,2016-2017
21,Tom Starke,"€ 27,519","€ 1,431,000","€ 1,530,968",K,35,Germany,Bayern Munich,Bundesliga,2016-2017
22,Kingsley Coman,"€ 25,827","€ 1,343,000","€ 1,436,820",F,20,France,Bayern Munich,Bundesliga,2016-2017
23,Nicolas Feldhahn,"€ 2,154","€ 112,000","€ 119,824",D,29,Germany,Bayern Munich,Bundesliga,2016-2017
24,Erdal Öztürk,"€ 1,231","€ 64,000","€ 68,471",M,20,Turkey,Bayern Munich,Bundesliga,2016-2017
25,Fabian Benko,"€ 1,154","€ 60,000","€ 64,192",M,18,Croatia,Bayern Munich,Bundesliga,2016-2017
26,Niklas Dorsch,"€ 1,154","€ 60,000","€ 64,192",M,18,Germany,Bayern Munich,Bundesliga,2016-2017
27,Leo Weinkauf,€ 769,"€ 40,000","€ 42,794",K,19,Germany,Bayern Munich,Bundesliga,2016-2017
28,Raphael Obermair,€ 577,"€ 30,000","€ 32,096",M,20,Germany,Bayern Munich,Bundesliga,2016-2017
29,Marco Friedl,€ 481,"€ 25,000","€ 26,746",D,18,Austria,Bayern Munich,Bundesliga,2016-2017
30,Julian Green,€ 0,€ 0,€ 0,M,21,United States,Bayern Munich,Bundesliga,2016-2017
31,Gianluca Gaudino,€ 0,€ 0,€ 0,M,19,Germany,Bayern Munich,Bundesliga,2016-2017
32,Medhi Benatia,€ 0,€ 0,€ 0,D,29,Morocco,Bayern Munich,Bundesliga,2016-2017
33,Felix Götze,€ 0,€ 0,€ 0,M,18,Germany,Bayern Munich,Bundesliga,2016-2017
