,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Sidney Sam,"€ 73,615","€ 3,828,000","€ 4,095,419",F,28,Germany,Darmstadt,Bundesliga,2016-2017
2,Sven Schipplock,"€ 14,346","€ 746,000","€ 798,115",F,27,Germany,Darmstadt,Bundesliga,2016-2017
3,Artem Fedetskyi,"€ 12,846","€ 668,000","€ 714,666",D,31,Ukraine,Darmstadt,Bundesliga,2016-2017
4,Michael Esser,"€ 12,769","€ 664,000","€ 710,386",K,28,Germany,Darmstadt,Bundesliga,2016-2017
5,Peter Niemeyer,"€ 12,538","€ 652,000","€ 697,548",M,32,Germany,Darmstadt,Bundesliga,2016-2017
6,Mario Vrancic,"€ 12,154","€ 632,000","€ 676,151",M,27,Bosnia-Herzegovina,Darmstadt,Bundesliga,2016-2017
7,Marcel Heller,"€ 12,115","€ 630,000","€ 674,011",M,30,Germany,Darmstadt,Bundesliga,2016-2017
8,Jérôme Gondorf,"€ 11,442","€ 595,000","€ 636,566",M,28,Germany,Darmstadt,Bundesliga,2016-2017
9,Alexander Milosevic,"€ 10,827","€ 563,000","€ 602,330",D,24,Sweden,Darmstadt,Bundesliga,2016-2017
10,Jan Rosenthal,"€ 9,558","€ 497,000","€ 531,720",F,30,Germany,Darmstadt,Bundesliga,2016-2017
11,Terrence Boyd,"€ 9,192","€ 478,000","€ 511,392",F,25,United States,Darmstadt,Bundesliga,2016-2017
12,Immanuel Höhn,"€ 8,769","€ 456,000","€ 487,856",D,24,Germany,Darmstadt,Bundesliga,2016-2017
13,Dominik Stroh-Engel,"€ 8,615","€ 448,000","€ 479,297",F,30,Germany,Darmstadt,Bundesliga,2016-2017
14,Markus Steinhöfer,"€ 8,135","€ 423,000","€ 452,550",D,30,Germany,Darmstadt,Bundesliga,2016-2017
15,Fabian Holland,"€ 8,135","€ 423,000","€ 452,550",D,25,Germany,Darmstadt,Bundesliga,2016-2017
16,Wilson Kamavuaka,"€ 8,135","€ 423,000","€ 452,550",M,26,Democratic Republic of Congo,Darmstadt,Bundesliga,2016-2017
17,Hamit Altintop,"€ 8,135","€ 423,000","€ 452,550",M,33,Turkey,Darmstadt,Bundesliga,2016-2017
18,Patrick Banggaard,"€ 8,135","€ 423,000","€ 452,550",D,22,Denmark,Darmstadt,Bundesliga,2016-2017
19,Denys Oliynyk,"€ 8,135","€ 423,000","€ 452,550",F,29,Ukraine,Darmstadt,Bundesliga,2016-2017
20,Antonio Colak,"€ 7,692","€ 400,000","€ 427,943",F,22,Croatia,Darmstadt,Bundesliga,2016-2017
21,Benjamin Gorka,"€ 6,654","€ 346,000","€ 370,171",D,32,Germany,Darmstadt,Bundesliga,2016-2017
22,Daniel Heuer Fernandes,"€ 5,519","€ 287,000","€ 307,049",K,23,Portugal,Darmstadt,Bundesliga,2016-2017
23,Sandro Sirigu,"€ 4,788","€ 249,000","€ 266,395",D,27,Germany,Darmstadt,Bundesliga,2016-2017
24,Leon Guwara,"€ 2,385","€ 124,000","€ 132,662",D,20,Germany,Darmstadt,Bundesliga,2016-2017
25,Felix Platte,"€ 1,904","€ 99,000","€ 105,916",F,20,Germany,Darmstadt,Bundesliga,2016-2017
26,Yannick Stark,€ 0,€ 0,€ 0,M,25,Germany,Darmstadt,Bundesliga,2016-2017
27,Änis Ben-Hatira,€ 0,€ 0,€ 0,M,27,Tunisia,Darmstadt,Bundesliga,2016-2017
28,Aytac Sulu,€ 0,€ 0,€ 0,D,30,Turkey,Darmstadt,Bundesliga,2016-2017
29,Can Luka Aydogan,€ 0,€ 0,€ 0,D,17,Germany,Darmstadt,Bundesliga,2016-2017
30,Daniel Thur,€ 0,€ 0,€ 0,D,18,Germany,Darmstadt,Bundesliga,2016-2017
31,Florian Jungwirth,€ 0,€ 0,€ 0,M,27,Germany,Darmstadt,Bundesliga,2016-2017
32,Igor Berezovskyi,€ 0,€ 0,€ 0,K,25,Ukraine,Darmstadt,Bundesliga,2016-2017
33,Johannes Wolff,€ 0,€ 0,€ 0,D,17,Germany,Darmstadt,Bundesliga,2016-2017
34,Júnior Díaz,€ 0,€ 0,€ 0,D,32,Costa Rica,Darmstadt,Bundesliga,2016-2017
35,László Kleinheisler,€ 0,€ 0,€ 0,M,22,Hungary,Darmstadt,Bundesliga,2016-2017
36,Liam Fisch,€ 0,€ 0,€ 0,F,17,Germany,Darmstadt,Bundesliga,2016-2017
37,Roman Bezjak,€ 0,€ 0,€ 0,F,27,Slovenia,Darmstadt,Bundesliga,2016-2017
38,Silas Zehnder,€ 0,€ 0,€ 0,D,17,Germany,Darmstadt,Bundesliga,2016-2017
39,Victor Obinna,€ 0,€ 0,€ 0,F,29,Nigeria,Darmstadt,Bundesliga,2016-2017
