,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Darío Lezcano,"€ 19,154","€ 996,000","€ 1,065,579",F,26,Paraguay,Ingolstadt,Bundesliga,2016-2017
2,Marcel Tisserand,"€ 14,346","€ 746,000","€ 798,115",D,23,Democratic Republic of Congo,Ingolstadt,Bundesliga,2016-2017
3,Roger,"€ 14,346","€ 746,000","€ 798,115",M,30,Brazil,Ingolstadt,Bundesliga,2016-2017
4,Robert Leipertz,"€ 14,346","€ 746,000","€ 798,115",F,23,Germany,Ingolstadt,Bundesliga,2016-2017
5,Mathew Leckie,"€ 14,346","€ 746,000","€ 798,115",F,25,Australia,Ingolstadt,Bundesliga,2016-2017
6,Florent Hadergjonaj,"€ 14,346","€ 746,000","€ 798,115",D,21,Kosovo,Ingolstadt,Bundesliga,2016-2017
7,Markus Suttner,"€ 14,346","€ 746,000","€ 798,115",D,29,Austria,Ingolstadt,Bundesliga,2016-2017
8,Marvin Matip,"€ 11,962","€ 622,000","€ 665,452",D,30,Cameroon,Ingolstadt,Bundesliga,2016-2017
9,Tobias Levels,"€ 9,558","€ 497,000","€ 531,720",D,29,Germany,Ingolstadt,Bundesliga,2016-2017
10,Anthony Jung,"€ 9,558","€ 497,000","€ 531,720",D,24,Germany,Ingolstadt,Bundesliga,2016-2017
11,Lukas Hinterseer,"€ 9,558","€ 497,000","€ 531,720",F,25,Austria,Ingolstadt,Bundesliga,2016-2017
12,Martin Hansen,"€ 9,558","€ 497,000","€ 531,720",K,26,Denmark,Ingolstadt,Bundesliga,2016-2017
13,Romain Brégerie,"€ 9,558","€ 497,000","€ 531,720",D,29,France,Ingolstadt,Bundesliga,2016-2017
14,Sonny Kittel,"€ 9,558","€ 497,000","€ 531,720",M,23,Germany,Ingolstadt,Bundesliga,2016-2017
15,Pascal Groß,"€ 8,135","€ 423,000","€ 452,550",M,25,Germany,Ingolstadt,Bundesliga,2016-2017
16,Alfredo Morales,"€ 8,135","€ 423,000","€ 452,550",M,26,United States,Ingolstadt,Bundesliga,2016-2017
17,Moritz Hartmann,"€ 8,135","€ 423,000","€ 452,550",F,30,Germany,Ingolstadt,Bundesliga,2016-2017
18,Almog Cohen,"€ 8,135","€ 423,000","€ 452,550",M,27,Israel,Ingolstadt,Bundesliga,2016-2017
19,Max Christiansen,"€ 4,788","€ 249,000","€ 266,395",M,19,Germany,Ingolstadt,Bundesliga,2016-2017
20,Stefan Lex,"€ 4,308","€ 224,000","€ 239,648",F,26,Germany,Ingolstadt,Bundesliga,2016-2017
21,Fabijan Buntic,"€ 2,558","€ 133,000","€ 142,291",K,19,Croatia,Ingolstadt,Bundesliga,2016-2017
22,Maurice Multhaup,"€ 1,904","€ 99,000","€ 105,916",M,19,Germany,Ingolstadt,Bundesliga,2016-2017
23,Giuseppe Leo,"€ 1,788","€ 93,000","€ 99,497",D,21,Germany,Ingolstadt,Bundesliga,2016-2017
24,Nico Rinderknecht,€ 808,"€ 42,000","€ 44,934",M,18,Germany,Ingolstadt,Bundesliga,2016-2017
25,Christian Ortag,€ 731,"€ 38,000","€ 40,655",K,21,Germany,Ingolstadt,Bundesliga,2016-2017
26,Thomas Pledl,€ 0,€ 0,€ 0,M,22,Germany,Ingolstadt,Bundesliga,2016-2017
27,Kerem Bülbül,€ 0,€ 0,€ 0,M,21,Germany,Ingolstadt,Bundesliga,2016-2017
28,Lukas Gerlspeck,€ 0,€ 0,€ 0,D,17,Germany,Ingolstadt,Bundesliga,2016-2017
29,Elias Kachunga,€ 0,€ 0,€ 0,F,24,Democratic Republic of Congo,Ingolstadt,Bundesliga,2016-2017
30,Örjan Nyland,€ 0,€ 0,€ 0,K,25,Norway,Ingolstadt,Bundesliga,2016-2017
31,Hauke Wahl,€ 0,€ 0,€ 0,D,22,Germany,Ingolstadt,Bundesliga,2016-2017
32,Patrick Sussek,€ 0,€ 0,€ 0,M,16,Germany,Ingolstadt,Bundesliga,2016-2017
