,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Jonas Hector,"€ 45,846","€ 2,384,000","€ 2,550,543",D,26,Germany,Koln,Bundesliga,2016-2017
2,Anthony Modeste,"€ 43,846","€ 2,280,000","€ 2,439,278",F,28,France,Koln,Bundesliga,2016-2017
3,Neven Subotic,"€ 36,808","€ 1,914,000","€ 2,047,709",D,27,Germany,Koln,Bundesliga,2016-2017
4,Leonardo Bittencourt,"€ 27,519","€ 1,431,000","€ 1,530,968",M,22,Germany,Koln,Bundesliga,2016-2017
5,Christian Clemens,"€ 27,519","€ 1,431,000","€ 1,530,968",M,24,Germany,Koln,Bundesliga,2016-2017
6,Timo Horn,"€ 27,519","€ 1,431,000","€ 1,530,968",K,23,Germany,Koln,Bundesliga,2016-2017
7,Marco Höger,"€ 18,346","€ 954,000","€ 1,020,645",M,26,Germany,Koln,Bundesliga,2016-2017
8,Dominic Maroh,"€ 18,346","€ 954,000","€ 1,020,645",D,29,Slovenia,Koln,Bundesliga,2016-2017
9,Milos Jojic,"€ 18,346","€ 954,000","€ 1,020,645",M,24,Serbia,Koln,Bundesliga,2016-2017
10,Konstantin Rausch,"€ 14,673","€ 763,000","€ 816,302",D,26,Russia,Koln,Bundesliga,2016-2017
11,Simon Zoller,"€ 14,673","€ 763,000","€ 816,302",F,25,Germany,Koln,Bundesliga,2016-2017
12,Dominique Heintz,"€ 14,673","€ 763,000","€ 816,302",D,22,Germany,Koln,Bundesliga,2016-2017
13,Matthias Lehmann,"€ 14,673","€ 763,000","€ 816,302",M,33,Germany,Koln,Bundesliga,2016-2017
14,Artjoms Rudnevs,"€ 14,673","€ 763,000","€ 816,302",F,28,Latvia,Koln,Bundesliga,2016-2017
15,Marcel Risse,"€ 14,673","€ 763,000","€ 816,302",M,26,Germany,Koln,Bundesliga,2016-2017
16,Pawel Olkowski,"€ 11,000","€ 572,000","€ 611,959",D,26,Poland,Koln,Bundesliga,2016-2017
17,Thomas Kessler,"€ 7,327","€ 381,000","€ 407,616",K,30,Germany,Koln,Bundesliga,2016-2017
18,Marcel Hartel,"€ 5,500","€ 286,000","€ 305,980",F,20,Germany,Koln,Bundesliga,2016-2017
19,Salih Özcan,"€ 4,308","€ 224,000","€ 239,648",M,18,Germany,Koln,Bundesliga,2016-2017
20,Lukas Klünter,"€ 3,673","€ 191,000","€ 204,343",D,20,Germany,Koln,Bundesliga,2016-2017
21,Sven Müller,"€ 1,827","€ 95,000","€ 101,637",K,20,Germany,Koln,Bundesliga,2016-2017
22,Matthias Hamrol,€ 731,"€ 38,000","€ 40,655",K,22,Germany,Koln,Bundesliga,2016-2017
23,Sven Bacher,€ 731,"€ 38,000","€ 40,655",K,27,Germany,Koln,Bundesliga,2016-2017
24,Birk Risa,€ 462,"€ 24,000","€ 25,677",D,18,Norway,Koln,Bundesliga,2016-2017
25,Hikmet Ciftci,€ 0,€ 0,€ 0,M,18,Turkey,Koln,Bundesliga,2016-2017
26,Filip Mladenovic,€ 0,€ 0,€ 0,D,24,Serbia,Koln,Bundesliga,2016-2017
27,Mergim Mavraj,€ 0,€ 0,€ 0,D,30,Albania,Koln,Bundesliga,2016-2017
28,Yuya Osako,€ 0,€ 0,€ 0,F,26,Japan,Koln,Bundesliga,2016-2017
29,Serhou Guirassy,€ 0,€ 0,€ 0,F,20,France,Koln,Bundesliga,2016-2017
30,Frederik Sörensen,€ 0,€ 0,€ 0,D,24,Denmark,Koln,Bundesliga,2016-2017
