,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Yunus Malli,"€ 82,538","€ 4,292,000","€ 4,591,833",M,24,Turkey,Mainz,Bundesliga,2016-2017
2,André Ramalho,"€ 27,615","€ 1,436,000","€ 1,536,317",D,24,Brazil,Mainz,Bundesliga,2016-2017
3,Fabian Frei,"€ 27,615","€ 1,436,000","€ 1,536,317",M,27,Switzerland,Mainz,Bundesliga,2016-2017
4,Christian Clemens,"€ 27,519","€ 1,431,000","€ 1,530,968",M,24,Germany,Mainz,Bundesliga,2016-2017
5,Jhon Córdoba,"€ 22,019","€ 1,145,000","€ 1,224,988",F,23,Colombia,Mainz,Bundesliga,2016-2017
6,Pablo de Blasis,"€ 14,731","€ 766,000","€ 819,512",F,28,Argentina,Mainz,Bundesliga,2016-2017
7,Danny Latza,"€ 14,346","€ 746,000","€ 798,115",M,26,Germany,Mainz,Bundesliga,2016-2017
8,Levin Öztunali,"€ 14,346","€ 746,000","€ 798,115",M,20,Germany,Mainz,Bundesliga,2016-2017
9,Florian Niederlechner,"€ 14,346","€ 746,000","€ 798,115",F,25,Germany,Mainz,Bundesliga,2016-2017
10,Giulio Donati,"€ 14,346","€ 746,000","€ 798,115",D,26,Italy,Mainz,Bundesliga,2016-2017
11,Stefan Bell,"€ 14,346","€ 746,000","€ 798,115",D,24,Germany,Mainz,Bundesliga,2016-2017
12,Robin Quaison,"€ 14,346","€ 746,000","€ 798,115",F,22,Sweden,Mainz,Bundesliga,2016-2017
13,Jonas Lössl,"€ 14,346","€ 746,000","€ 798,115",K,27,Denmark,Mainz,Bundesliga,2016-2017
14,Niko Bungert,"€ 14,346","€ 746,000","€ 798,115",D,29,Germany,Mainz,Bundesliga,2016-2017
15,Daniel Brosinski,"€ 12,846","€ 668,000","€ 714,666",D,27,Germany,Mainz,Bundesliga,2016-2017
16,Emil Berggreen,"€ 9,558","€ 497,000","€ 531,720",F,23,Denmark,Mainz,Bundesliga,2016-2017
17,Jean-Philippe Gbamin,"€ 9,558","€ 497,000","€ 531,720",M,20,Cote d'Ivoire,Mainz,Bundesliga,2016-2017
18,Gerrit Holtmann,"€ 9,173","€ 477,000","€ 510,323",F,21,Germany,Mainz,Bundesliga,2016-2017
19,Suat Serdar,"€ 9,173","€ 477,000","€ 510,323",M,19,Germany,Mainz,Bundesliga,2016-2017
20,Gaëtan Bussmann,"€ 8,135","€ 423,000","€ 452,550",D,25,France,Mainz,Bundesliga,2016-2017
21,Leon Balogun,"€ 8,135","€ 423,000","€ 452,550",D,28,Nigeria,Mainz,Bundesliga,2016-2017
22,Karim Onisiwo,"€ 8,135","€ 423,000","€ 452,550",F,24,Austria,Mainz,Bundesliga,2016-2017
23,Besar Halimi,"€ 7,654","€ 398,000","€ 425,804",M,21,Kosovo,Mainz,Bundesliga,2016-2017
24,Philipp Klement,"€ 4,308","€ 224,000","€ 239,648",M,23,Germany,Mainz,Bundesliga,2016-2017
25,Devante Parker,"€ 4,308","€ 224,000","€ 239,648",F,20,Germany,Mainz,Bundesliga,2016-2017
26,Alexander Hack,"€ 2,865","€ 149,000","€ 159,409",D,22,Germany,Mainz,Bundesliga,2016-2017
27,Aaron Seydel,"€ 1,904","€ 99,000","€ 105,916",F,20,Germany,Mainz,Bundesliga,2016-2017
28,Mounir Bouziane,"€ 1,904","€ 99,000","€ 105,916",F,25,France,Mainz,Bundesliga,2016-2017
29,Jannik Huth,"€ 1,904","€ 99,000","€ 105,916",K,22,Germany,Mainz,Bundesliga,2016-2017
30,Marin Sverko,"€ 1,096","€ 57,000","€ 60,982",D,18,Croatia,Mainz,Bundesliga,2016-2017
31,Florian Müller,€ 808,"€ 42,000","€ 44,934",K,18,Germany,Mainz,Bundesliga,2016-2017
32,Pierre Bengtsson,€ 0,€ 0,€ 0,D,28,Sweden,Mainz,Bundesliga,2016-2017
33,Lukas Watkowiak,€ 0,€ 0,€ 0,K,20,Germany,Mainz,Bundesliga,2016-2017
34,Robin Zentner,€ 0,€ 0,€ 0,K,21,Germany,Mainz,Bundesliga,2016-2017
35,Jairo Samperio,€ 0,€ 0,€ 0,F,22,Spain,Mainz,Bundesliga,2016-2017
36,Todor Nedelev,€ 0,€ 0,€ 0,F,23,Bulgaria,Mainz,Bundesliga,2016-2017
37,Yoshinori Muto,€ 0,€ 0,€ 0,F,23,Japan,Mainz,Bundesliga,2016-2017
38,José Rodríguez,€ 0,€ 0,€ 0,M,21,Spain,Mainz,Bundesliga,2016-2017
39,Bojan Krkic,€ 0,€ 0,€ 0,F,25,Spain,Mainz,Bundesliga,2016-2017
