,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Kevin-Prince Boateng,"€ 47,615","€ 2,476,000","€ 2,603,867",F,30,Ghana,Eintracht Frankfurt,Bundesliga,2017-2018
2,Alexander Meier,"€ 37,962","€ 1,974,000","€ 2,075,942",F,34,Germany,Eintracht Frankfurt,Bundesliga,2017-2018
3,Jetro Willems,"€ 37,654","€ 1,958,000","€ 2,059,116",D,23,Netherlands,Eintracht Frankfurt,Bundesliga,2017-2018
4,Jonathan de Guzmán,"€ 28,577","€ 1,486,000","€ 1,562,741",M,29,Netherlands,Eintracht Frankfurt,Bundesliga,2017-2018
5,Sébastien Haller,"€ 28,577","€ 1,486,000","€ 1,562,741",F,23,France,Eintracht Frankfurt,Bundesliga,2017-2018
6,Marco Fabián,"€ 28,577","€ 1,486,000","€ 1,562,741",M,27,Mexico,Eintracht Frankfurt,Bundesliga,2017-2018
7,David Abraham,"€ 26,673","€ 1,387,000","€ 1,458,628",D,30,Argentina,Eintracht Frankfurt,Bundesliga,2017-2018
8,Gelson Fernandes,"€ 22,846","€ 1,188,000","€ 1,249,351",M,30,Switzerland,Eintracht Frankfurt,Bundesliga,2017-2018
9,Ante Rebic,"€ 20,058","€ 1,043,000","€ 1,096,863",F,23,Croatia,Eintracht Frankfurt,Bundesliga,2017-2018
10,Makoto Hasebe,"€ 19,808","€ 1,030,000","€ 1,083,192",M,33,Japan,Eintracht Frankfurt,Bundesliga,2017-2018
11,Carlos Salcedo,"€ 17,635","€ 917,000","€ 964,356",D,23,Mexico,Eintracht Frankfurt,Bundesliga,2017-2018
12,Timothy Chandler,"€ 14,846","€ 772,000","€ 811,868",D,27,United States,Eintracht Frankfurt,Bundesliga,2017-2018
13,Danny da Costa,"€ 14,846","€ 772,000","€ 811,868",D,23,Germany,Eintracht Frankfurt,Bundesliga,2017-2018
14,Taleb Tawatha,"€ 14,846","€ 772,000","€ 811,868",D,25,Israel,Eintracht Frankfurt,Bundesliga,2017-2018
15,Simon Falette,"€ 14,846","€ 772,000","€ 811,868",D,25,Guinea,Eintracht Frankfurt,Bundesliga,2017-2018
16,Mijat Gacinovic,"€ 14,846","€ 772,000","€ 811,868",M,22,Serbia,Eintracht Frankfurt,Bundesliga,2017-2018
17,Marco Russ,"€ 14,846","€ 772,000","€ 811,868",D,31,Germany,Eintracht Frankfurt,Bundesliga,2017-2018
18,Branimir Hrgota,"€ 14,846","€ 772,000","€ 811,868",F,24,Sweden,Eintracht Frankfurt,Bundesliga,2017-2018
19,Marius Wolf,"€ 12,327","€ 641,000","€ 674,103",F,22,Germany,Eintracht Frankfurt,Bundesliga,2017-2018
20,Danny Blum,"€ 9,904","€ 515,000","€ 541,596",F,26,Germany,Eintracht Frankfurt,Bundesliga,2017-2018
21,Jan Zimmermann,"€ 8,423","€ 438,000","€ 460,619",K,32,Germany,Eintracht Frankfurt,Bundesliga,2017-2018
22,Daichi Kamada,"€ 8,423","€ 438,000","€ 460,619",M,20,Japan,Eintracht Frankfurt,Bundesliga,2017-2018
23,Marc Stendera,"€ 8,423","€ 438,000","€ 460,619",M,21,Germany,Eintracht Frankfurt,Bundesliga,2017-2018
24,Omar Mascarell,"€ 8,423","€ 438,000","€ 460,619",M,24,Spain,Eintracht Frankfurt,Bundesliga,2017-2018
25,Marijan Cavar,"€ 7,596","€ 395,000","€ 415,399",M,19,Bosnia-Herzegovina,Eintracht Frankfurt,Bundesliga,2017-2018
26,Luka Jovic,"€ 7,577","€ 394,000","€ 414,347",F,19,Serbia,Eintracht Frankfurt,Bundesliga,2017-2018
27,Aymen Barkok,"€ 4,462","€ 232,000","€ 243,981",M,19,Germany,Eintracht Frankfurt,Bundesliga,2017-2018
28,Slobodan Medojevic,€ 0,€ 0,€ 0,M,26,Serbia,Eintracht Frankfurt,Bundesliga,2017-2018
29,Noel Knothe,€ 0,€ 0,€ 0,D,18,Germany,Eintracht Frankfurt,Bundesliga,2017-2018
30,Deji Beyreuther,€ 0,€ 0,€ 0,D,17,Germany,Eintracht Frankfurt,Bundesliga,2017-2018
31,Max Besuschkow,€ 0,€ 0,€ 0,M,20,Germany,Eintracht Frankfurt,Bundesliga,2017-2018
32,Leon Bätge,€ 0,€ 0,€ 0,K,19,Germany,Eintracht Frankfurt,Bundesliga,2017-2018
33,Nelson Mandela Mbouhom,€ 0,€ 0,€ 0,F,18,Cameroon,Eintracht Frankfurt,Bundesliga,2017-2018
34,Lukas Hradecky,€ 0,€ 0,€ 0,K,27,Finland,Eintracht Frankfurt,Bundesliga,2017-2018
35,Renat Dadashov,€ 0,€ 0,€ 0,F,18,Azerbaijan,Eintracht Frankfurt,Bundesliga,2017-2018
36,Sahverdi Cetin,€ 0,€ 0,€ 0,M,16,Germany,Eintracht Frankfurt,Bundesliga,2017-2018
