,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Filip Kostic,"€ 75,942","€ 3,949,000","€ 4,152,936",M,24,Serbia,Hamburg,Bundesliga,2017-2018
2,Lewis Holtby,"€ 66,442","€ 3,455,000","€ 3,633,425",M,26,Germany,Hamburg,Bundesliga,2017-2018
3,Bobby Wood,"€ 56,962","€ 2,962,000","€ 3,114,965",F,24,United States,Hamburg,Bundesliga,2017-2018
4,Kyriakos Papadopoulos,"€ 56,962","€ 2,962,000","€ 3,114,965",D,25,Greece,Hamburg,Bundesliga,2017-2018
5,Aaron Hunt,"€ 47,462","€ 2,468,000","€ 2,595,454",M,30,Germany,Hamburg,Bundesliga,2017-2018
6,Douglas Santos,"€ 45,712","€ 2,377,000","€ 2,499,754",D,23,Brazil,Hamburg,Bundesliga,2017-2018
7,André Hahn,"€ 41,769","€ 2,172,000","€ 2,284,167",F,26,Germany,Hamburg,Bundesliga,2017-2018
8,Albin Ekdal,"€ 38,096","€ 1,981,000","€ 2,083,304",M,27,Sweden,Hamburg,Bundesliga,2017-2018
9,Nicolai Müller,"€ 38,096","€ 1,981,000","€ 2,083,304",F,29,Germany,Hamburg,Bundesliga,2017-2018
10,Walace,"€ 37,654","€ 1,958,000","€ 2,059,116",M,22,Brazil,Hamburg,Bundesliga,2017-2018
11,Dennis Diekmeier,"€ 24,769","€ 1,288,000","€ 1,354,515",D,27,Germany,Hamburg,Bundesliga,2017-2018
12,Gideon Jung,"€ 22,846","€ 1,188,000","€ 1,249,351",D,22,Germany,Hamburg,Bundesliga,2017-2018
13,Julian Pollersbeck,"€ 22,769","€ 1,184,000","€ 1,245,145",K,22,Germany,Hamburg,Bundesliga,2017-2018
14,Sven Schipplock,"€ 14,846","€ 772,000","€ 811,868",F,28,Germany,Hamburg,Bundesliga,2017-2018
15,Rick van Drongelen,"€ 11,885","€ 618,000","€ 649,915",D,18,Netherlands,Hamburg,Bundesliga,2017-2018
16,Tatsuya Ito,"€ 9,519","€ 495,000","€ 520,563",F,20,Japan,Hamburg,Bundesliga,2017-2018
17,Sejad Salihovic,"€ 8,423","€ 438,000","€ 460,619",M,32,Bosnia-Herzegovina,Hamburg,Bundesliga,2017-2018
18,Luca Waldschmidt,"€ 8,423","€ 438,000","€ 460,619",F,21,Germany,Hamburg,Bundesliga,2017-2018
19,Christian Mathenia,"€ 8,423","€ 438,000","€ 460,619",K,25,Germany,Hamburg,Bundesliga,2017-2018
20,Bjarne Thoelke,"€ 5,692","€ 296,000","€ 311,286",D,25,Germany,Hamburg,Bundesliga,2017-2018
21,Vasilije Janjicic,"€ 4,962","€ 258,000","€ 271,324",M,18,Switzerland,Hamburg,Bundesliga,2017-2018
22,Mats Köhlert,"€ 1,981","€ 103,000","€ 108,319",F,19,Germany,Hamburg,Bundesliga,2017-2018
23,Matti Steinmann,"€ 1,981","€ 103,000","€ 108,319",M,22,Germany,Hamburg,Bundesliga,2017-2018
24,Tom Mickel,"€ 1,981","€ 103,000","€ 108,319",K,28,Germany,Hamburg,Bundesliga,2017-2018
25,Bakery Jatta,"€ 1,904","€ 99,000","€ 104,113",F,19,The Gambia,Hamburg,Bundesliga,2017-2018
26,Andreas Hirzel,"€ 1,192","€ 62,000","€ 65,202",K,24,Switzerland,Hamburg,Bundesliga,2017-2018
27,Young-jae Seo,€ 788,"€ 41,000","€ 43,117",D,22,South Korea,Hamburg,Bundesliga,2017-2018
28,Stephan Ambrosius,€ 692,"€ 36,000","€ 37,859",D,18,Germany,Hamburg,Bundesliga,2017-2018
29,Josha Vagnoman,€ 58,"€ 3,000","€ 3,155",D,16,Germany,Hamburg,Bundesliga,2017-2018
30,Mohamed Gouaida,€ 0,€ 0,€ 0,M,24,Tunisia,Hamburg,Bundesliga,2017-2018
31,Gotoku Sakai,€ 0,€ 0,€ 0,D,26,Japan,Hamburg,Bundesliga,2017-2018
32,Törles Knöll,€ 0,€ 0,€ 0,F,19,Germany,Hamburg,Bundesliga,2017-2018
33,Fiete Arp,€ 0,€ 0,€ 0,F,17,Germany,Hamburg,Bundesliga,2017-2018
34,Mergim Mavraj,€ 0,€ 0,€ 0,D,31,Albania,Hamburg,Bundesliga,2017-2018
