,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Jonathas,"€ 57,154","€ 2,972,000","€ 3,125,481",F,28,Brazil,Hannover,Bundesliga,2017-2018
2,Martin Harnik,"€ 47,462","€ 2,468,000","€ 2,595,454",F,30,Austria,Hannover,Bundesliga,2017-2018
3,Salif Sané,"€ 47,462","€ 2,468,000","€ 2,595,454",D,26,Senegal,Hannover,Bundesliga,2017-2018
4,Pirmin Schwegler,"€ 37,654","€ 1,958,000","€ 2,059,116",M,30,Switzerland,Hannover,Bundesliga,2017-2018
5,Matthias Ostrzolek,"€ 28,481","€ 1,481,000","€ 1,557,482",D,27,Germany,Hannover,Bundesliga,2017-2018
6,Oliver Sorg,"€ 28,481","€ 1,481,000","€ 1,557,482",D,27,Germany,Hannover,Bundesliga,2017-2018
7,Felix Klaus,"€ 24,769","€ 1,288,000","€ 1,354,515",F,24,Germany,Hannover,Bundesliga,2017-2018
8,Manuel Schmiedebach,"€ 19,808","€ 1,030,000","€ 1,083,192",M,28,Germany,Hannover,Bundesliga,2017-2018
9,Edgar Prib,"€ 19,808","€ 1,030,000","€ 1,083,192",M,27,Germany,Hannover,Bundesliga,2017-2018
10,Julian Korb,"€ 19,808","€ 1,030,000","€ 1,083,192",D,25,Germany,Hannover,Bundesliga,2017-2018
11,Ihlas Bebou,"€ 19,038","€ 990,000","€ 1,041,126",F,23,Togo,Hannover,Bundesliga,2017-2018
12,Felipe,"€ 19,038","€ 990,000","€ 1,041,126",D,30,Brazil,Hannover,Bundesliga,2017-2018
13,Waldemar Anton,"€ 15,250","€ 793,000","€ 833,952",D,20,Germany,Hannover,Bundesliga,2017-2018
14,Charlison Benschop,"€ 14,846","€ 772,000","€ 811,868",F,27,Curacao,Hannover,Bundesliga,2017-2018
15,Iver Fossum,"€ 14,846","€ 772,000","€ 811,868",M,20,Norway,Hannover,Bundesliga,2017-2018
16,Miiko Albornoz,"€ 14,846","€ 772,000","€ 811,868",D,26,Chile,Hannover,Bundesliga,2017-2018
17,Niclas Füllkrug,"€ 14,846","€ 772,000","€ 811,868",F,24,Germany,Hannover,Bundesliga,2017-2018
18,Michael Esser,"€ 13,212","€ 687,000","€ 722,478",K,29,Germany,Hannover,Bundesliga,2017-2018
19,Marvin Bakalorz,"€ 11,885","€ 618,000","€ 649,915",M,27,Germany,Hannover,Bundesliga,2017-2018
20,Sebastian Maier,"€ 9,654","€ 502,000","€ 527,925",M,23,Germany,Hannover,Bundesliga,2017-2018
21,Philipp Tschauner,"€ 8,423","€ 438,000","€ 460,619",K,31,Germany,Hannover,Bundesliga,2017-2018
22,Kenan Karaman,"€ 8,423","€ 438,000","€ 460,619",F,23,Turkey,Hannover,Bundesliga,2017-2018
23,Florian Hübner,"€ 7,923","€ 412,000","€ 433,277",D,26,Germany,Hannover,Bundesliga,2017-2018
24,Josip Elez,"€ 3,808","€ 198,000","€ 208,225",D,23,Croatia,Hannover,Bundesliga,2017-2018
25,Timo Hübers,€ 942,"€ 49,000","€ 51,530",D,20,Germany,Hannover,Bundesliga,2017-2018
26,Marlon Sündermann,€ 846,"€ 44,000","€ 46,272",K,19,Germany,Hannover,Bundesliga,2017-2018
27,Linton Maina,€ 442,"€ 23,000","€ 24,188",M,18,Germany,Hannover,Bundesliga,2017-2018
28,Noah Sarenren Bazee,€ 0,€ 0,€ 0,F,20,Nigeria,Hannover,Bundesliga,2017-2018
29,Samuel Sahin-Radlinger,€ 0,€ 0,€ 0,K,24,Austria,Hannover,Bundesliga,2017-2018
30,Mike Bähre,€ 0,€ 0,€ 0,M,21,Germany,Hannover,Bundesliga,2017-2018
