,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Ignacio Camacho,"€ 95,250","€ 4,953,000","€ 5,208,785",M,27,Spain,Wolfsburg,Bundesliga,2017-2018
2,Mario Gómez,"€ 85,731","€ 4,458,000","€ 4,688,222",F,31,Germany,Wolfsburg,Bundesliga,2017-2018
3,Yunus Malli,"€ 85,423","€ 4,442,000","€ 4,671,396",M,25,Turkey,Wolfsburg,Bundesliga,2017-2018
4,Sebastian Jung,"€ 76,192","€ 3,962,000","€ 4,166,607",D,27,Germany,Wolfsburg,Bundesliga,2017-2018
5,Maximilian Arnold,"€ 76,192","€ 3,962,000","€ 4,166,607",M,23,Germany,Wolfsburg,Bundesliga,2017-2018
6,Daniel Didavi,"€ 75,942","€ 3,949,000","€ 4,152,936",M,27,Germany,Wolfsburg,Bundesliga,2017-2018
7,Admir Mehmedi,"€ 66,673","€ 3,467,000","€ 3,646,044",F,26,Switzerland,Wolfsburg,Bundesliga,2017-2018
8,Riechedly Bazoer,"€ 57,154","€ 2,972,000","€ 3,125,481",M,20,Netherlands,Wolfsburg,Bundesliga,2017-2018
9,Jeffrey Bruma,"€ 57,154","€ 2,972,000","€ 3,125,481",D,25,Netherlands,Wolfsburg,Bundesliga,2017-2018
10,Yannick Gerhardt,"€ 56,962","€ 2,962,000","€ 3,114,965",M,23,Germany,Wolfsburg,Bundesliga,2017-2018
11,Divock Origi,"€ 50,000","€ 2,600,000","€ 2,734,270",F,22,Belgium,Wolfsburg,Bundesliga,2017-2018
12,Jakub Blaszczykowski,"€ 47,615","€ 2,476,000","€ 2,603,867",F,31,Poland,Wolfsburg,Bundesliga,2017-2018
13,Josuha Guilavogui,"€ 47,462","€ 2,468,000","€ 2,595,454",M,26,France,Wolfsburg,Bundesliga,2017-2018
14,Robin Knoche,"€ 37,962","€ 1,974,000","€ 2,075,942",D,25,Germany,Wolfsburg,Bundesliga,2017-2018
15,William,"€ 37,654","€ 1,958,000","€ 2,059,116",D,22,Brazil,Wolfsburg,Bundesliga,2017-2018
16,Renato Steffen,"€ 28,577","€ 1,486,000","€ 1,562,741",F,25,Switzerland,Wolfsburg,Bundesliga,2017-2018
17,Koen Casteels,"€ 28,577","€ 1,486,000","€ 1,562,741",K,25,Belgium,Wolfsburg,Bundesliga,2017-2018
18,Paul Verhaegh,"€ 28,558","€ 1,485,000","€ 1,561,689",D,33,Netherlands,Wolfsburg,Bundesliga,2017-2018
19,Josip Brekalo,"€ 27,250","€ 1,417,000","€ 1,490,177",F,19,Croatia,Wolfsburg,Bundesliga,2017-2018
20,Max Grün,"€ 14,846","€ 772,000","€ 811,868",K,30,Germany,Wolfsburg,Bundesliga,2017-2018
21,Marcel Tisserand,"€ 14,846","€ 772,000","€ 811,868",D,24,Democratic Republic of Congo,Wolfsburg,Bundesliga,2017-2018
22,Felix Uduokhai,"€ 11,885","€ 618,000","€ 649,915",D,19,Germany,Wolfsburg,Bundesliga,2017-2018
23,Victor Osimhen,"€ 4,462","€ 232,000","€ 243,981",F,18,Nigeria,Wolfsburg,Bundesliga,2017-2018
24,Elvis Rexhbecaj,"€ 2,885","€ 150,000","€ 157,746",M,19,Germany,Wolfsburg,Bundesliga,2017-2018
25,Phillip Menzel,"€ 1,769","€ 92,000","€ 96,751",K,18,Germany,Wolfsburg,Bundesliga,2017-2018
26,Dominik Franke,"€ 1,481","€ 77,000","€ 80,976",D,18,Germany,Wolfsburg,Bundesliga,2017-2018
27,Justin Möbius,€ 981,"€ 51,000","€ 53,634",M,20,Germany,Wolfsburg,Bundesliga,2017-2018
28,Paul Jaeckel,€ 981,"€ 51,000","€ 53,634",D,18,Germany,Wolfsburg,Bundesliga,2017-2018
29,Paul-Georges Ntep,€ 0,€ 0,€ 0,F,24,Cameroon,Wolfsburg,Bundesliga,2017-2018
30,Luca Itter,€ 0,€ 0,€ 0,D,18,Germany,Wolfsburg,Bundesliga,2017-2018
31,Landry Dimata,€ 0,€ 0,€ 0,F,19,Belgium,Wolfsburg,Bundesliga,2017-2018
32,Kaylen Hinds,€ 0,€ 0,€ 0,F,19,England,Wolfsburg,Bundesliga,2017-2018
33,John Anthony Brooks,€ 0,€ 0,€ 0,D,24,United States,Wolfsburg,Bundesliga,2017-2018
