,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Vincenzo Grifo,"€ 38,327","€ 1,993,000","€ 2,066,055",F,25,Italy,Freiburg,Bundesliga,2018-2019
2,Yoric Ravet,"€ 19,231","€ 1,000,000","€ 1,036,656",F,28,France,Freiburg,Bundesliga,2018-2019
3,Nils Petersen,"€ 15,327","€ 797,000","€ 826,215",F,29,Germany,Freiburg,Bundesliga,2018-2019
4,Dominique Heintz,"€ 15,327","€ 797,000","€ 826,215",D,24,Germany,Freiburg,Bundesliga,2018-2019
5,Christian Günter,"€ 15,000","€ 780,000","€ 808,592",D,25,Germany,Freiburg,Bundesliga,2018-2019
6,Marco Terrazzino,"€ 15,000","€ 780,000","€ 808,592",F,27,Germany,Freiburg,Bundesliga,2018-2019
7,Florian Niederlechner,"€ 15,000","€ 780,000","€ 808,592",F,27,Germany,Freiburg,Bundesliga,2018-2019
8,Robin Koch,"€ 15,000","€ 780,000","€ 808,592",D,21,Germany,Freiburg,Bundesliga,2018-2019
9,Pascal Stenzel,"€ 13,462","€ 700,000","€ 725,659",D,22,Germany,Freiburg,Bundesliga,2018-2019
10,Mike Frantz,"€ 13,423","€ 698,000","€ 723,586",M,31,Germany,Freiburg,Bundesliga,2018-2019
11,Philipp Lienhart,"€ 12,500","€ 650,000","€ 673,826",D,21,Austria,Freiburg,Bundesliga,2018-2019
12,Luca Waldschmidt,"€ 12,500","€ 650,000","€ 673,826",F,22,Germany,Freiburg,Bundesliga,2018-2019
13,Jérôme Gondorf,"€ 12,500","€ 650,000","€ 673,826",M,30,Germany,Freiburg,Bundesliga,2018-2019
14,Amir Abrashi,"€ 12,000","€ 624,000","€ 646,873",M,28,Albania,Freiburg,Bundesliga,2018-2019
15,Nicolas Höfler,"€ 11,538","€ 600,000","€ 621,994",M,28,Germany,Freiburg,Bundesliga,2018-2019
16,Roland Sallai,"€ 11,538","€ 600,000","€ 621,994",F,21,Hungary,Freiburg,Bundesliga,2018-2019
17,Alexander Schwolow,"€ 11,500","€ 598,000","€ 619,920",K,26,Germany,Freiburg,Bundesliga,2018-2019
18,Janik Haberer,"€ 10,000","€ 520,000","€ 539,061",M,24,Germany,Freiburg,Bundesliga,2018-2019
19,Manuel Gulde,"€ 9,192","€ 478,000","€ 495,521",D,27,Germany,Freiburg,Bundesliga,2018-2019
20,Lucas Höler,"€ 9,000","€ 468,000","€ 485,155",F,23,Germany,Freiburg,Bundesliga,2018-2019
21,Brandon Borrello,"€ 8,500","€ 442,000","€ 458,202",F,22,Australia,Freiburg,Bundesliga,2018-2019
22,Mark Flekken,"€ 6,712","€ 349,000","€ 361,793",K,25,Netherlands,Freiburg,Bundesliga,2018-2019
23,Tim Kleindienst,"€ 6,000","€ 312,000","€ 323,437",F,22,Germany,Freiburg,Bundesliga,2018-2019
24,Lukas Kübler,"€ 5,000","€ 260,000","€ 269,531",D,25,Germany,Freiburg,Bundesliga,2018-2019
25,Patrick Kammerbauer,"€ 5,000","€ 260,000","€ 269,531",M,21,Germany,Freiburg,Bundesliga,2018-2019
26,Florian Kath,"€ 4,500","€ 234,000","€ 242,577",F,23,Germany,Freiburg,Bundesliga,2018-2019
27,Constantin Frommann,"€ 2,000","€ 104,000","€ 107,812",K,20,Germany,Freiburg,Bundesliga,2018-2019
28,Chima Okoroji,"€ 1,500","€ 78,000","€ 80,859",D,21,England,Freiburg,Bundesliga,2018-2019
29,Keven Schlotterbeck,"€ 1,202","€ 62,500","€ 64,791",D,21,Germany,Freiburg,Bundesliga,2018-2019
30,Vincent Sierro,€ 0,€ 0,€ 0,M,22,Switzerland,Freiburg,Bundesliga,2018-2019
31,Nico Schlotterbeck,€ 0,€ 0,€ 0,D,18,Germany,Freiburg,Bundesliga,2018-2019
32,Fabian Schleusener,€ 0,€ 0,€ 0,F,26,Germany,Freiburg,Bundesliga,2018-2019
33,Christoph Daferner,€ 0,€ 0,€ 0,F,20,Germany,Freiburg,Bundesliga,2018-2019
34,Jonas Föhrenbach,€ 0,€ 0,€ 0,D,22,Germany,Freiburg,Bundesliga,2018-2019
