,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Ivo Ilicevic,"€ 15,096","€ 785,000","€ 813,775",F,31,Croatia,Nurnberg,Bundesliga,2018-2019
2,Virgil Misidjan,"€ 15,000","€ 780,000","€ 808,592",F,24,Netherlands,Nurnberg,Bundesliga,2018-2019
3,Christian Mathenia,"€ 13,462","€ 700,000","€ 725,659",K,26,Germany,Nurnberg,Bundesliga,2018-2019
4,Eduard Löwen,"€ 11,500","€ 598,000","€ 619,920",M,21,Germany,Nurnberg,Bundesliga,2018-2019
5,Yuya Kubo,"€ 11,000","€ 572,000","€ 592,967",F,24,Japan,Nurnberg,Bundesliga,2018-2019
6,Hanno Behrens,"€ 10,000","€ 520,000","€ 539,061",M,28,Germany,Nurnberg,Bundesliga,2018-2019
7,Robert Bauer,"€ 10,000","€ 520,000","€ 539,061",D,23,Germany,Nurnberg,Bundesliga,2018-2019
8,Edgar Salli,"€ 9,615","€ 500,000","€ 518,328",F,25,Cameroon,Nurnberg,Bundesliga,2018-2019
9,Ewerton,"€ 9,615","€ 500,000","€ 518,328",D,29,Brazil,Nurnberg,Bundesliga,2018-2019
10,Tim Leibold,"€ 9,577","€ 498,000","€ 516,255",D,24,Germany,Nurnberg,Bundesliga,2018-2019
11,Ondrej Petrak,"€ 8,500","€ 442,000","€ 458,202",M,26,Czech Republic,Nurnberg,Bundesliga,2018-2019
12,Sebastian Kerk,"€ 8,500","€ 442,000","€ 458,202",F,24,Germany,Nurnberg,Bundesliga,2018-2019
13,Georg Margreitter,"€ 8,500","€ 442,000","€ 458,202",D,29,Austria,Nurnberg,Bundesliga,2018-2019
14,Patrick Erras,"€ 8,500","€ 442,000","€ 458,202",M,23,Germany,Nurnberg,Bundesliga,2018-2019
15,Mikael Ishak,"€ 8,500","€ 442,000","€ 458,202",F,25,Sweden,Nurnberg,Bundesliga,2018-2019
16,Lukas Jäger,"€ 7,000","€ 364,000","€ 377,343",M,24,Austria,Nurnberg,Bundesliga,2018-2019
17,Enrico Valentini,"€ 6,904","€ 359,000","€ 372,159",D,29,Germany,Nurnberg,Bundesliga,2018-2019
18,Matheus Pereira,"€ 6,885","€ 358,000","€ 371,123",F,22,Brazil,Nurnberg,Bundesliga,2018-2019
19,Adam Zrelak,"€ 6,000","€ 312,000","€ 323,437",F,24,Slovakia,Nurnberg,Bundesliga,2018-2019
20,Patric Klandt,"€ 4,500","€ 234,000","€ 242,577",K,34,Germany,Nurnberg,Bundesliga,2018-2019
21,Törles Knöll,"€ 4,000","€ 208,000","€ 215,624",F,20,Germany,Nurnberg,Bundesliga,2018-2019
22,Federico Palacios,"€ 4,000","€ 208,000","€ 215,624",F,23,Germany,Nurnberg,Bundesliga,2018-2019
23,Timothy Tillman,"€ 3,846","€ 200,000","€ 207,331",M,19,Germany,Nurnberg,Bundesliga,2018-2019
24,Kevin Goden,"€ 2,865","€ 149,000","€ 154,462",D,19,Germany,Nurnberg,Bundesliga,2018-2019
25,Alexander Fuchs,"€ 2,000","€ 104,000","€ 107,812",M,21,Germany,Nurnberg,Bundesliga,2018-2019
26,Lukas Mühl,"€ 2,000","€ 104,000","€ 107,812",D,21,Germany,Nurnberg,Bundesliga,2018-2019
27,Fabian Bredlow,"€ 2,000","€ 104,000","€ 107,812",K,23,Germany,Nurnberg,Bundesliga,2018-2019
28,Simon Rhein,€ 990,"€ 51,500","€ 53,388",M,20,Germany,Nurnberg,Bundesliga,2018-2019
29,Dennis Lippert,€ 548,"€ 28,500","€ 29,545",D,22,Germany,Nurnberg,Bundesliga,2018-2019
