,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Mario Gómez,"€ 86,538","€ 4,500,000","€ 4,664,951",F,32,Germany,Stuttgart,Bundesliga,2018-2019
2,Gonzalo Castro,"€ 57,692","€ 3,000,000","€ 3,109,968",M,31,Germany,Stuttgart,Bundesliga,2018-2019
3,Holger Badstuber,"€ 57,692","€ 3,000,000","€ 3,109,968",D,29,Germany,Stuttgart,Bundesliga,2018-2019
4,Daniel Didavi,"€ 48,077","€ 2,500,000","€ 2,591,640",M,28,Germany,Stuttgart,Bundesliga,2018-2019
5,Christian Gentner,"€ 42,154","€ 2,192,000","€ 2,272,350",M,32,Germany,Stuttgart,Bundesliga,2018-2019
6,Santiago Ascacíbar,"€ 38,462","€ 2,000,000","€ 2,073,312",M,21,Argentina,Stuttgart,Bundesliga,2018-2019
7,Emiliano Insúa,"€ 34,615","€ 1,800,000","€ 1,865,981",D,29,Argentina,Stuttgart,Bundesliga,2018-2019
8,Ron-Robert Zieler,"€ 28,846","€ 1,500,000","€ 1,554,984",K,29,Germany,Stuttgart,Bundesliga,2018-2019
9,Andreas Beck,"€ 28,846","€ 1,500,000","€ 1,554,984",D,31,Germany,Stuttgart,Bundesliga,2018-2019
10,Dennis Aogo,"€ 28,846","€ 1,500,000","€ 1,554,984",M,31,Germany,Stuttgart,Bundesliga,2018-2019
11,Pablo Maffeo,"€ 28,846","€ 1,500,000","€ 1,554,984",D,20,Spain,Stuttgart,Bundesliga,2018-2019
12,Benjamin Pavard,"€ 23,077","€ 1,200,000","€ 1,243,987",D,22,France,Stuttgart,Bundesliga,2018-2019
13,Timo Baumgartl,"€ 23,000","€ 1,196,000","€ 1,239,840",D,22,Germany,Stuttgart,Bundesliga,2018-2019
14,Marc Oliver Kempf,"€ 19,231","€ 1,000,000","€ 1,036,656",D,23,Germany,Stuttgart,Bundesliga,2018-2019
15,Erik Thommy,"€ 19,231","€ 1,000,000","€ 1,036,656",M,23,Germany,Stuttgart,Bundesliga,2018-2019
16,Chadrac Akolo,"€ 19,231","€ 1,000,000","€ 1,036,656",F,23,Democratic Republic of Congo,Stuttgart,Bundesliga,2018-2019
17,Nicólas González,"€ 19,173","€ 997,000","€ 1,033,546",F,20,Argentina,Stuttgart,Bundesliga,2018-2019
18,Anastasios Donis,"€ 15,000","€ 780,000","€ 808,592",F,21,Greece,Stuttgart,Bundesliga,2018-2019
19,Alexander Esswein,"€ 15,000","€ 780,000","€ 808,592",F,28,Germany,Stuttgart,Bundesliga,2018-2019
20,Steven Zuber,"€ 15,000","€ 780,000","€ 808,592",M,26,Switzerland,Stuttgart,Bundesliga,2018-2019
21,Borna Sosa,"€ 13,462","€ 700,000","€ 725,659",D,20,Croatia,Stuttgart,Bundesliga,2018-2019
22,Marcin Kaminski,"€ 11,500","€ 598,000","€ 619,920",D,26,Poland,Stuttgart,Bundesliga,2018-2019
23,Berkay Özcan,"€ 9,615","€ 500,000","€ 518,328",M,20,Turkey,Stuttgart,Bundesliga,2018-2019
24,Ozan Kabak,"€ 6,981","€ 363,000","€ 376,306",D,18,Turkey,Stuttgart,Bundesliga,2018-2019
25,Jens Grahl,"€ 4,500","€ 234,000","€ 242,577",K,29,Germany,Stuttgart,Bundesliga,2018-2019
26,Alexander Meyer,"€ 2,000","€ 104,000","€ 107,812",K,27,Germany,Stuttgart,Bundesliga,2018-2019
27,David Kopacz,"€ 1,250","€ 65,000","€ 67,383",M,19,Poland,Stuttgart,Bundesliga,2018-2019
28,Nunoo Sarpei,"€ 1,202","€ 62,500","€ 64,791",M,19,Ghana,Stuttgart,Bundesliga,2018-2019
29,Antonis Aidonis,€ 62,"€ 3,200","€ 3,317",D,17,Germany,Stuttgart,Bundesliga,2018-2019
30,Leon Dajaku,€ 62,"€ 3,200","€ 3,317",F,17,Germany,Stuttgart,Bundesliga,2018-2019
31,Aílton,€ 0,€ 0,€ 0,D,23,Brazil,Stuttgart,Bundesliga,2018-2019
32,Anto Grgic,€ 0,€ 0,€ 0,M,21,Switzerland,Stuttgart,Bundesliga,2018-2019
33,Orel Mangala,€ 0,€ 0,€ 0,M,20,Belgium,Stuttgart,Bundesliga,2018-2019
34,Roberto Massimo,€ 0,€ 0,€ 0,F,17,Germany,Stuttgart,Bundesliga,2018-2019
