,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Kerem Demirbay,"€ 61,538","€ 3,200,000","€ 3,300,575",M,26,Germany,Bayer Leverkusen,Bundesliga,2019-2020
2,Aleksandar Dragovic,"€ 57,692","€ 3,000,000","€ 3,094,289",D,28,Austria,Bayer Leverkusen,Bundesliga,2019-2020
3,Nadiem Amiri,"€ 57,692","€ 3,000,000","€ 3,094,289",F,22,Germany,Bayer Leverkusen,Bundesliga,2019-2020
4,Lucas Alario,"€ 56,923","€ 2,960,000","€ 3,053,032",F,26,Argentina,Bayer Leverkusen,Bundesliga,2019-2020
5,Sven Bender,"€ 50,000","€ 2,600,000","€ 2,681,717",D,30,Germany,Bayer Leverkusen,Bundesliga,2019-2020
6,Karim Bellarabi,"€ 50,000","€ 2,600,000","€ 2,681,717",F,29,Germany,Bayer Leverkusen,Bundesliga,2019-2020
7,Kevin Volland,"€ 50,000","€ 2,600,000","€ 2,681,717",F,27,Germany,Bayer Leverkusen,Bundesliga,2019-2020
8,Lukas Hradecky,"€ 46,154","€ 2,400,000","€ 2,475,431",K,29,Finland,Bayer Leverkusen,Bundesliga,2019-2020
9,Lars Bender,"€ 40,385","€ 2,100,000","€ 2,166,002",M,30,Germany,Bayer Leverkusen,Bundesliga,2019-2020
10,Leon Bailey,"€ 40,385","€ 2,100,000","€ 2,166,002",F,22,Jamaica,Bayer Leverkusen,Bundesliga,2019-2020
11,Kai Havertz,"€ 38,462","€ 2,000,000","€ 2,062,859",F,20,Germany,Bayer Leverkusen,Bundesliga,2019-2020
12,Moussa Diaby,"€ 38,462","€ 2,000,000","€ 2,062,859",F,20,France,Bayer Leverkusen,Bundesliga,2019-2020
13,Panagiotis Retsos,"€ 38,462","€ 2,000,000","€ 2,062,859",D,21,Greece,Bayer Leverkusen,Bundesliga,2019-2020
14,Julian Baumgartlinger,"€ 38,269","€ 1,990,000","€ 2,052,545",M,31,Austria,Bayer Leverkusen,Bundesliga,2019-2020
15,Exequiel Palacios,"€ 32,692","€ 1,700,000","€ 1,753,430",M,21,Argentina,Bayer Leverkusen,Bundesliga,2019-2020
16,Jonathan Tah,"€ 28,846","€ 1,500,000","€ 1,547,145",D,23,Germany,Bayer Leverkusen,Bundesliga,2019-2020
17,Paulinho,"€ 28,846","€ 1,500,000","€ 1,547,145",F,19,Brazil,Bayer Leverkusen,Bundesliga,2019-2020
18,Daley Sinkgraven,"€ 28,846","€ 1,500,000","€ 1,547,145",D,24,Netherlands,Bayer Leverkusen,Bundesliga,2019-2020
19,Charles Aránguiz,"€ 28,846","€ 1,500,000","€ 1,547,145",M,30,Chile,Bayer Leverkusen,Bundesliga,2019-2020
20,Mitchell Weiser,"€ 28,846","€ 1,500,000","€ 1,547,145",D,25,Germany,Bayer Leverkusen,Bundesliga,2019-2020
21,Edmond Tapsoba,"€ 21,154","€ 1,100,000","€ 1,134,573",D,21,Burkina Faso,Bayer Leverkusen,Bundesliga,2019-2020
22,Wendell,"€ 19,231","€ 1,000,000","€ 1,031,430",D,26,Brazil,Bayer Leverkusen,Bundesliga,2019-2020
23,Joel Pohjanpalo,"€ 19,231","€ 1,000,000","€ 1,031,430",F,24,Finland,Bayer Leverkusen,Bundesliga,2019-2020
24,Ramazan Özcan,"€ 15,000","€ 780,000","€ 804,515",K,35,Austria,Bayer Leverkusen,Bundesliga,2019-2020
25,Niklas Lomb,"€ 2,500","€ 130,000","€ 134,086",K,26,Germany,Bayer Leverkusen,Bundesliga,2019-2020
26,Adrian Stanilewicz,"€ 1,154","€ 60,000","€ 61,886",M,19,Poland,Bayer Leverkusen,Bundesliga,2019-2020
