,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Zack Steffen,"€ 58,077","€ 3,020,000","€ 3,114,918",K,24,United States,Dusseldorf,Bundesliga,2019-2020
2,Valon Berisha,"€ 46,154","€ 2,400,000","€ 2,475,431",M,26,Kosovo,Dusseldorf,Bundesliga,2019-2020
3,Kasim Adams,"€ 23,077","€ 1,200,000","€ 1,237,716",D,24,Ghana,Dusseldorf,Bundesliga,2019-2020
4,Erik Thommy,"€ 19,231","€ 1,000,000","€ 1,031,430",M,25,Germany,Dusseldorf,Bundesliga,2019-2020
5,Lewis Baker,"€ 17,308","€ 900,000","€ 928,287",M,24,England,Dusseldorf,Bundesliga,2019-2020
6,Dawid Kownacki,"€ 17,308","€ 900,000","€ 928,287",F,22,Poland,Dusseldorf,Bundesliga,2019-2020
7,Kaan Ayhan,"€ 17,308","€ 900,000","€ 928,287",D,24,Turkey,Dusseldorf,Bundesliga,2019-2020
8,Markus Suttner,"€ 15,385","€ 800,000","€ 825,144",D,32,Austria,Dusseldorf,Bundesliga,2019-2020
9,Matthias Zimmermann,"€ 13,462","€ 700,000","€ 722,001",D,27,Germany,Dusseldorf,Bundesliga,2019-2020
10,Alfredo Morales,"€ 12,500","€ 650,000","€ 670,429",M,29,United States,Dusseldorf,Bundesliga,2019-2020
11,Rouwen Hennings,"€ 11,538","€ 600,000","€ 618,858",F,32,Germany,Dusseldorf,Bundesliga,2019-2020
12,Steven Skrzybski,"€ 11,538","€ 600,000","€ 618,858",F,27,Germany,Dusseldorf,Bundesliga,2019-2020
13,Nana Ampomah,"€ 11,538","€ 600,000","€ 618,858",F,23,Ghana,Dusseldorf,Bundesliga,2019-2020
14,Marcel Sobottka,"€ 11,538","€ 600,000","€ 618,858",M,25,Germany,Dusseldorf,Bundesliga,2019-2020
15,Thomas Pledl,"€ 10,000","€ 520,000","€ 536,343",F,25,Germany,Dusseldorf,Bundesliga,2019-2020
16,Michael Rensing,"€ 9,615","€ 500,000","€ 515,715",K,35,Germany,Dusseldorf,Bundesliga,2019-2020
17,Kenan Karaman,"€ 9,615","€ 500,000","€ 515,715",F,25,Turkey,Dusseldorf,Bundesliga,2019-2020
18,Kevin Stöger,"€ 9,615","€ 500,000","€ 515,715",F,26,Austria,Dusseldorf,Bundesliga,2019-2020
19,André Hoffmann,"€ 9,615","€ 500,000","€ 515,715",D,26,Germany,Dusseldorf,Bundesliga,2019-2020
20,Jean Zimmer,"€ 9,615","€ 500,000","€ 515,715",D,25,Germany,Dusseldorf,Bundesliga,2019-2020
21,Diego Contento,"€ 9,615","€ 500,000","€ 515,715",D,29,Germany,Dusseldorf,Bundesliga,2019-2020
22,Niko Gießelmann,"€ 9,615","€ 500,000","€ 515,715",D,27,Germany,Dusseldorf,Bundesliga,2019-2020
23,Zanka,"€ 8,654","€ 450,000","€ 464,143",D,29,Denmark,Dusseldorf,Bundesliga,2019-2020
24,Oliver Fink,"€ 8,654","€ 450,000","€ 464,143",M,37,Germany,Dusseldorf,Bundesliga,2019-2020
25,Raphael Wolf,"€ 8,462","€ 440,000","€ 453,829",K,31,Germany,Dusseldorf,Bundesliga,2019-2020
26,Bernard Tekpetey,"€ 7,500","€ 390,000","€ 402,258",F,22,Ghana,Dusseldorf,Bundesliga,2019-2020
27,Adam Bodzek,"€ 6,731","€ 350,000","€ 361,000",M,34,Poland,Dusseldorf,Bundesliga,2019-2020
28,Davor Lovren,"€ 4,423","€ 230,000","€ 237,229",F,20,Croatia,Dusseldorf,Bundesliga,2019-2020
29,Aymen Barkok,"€ 4,423","€ 230,000","€ 237,229",F,21,Germany,Dusseldorf,Bundesliga,2019-2020
30,Robin Bormuth,"€ 2,885","€ 150,000","€ 154,714",D,23,Germany,Dusseldorf,Bundesliga,2019-2020
31,Kelvin Ofori,"€ 1,923","€ 100,000","€ 103,143",F,18,Ghana,Dusseldorf,Bundesliga,2019-2020
32,Shinta Appelkamp,"€ 1,154","€ 60,000","€ 61,886",F,19,Japan,Dusseldorf,Bundesliga,2019-2020
33,Florian Kastenmeier,€ 962,"€ 50,000","€ 51,571",K,22,Germany,Dusseldorf,Bundesliga,2019-2020
34,Johannes Bühler,€ 962,"€ 50,000","€ 51,571",M,22,Germany,Dusseldorf,Bundesliga,2019-2020
35,Jannick Theißen,€ 962,"€ 50,000","€ 51,571",K,22,Germany,Dusseldorf,Bundesliga,2019-2020
36,Tim Wiesner,€ 577,"€ 30,000","€ 30,943",K,22,Germany,Dusseldorf,Bundesliga,2019-2020
37,Georgios Siadas,€ 577,"€ 30,000","€ 30,943",D,19,Germany,Dusseldorf,Bundesliga,2019-2020
