,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Timo Werner,"€ 134,615","€ 7,000,000","€ 7,220,008",F,23,Germany,Leipzig,Bundesliga,2019-2020
2,Angeliño,"€ 90,385","€ 4,700,000","€ 4,847,720",D,23,Spain,Leipzig,Bundesliga,2019-2020
3,Patrik Schick,"€ 86,923","€ 4,520,000","€ 4,662,062",F,23,Czech Republic,Leipzig,Bundesliga,2019-2020
4,Marcel Sabitzer,"€ 86,538","€ 4,500,000","€ 4,641,434",F,25,Austria,Leipzig,Bundesliga,2019-2020
5,Emil Forsberg,"€ 76,923","€ 4,000,000","€ 4,125,719",F,27,Sweden,Leipzig,Bundesliga,2019-2020
6,Yussuf Poulsen,"€ 76,923","€ 4,000,000","€ 4,125,719",F,25,Denmark,Leipzig,Bundesliga,2019-2020
7,Kevin Kampl,"€ 67,308","€ 3,500,000","€ 3,610,004",M,28,Slovenia,Leipzig,Bundesliga,2019-2020
8,Péter Gulácsi,"€ 67,308","€ 3,500,000","€ 3,610,004",K,29,Hungary,Leipzig,Bundesliga,2019-2020
9,Marcel Halstenberg,"€ 57,692","€ 3,000,000","€ 3,094,289",D,27,Germany,Leipzig,Bundesliga,2019-2020
10,Matheus Cunha,"€ 57,500","€ 2,990,000","€ 3,083,975",F,20,Brazil,Leipzig,Bundesliga,2019-2020
11,Konrad Laimer,"€ 57,500","€ 2,990,000","€ 3,083,975",M,22,Austria,Leipzig,Bundesliga,2019-2020
12,Nordi Mukiele,"€ 50,000","€ 2,600,000","€ 2,681,717",D,21,France,Leipzig,Bundesliga,2019-2020
13,Willi Orban,"€ 48,077","€ 2,500,000","€ 2,578,574",D,26,Hungary,Leipzig,Bundesliga,2019-2020
14,Dayot Upamecano,"€ 48,077","€ 2,500,000","€ 2,578,574",D,20,France,Leipzig,Bundesliga,2019-2020
15,Diego Demme,"€ 45,962","€ 2,390,000","€ 2,465,117",M,27,Germany,Leipzig,Bundesliga,2019-2020
16,Stefan Ilsanker,"€ 38,269","€ 1,990,000","€ 2,052,545",M,30,Austria,Leipzig,Bundesliga,2019-2020
17,Yvon Mvogo,"€ 28,846","€ 1,500,000","€ 1,547,145",K,25,Switzerland,Leipzig,Bundesliga,2019-2020
18,Marcelo Saracchi,"€ 28,846","€ 1,500,000","€ 1,547,145",D,21,Uruguay,Leipzig,Bundesliga,2019-2020
19,Lukas Klostermann,"€ 28,846","€ 1,500,000","€ 1,547,145",D,23,Germany,Leipzig,Bundesliga,2019-2020
20,Ademola Lookman,"€ 26,923","€ 1,400,000","€ 1,444,002",F,21,England,Leipzig,Bundesliga,2019-2020
21,Dani Olmo,"€ 23,077","€ 1,200,000","€ 1,237,716",F,21,Spain,Leipzig,Bundesliga,2019-2020
22,Luan Cândido,"€ 23,077","€ 1,200,000","€ 1,237,716",D,18,Brazil,Leipzig,Bundesliga,2019-2020
23,Ethan Ampadu,"€ 22,115","€ 1,150,000","€ 1,186,144",D,18,Wales,Leipzig,Bundesliga,2019-2020
24,Christopher Nkunku,"€ 19,231","€ 1,000,000","€ 1,031,430",M,21,France,Leipzig,Bundesliga,2019-2020
25,Amadou Haidara,"€ 19,231","€ 1,000,000","€ 1,031,430",M,21,Mali,Leipzig,Bundesliga,2019-2020
26,Ibrahima Konaté,"€ 19,231","€ 1,000,000","€ 1,031,430",D,20,France,Leipzig,Bundesliga,2019-2020
27,Tyler Adams,"€ 19,231","€ 1,000,000","€ 1,031,430",M,20,United States,Leipzig,Bundesliga,2019-2020
28,Philipp Tschauner,"€ 12,115","€ 630,000","€ 649,801",K,33,Germany,Leipzig,Bundesliga,2019-2020
29,Hannes Wolf,"€ 11,538","€ 600,000","€ 618,858",F,20,Austria,Leipzig,Bundesliga,2019-2020
30,Mads Bidstrup,"€ 3,462","€ 180,000","€ 185,657",M,18,Denmark,Leipzig,Bundesliga,2019-2020
31,Tom Krauß,"€ 1,538","€ 80,000","€ 82,514",M,18,Germany,Leipzig,Bundesliga,2019-2020
32,Malik Talabidi,"€ 1,154","€ 60,000","€ 61,886",D,18,Germany,Leipzig,Bundesliga,2019-2020
33,Fabrice Hartmann,€ 962,"€ 50,000","€ 51,571",F,18,Germany,Leipzig,Bundesliga,2019-2020
34,Oliver Bias,€ 962,"€ 50,000","€ 51,571",F,18,Germany,Leipzig,Bundesliga,2019-2020
35,Max Winter,€ 962,"€ 50,000","€ 51,571",M,18,Germany,Leipzig,Bundesliga,2019-2020
36,Anton Rücker,€ 962,"€ 50,000","€ 51,571",M,18,Germany,Leipzig,Bundesliga,2019-2020
37,Frederik Jäkel,€ 769,"€ 40,000","€ 41,257",D,18,Germany,Leipzig,Bundesliga,2019-2020
38,Jacob Ruhner,€ 0,€ 0,€ 0,F,18,Germany,Leipzig,Bundesliga,2019-2020
