,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Gerrit Holtmann,"€ 9,615","€ 500,000","€ 515,715",F,24,Germany,Paderborn,Bundesliga,2019-2020
2,Dennis Srbeny,"€ 8,462","€ 440,000","€ 453,829",F,25,Germany,Paderborn,Bundesliga,2019-2020
3,Abdelhamid Sabiri,"€ 8,077","€ 420,000","€ 433,200",F,22,Germany,Paderborn,Bundesliga,2019-2020
4,Rifet Kapic,"€ 7,692","€ 400,000","€ 412,572",M,24,Bosnia-Herzegovina,Paderborn,Bundesliga,2019-2020
5,Marlon Ritter,"€ 6,923","€ 360,000","€ 371,315",F,24,Germany,Paderborn,Bundesliga,2019-2020
6,Cauly,"€ 6,923","€ 360,000","€ 371,315",M,23,Brazil,Paderborn,Bundesliga,2019-2020
7,Antony Evans,"€ 5,962","€ 310,000","€ 319,743",F,21,England,Paderborn,Bundesliga,2019-2020
8,Jannik Huth,"€ 5,962","€ 310,000","€ 319,743",K,25,Germany,Paderborn,Bundesliga,2019-2020
9,Uwe Hünemeier,"€ 5,000","€ 260,000","€ 268,172",D,33,Germany,Paderborn,Bundesliga,2019-2020
10,Christian Strohdiek,"€ 5,000","€ 260,000","€ 268,172",D,31,Germany,Paderborn,Bundesliga,2019-2020
11,Laurent Jans,"€ 5,000","€ 260,000","€ 268,172",D,27,Luxembourg,Paderborn,Bundesliga,2019-2020
12,Babacar Gueye,"€ 4,615","€ 240,000","€ 247,543",F,24,Senegal,Paderborn,Bundesliga,2019-2020
13,Samúel Fridjónsson,"€ 4,423","€ 230,000","€ 237,229",M,23,Iceland,Paderborn,Bundesliga,2019-2020
14,Sebastian Schonlau,"€ 4,423","€ 230,000","€ 237,229",D,25,Germany,Paderborn,Bundesliga,2019-2020
15,Klaus Gjasula,"€ 4,423","€ 230,000","€ 237,229",M,29,Albania,Paderborn,Bundesliga,2019-2020
16,Leopold Zingerle,"€ 4,038","€ 210,000","€ 216,600",K,25,Germany,Paderborn,Bundesliga,2019-2020
17,Sebastian Vasiliadis,"€ 4,038","€ 210,000","€ 216,600",M,21,Germany,Paderborn,Bundesliga,2019-2020
18,Luca Kilian,"€ 3,846","€ 200,000","€ 206,286",D,20,Germany,Paderborn,Bundesliga,2019-2020
19,Mohamed Dräger,"€ 3,462","€ 180,000","€ 185,657",D,23,Tunisia,Paderborn,Bundesliga,2019-2020
20,Christopher Antwi-Adjei,"€ 3,077","€ 160,000","€ 165,029",M,25,Germany,Paderborn,Bundesliga,2019-2020
21,Sven Michel,"€ 3,077","€ 160,000","€ 165,029",F,29,Germany,Paderborn,Bundesliga,2019-2020
22,Jamilu Collins,"€ 3,077","€ 160,000","€ 165,029",D,25,Nigeria,Paderborn,Bundesliga,2019-2020
23,Ben Zolinski,"€ 3,077","€ 160,000","€ 165,029",F,27,Germany,Paderborn,Bundesliga,2019-2020
24,Dennis Jastrzembski,"€ 2,885","€ 150,000","€ 154,714",F,19,Germany,Paderborn,Bundesliga,2019-2020
25,Marcel Hilßner,"€ 2,692","€ 140,000","€ 144,400",F,24,Germany,Paderborn,Bundesliga,2019-2020
26,Kai Pröger,"€ 2,500","€ 130,000","€ 134,086",F,27,Germany,Paderborn,Bundesliga,2019-2020
27,Johannes Dörfler,"€ 2,115","€ 110,000","€ 113,457",F,23,Germany,Paderborn,Bundesliga,2019-2020
28,Michael Ratajczak,"€ 1,538","€ 80,000","€ 82,514",K,37,Germany,Paderborn,Bundesliga,2019-2020
29,Massih Wassey,"€ 1,538","€ 80,000","€ 82,514",F,31,Canada,Paderborn,Bundesliga,2019-2020
30,Streli Mamba,€ 769,"€ 40,000","€ 41,257",F,25,Germany,Paderborn,Bundesliga,2019-2020
31,Leon Brüggemeier,€ 577,"€ 30,000","€ 30,943",K,22,Germany,Paderborn,Bundesliga,2019-2020
32,Adrian Oeynhausen,€ 0,€ 0,€ 0,M,18,Germany,Paderborn,Bundesliga,2019-2020
33,Jan-Luca Rumpf,€ 0,€ 0,€ 0,D,20,Germany,Paderborn,Bundesliga,2019-2020
34,Dominik Bilogrevic,€ 0,€ 0,€ 0,M,20,Croatia,Paderborn,Bundesliga,2019-2020
