,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Nabil Bentaleb,"€ 95,769","€ 4,980,000","€ 5,136,520",M,24,Algeria,Schalke 04,Bundesliga,2019-2020
2,Omar Mascarell,"€ 86,346","€ 4,490,000","€ 4,631,119",M,26,Spain,Schalke 04,Bundesliga,2019-2020
3,Matija Nastasic,"€ 76,923","€ 4,000,000","€ 4,125,719",D,26,Serbia,Schalke 04,Bundesliga,2019-2020
4,Salif Sané,"€ 67,308","€ 3,500,000","€ 3,610,004",D,29,Senegal,Schalke 04,Bundesliga,2019-2020
5,Amine Harit,"€ 57,500","€ 2,990,000","€ 3,083,975",F,22,Morocco,Schalke 04,Bundesliga,2019-2020
6,Bastian Oczipka,"€ 48,077","€ 2,500,000","€ 2,578,574",D,30,Germany,Schalke 04,Bundesliga,2019-2020
7,Weston McKennie,"€ 48,077","€ 2,500,000","€ 2,578,574",M,21,United States,Schalke 04,Bundesliga,2019-2020
8,Benito Raman,"€ 47,885","€ 2,490,000","€ 2,568,260",F,24,Belgium,Schalke 04,Bundesliga,2019-2020
9,Daniel Caligiuri,"€ 47,885","€ 2,490,000","€ 2,568,260",M,31,Italy,Schalke 04,Bundesliga,2019-2020
10,Ozan Kabak,"€ 38,462","€ 2,000,000","€ 2,062,859",D,19,Turkey,Schalke 04,Bundesliga,2019-2020
11,Mark Uth,"€ 38,462","€ 2,000,000","€ 2,062,859",F,28,Germany,Schalke 04,Bundesliga,2019-2020
12,Alessandro Schöpf,"€ 38,269","€ 1,990,000","€ 2,052,545",M,25,Austria,Schalke 04,Bundesliga,2019-2020
13,Benjamin Stambouli,"€ 38,077","€ 1,980,000","€ 2,042,231",D,29,France,Schalke 04,Bundesliga,2019-2020
14,Suat Serdar,"€ 28,846","€ 1,500,000","€ 1,547,145",M,22,Germany,Schalke 04,Bundesliga,2019-2020
15,Jean-Clair Todibo,"€ 24,038","€ 1,250,000","€ 1,289,287",D,20,France,Schalke 04,Bundesliga,2019-2020
16,Rabbi Matondo,"€ 19,231","€ 1,000,000","€ 1,031,430",F,19,Wales,Schalke 04,Bundesliga,2019-2020
17,Guido Burgstaller,"€ 19,231","€ 1,000,000","€ 1,031,430",F,30,Austria,Schalke 04,Bundesliga,2019-2020
18,Michael Gregoritsch,"€ 19,231","€ 1,000,000","€ 1,031,430",F,25,Austria,Schalke 04,Bundesliga,2019-2020
19,Jonjoe Kenny,"€ 17,500","€ 910,000","€ 938,601",D,22,England,Schalke 04,Bundesliga,2019-2020
20,Alexander Nübel,"€ 11,538","€ 600,000","€ 618,858",K,22,Germany,Schalke 04,Bundesliga,2019-2020
21,Steven Skrzybski,"€ 11,538","€ 600,000","€ 618,858",F,26,Germany,Schalke 04,Bundesliga,2019-2020
22,Michael Langer,"€ 10,000","€ 520,000","€ 536,343",K,34,Austria,Schalke 04,Bundesliga,2019-2020
23,Markus Schubert,"€ 9,615","€ 500,000","€ 515,715",K,21,Germany,Schalke 04,Bundesliga,2019-2020
24,Ahmed Kutucu,"€ 9,615","€ 500,000","€ 515,715",F,19,Turkey,Schalke 04,Bundesliga,2019-2020
25,Nassim Boujellab,"€ 9,615","€ 500,000","€ 515,715",M,20,Morocco,Schalke 04,Bundesliga,2019-2020
26,Juan Miranda,"€ 7,885","€ 410,000","€ 422,886",D,19,Spain,Schalke 04,Bundesliga,2019-2020
27,Fabian Reese,"€ 5,769","€ 300,000","€ 309,429",F,21,Germany,Schalke 04,Bundesliga,2019-2020
28,Timo Becker,"€ 1,154","€ 60,000","€ 61,886",D,22,Germany,Schalke 04,Bundesliga,2019-2020
29,Jonas Carls,€ 769,"€ 40,000","€ 41,257",D,22,Germany,Schalke 04,Bundesliga,2019-2020
30,Levent Mercan,€ 577,"€ 30,000","€ 30,943",M,18,Germany,Schalke 04,Bundesliga,2019-2020
