,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Yunus Malli,"€ 86,346","€ 4,490,000","€ 4,631,119",F,27,Turkey,Union Berlin,Bundesliga,2019-2020
2,Sebastian Polter,"€ 19,038","€ 990,000","€ 1,021,115",F,28,Germany,Union Berlin,Bundesliga,2019-2020
3,Sebastian Andersson,"€ 19,038","€ 990,000","€ 1,021,115",F,28,Sweden,Union Berlin,Bundesliga,2019-2020
4,Grischa Prömel,"€ 16,923","€ 880,000","€ 907,658",M,24,Germany,Union Berlin,Bundesliga,2019-2020
5,Florian Hübner,"€ 15,962","€ 830,000","€ 856,087",D,28,Germany,Union Berlin,Bundesliga,2019-2020
6,Marcus Ingvartsen,"€ 15,962","€ 830,000","€ 856,087",F,23,Denmark,Union Berlin,Bundesliga,2019-2020
7,Neven Subotic,"€ 15,385","€ 800,000","€ 825,144",D,30,Germany,Union Berlin,Bundesliga,2019-2020
8,Akaki Gogia,"€ 15,000","€ 780,000","€ 804,515",F,27,Germany,Union Berlin,Bundesliga,2019-2020
9,Rafal Gikiewicz,"€ 15,000","€ 780,000","€ 804,515",K,31,Poland,Union Berlin,Bundesliga,2019-2020
10,Christian Gentner,"€ 13,462","€ 700,000","€ 722,001",M,34,Germany,Union Berlin,Bundesliga,2019-2020
11,Nicolai Rapp,"€ 13,077","€ 680,000","€ 701,372",D,22,Germany,Union Berlin,Bundesliga,2019-2020
12,Felix Kroos,"€ 13,077","€ 680,000","€ 701,372",M,28,Germany,Union Berlin,Bundesliga,2019-2020
13,Manuel Schmiedebach,"€ 12,500","€ 650,000","€ 670,429",M,30,Germany,Union Berlin,Bundesliga,2019-2020
14,Ken Reichel,"€ 11,923","€ 620,000","€ 639,486",D,32,Germany,Union Berlin,Bundesliga,2019-2020
15,Christopher Trimmel,"€ 11,923","€ 620,000","€ 639,486",D,32,Austria,Union Berlin,Bundesliga,2019-2020
16,Anthony Ujah,"€ 11,538","€ 600,000","€ 618,858",F,28,Nigeria,Union Berlin,Bundesliga,2019-2020
17,Jakob Busk,"€ 10,000","€ 520,000","€ 536,343",K,25,Denmark,Union Berlin,Bundesliga,2019-2020
18,Julian Ryerson,"€ 10,000","€ 520,000","€ 536,343",D,21,Norway,Union Berlin,Bundesliga,2019-2020
19,Marvin Friedrich,"€ 9,615","€ 500,000","€ 515,715",D,23,Germany,Union Berlin,Bundesliga,2019-2020
20,Sheraldo Becker,"€ 9,615","€ 500,000","€ 515,715",F,24,Netherlands,Union Berlin,Bundesliga,2019-2020
21,Suleiman Abdullahi,"€ 9,615","€ 500,000","€ 515,715",F,22,Nigeria,Union Berlin,Bundesliga,2019-2020
22,Joshua Mees,"€ 9,038","€ 470,000","€ 484,772",F,23,Germany,Union Berlin,Bundesliga,2019-2020
23,Robert Andrich,"€ 8,462","€ 440,000","€ 453,829",M,24,Germany,Union Berlin,Bundesliga,2019-2020
24,Marius Bülter,"€ 8,077","€ 420,000","€ 433,200",F,26,Germany,Union Berlin,Bundesliga,2019-2020
25,Michael Parensen,"€ 8,077","€ 420,000","€ 433,200",D,33,Germany,Union Berlin,Bundesliga,2019-2020
26,Julius Kade,"€ 5,962","€ 310,000","€ 319,743",F,20,Germany,Union Berlin,Bundesliga,2019-2020
27,Christopher Lenz,"€ 5,962","€ 310,000","€ 319,743",D,24,Germany,Union Berlin,Bundesliga,2019-2020
28,Lennard Maloney,"€ 2,115","€ 110,000","€ 113,457",D,19,United States,Union Berlin,Bundesliga,2019-2020
29,Laurenz Dehl,"€ 1,923","€ 100,000","€ 103,143",F,17,Germany,Union Berlin,Bundesliga,2019-2020
30,Maurice Opfermann Arcones,"€ 1,923","€ 100,000","€ 103,143",M,19,Germany,Union Berlin,Bundesliga,2019-2020
31,Florian Flecker,"€ 1,923","€ 100,000","€ 103,143",F,23,Austria,Union Berlin,Bundesliga,2019-2020
32,Moritz Nicolas,"€ 1,923","€ 100,000","€ 103,143",K,21,Germany,Union Berlin,Bundesliga,2019-2020
33,Keven Schlotterbeck,"€ 1,154","€ 60,000","€ 61,886",D,22,Germany,Union Berlin,Bundesliga,2019-2020
34,Leo Oppermann,€ 962,"€ 50,000","€ 51,571",K,18,Germany,Union Berlin,Bundesliga,2019-2020
