,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Ömer Toprak,"€ 76,731","€ 3,990,000","€ 4,115,404",D,30,Turkey,Werder Bremen,Bundesliga,2019-2020
2,Davy Klaassen,"€ 67,115","€ 3,490,000","€ 3,599,690",M,26,Netherlands,Werder Bremen,Bundesliga,2019-2020
3,Maximilian Eggestein,"€ 57,692","€ 3,000,000","€ 3,094,289",M,22,Germany,Werder Bremen,Bundesliga,2019-2020
4,Jiri Pavlenka,"€ 48,077","€ 2,500,000","€ 2,578,574",K,27,Czech Republic,Werder Bremen,Bundesliga,2019-2020
5,Niclas Füllkrug,"€ 48,077","€ 2,500,000","€ 2,578,574",F,26,Germany,Werder Bremen,Bundesliga,2019-2020
6,Leonardo Bittencourt,"€ 47,885","€ 2,490,000","€ 2,568,260",F,25,Germany,Werder Bremen,Bundesliga,2019-2020
7,Nuri Sahin,"€ 38,462","€ 2,000,000","€ 2,062,859",M,31,Turkey,Werder Bremen,Bundesliga,2019-2020
8,Kevin Vogt,"€ 38,462","€ 2,000,000","€ 2,062,859",D,28,Germany,Werder Bremen,Bundesliga,2019-2020
9,Ludwig Augustinsson,"€ 38,462","€ 2,000,000","€ 2,062,859",D,25,Sweden,Werder Bremen,Bundesliga,2019-2020
10,Michael Lang,"€ 38,269","€ 1,990,000","€ 2,052,545",D,28,Switzerland,Werder Bremen,Bundesliga,2019-2020
11,Milot Rashica,"€ 38,269","€ 1,990,000","€ 2,052,545",F,23,Kosovo,Werder Bremen,Bundesliga,2019-2020
12,Yuya Osako,"€ 38,269","€ 1,990,000","€ 2,052,545",F,29,Japan,Werder Bremen,Bundesliga,2019-2020
13,Niklas Moisander,"€ 38,269","€ 1,990,000","€ 2,052,545",D,33,Finland,Werder Bremen,Bundesliga,2019-2020
14,Davie Selke,"€ 28,846","€ 1,500,000","€ 1,547,145",F,25,Germany,Werder Bremen,Bundesliga,2019-2020
15,Theodor Gebre Selassie,"€ 28,846","€ 1,500,000","€ 1,547,145",D,32,Czech Republic,Werder Bremen,Bundesliga,2019-2020
16,Johannes Eggestein,"€ 19,231","€ 1,000,000","€ 1,031,430",F,21,Germany,Werder Bremen,Bundesliga,2019-2020
17,Kevin Möhwald,"€ 19,231","€ 1,000,000","€ 1,031,430",M,26,Germany,Werder Bremen,Bundesliga,2019-2020
18,Philipp Bargfrede,"€ 19,231","€ 1,000,000","€ 1,031,430",M,30,Germany,Werder Bremen,Bundesliga,2019-2020
19,Fin Bartels,"€ 18,462","€ 960,000","€ 990,173",F,32,Germany,Werder Bremen,Bundesliga,2019-2020
20,Milos Veljkovic,"€ 15,000","€ 780,000","€ 804,515",D,23,Serbia,Werder Bremen,Bundesliga,2019-2020
21,Sebastian Langkamp,"€ 15,000","€ 780,000","€ 804,515",D,31,Germany,Werder Bremen,Bundesliga,2019-2020
22,Josh Sargent,"€ 13,462","€ 700,000","€ 722,001",F,19,United States,Werder Bremen,Bundesliga,2019-2020
23,Marco Friedl,"€ 8,462","€ 440,000","€ 453,829",D,21,Austria,Werder Bremen,Bundesliga,2019-2020
24,Stefanos Kapino,"€ 8,462","€ 440,000","€ 453,829",K,25,Greece,Werder Bremen,Bundesliga,2019-2020
25,Luca Plogmann,"€ 3,077","€ 160,000","€ 165,029",K,19,Germany,Werder Bremen,Bundesliga,2019-2020
26,Christian Groß,"€ 2,500","€ 130,000","€ 134,086",D,30,Germany,Werder Bremen,Bundesliga,2019-2020
27,David Philipp,"€ 1,923","€ 100,000","€ 103,143",F,19,Germany,Werder Bremen,Bundesliga,2019-2020
28,Ilia Gruev,€ 962,"€ 50,000","€ 51,571",M,19,Bulgaria,Werder Bremen,Bundesliga,2019-2020
29,Simon Straudi,€ 769,"€ 40,000","€ 41,257",M,20,Italy,Werder Bremen,Bundesliga,2019-2020
30,Benjamin Goller,€ 577,"€ 30,000","€ 30,943",F,20,Germany,Werder Bremen,Bundesliga,2019-2020
