,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Daniel Caligiuri,"€ 40,385","€ 2,100,000","€ 2,100,000",F,34,Italy,Augsburg,Bundesliga,2021-2022
2,Andi Zeqiri,"€ 30,962","€ 1,610,000","€ 1,610,000",F,22,Switzerland,Augsburg,Bundesliga,2021-2022
3,Carlos Gruezo,"€ 30,769","€ 1,600,000","€ 1,600,000",M,26,Ecuador,Augsburg,Bundesliga,2021-2022
4,André Hahn,"€ 30,769","€ 1,600,000","€ 1,600,000",F,31,Germany,Augsburg,Bundesliga,2021-2022
5,Florian Niederlechner,"€ 28,846","€ 1,500,000","€ 1,500,000",F,31,Germany,Augsburg,Bundesliga,2021-2022
6,Jeffrey Gouweleeuw,"€ 28,846","€ 1,500,000","€ 1,500,000",D,30,Netherlands,Augsburg,Bundesliga,2021-2022
7,Iago,"€ 23,077","€ 1,200,000","€ 1,200,000",D,24,Brazil,Augsburg,Bundesliga,2021-2022
8,Alfred Finnbogason,"€ 22,500","€ 1,170,000","€ 1,170,000",F,33,Iceland,Augsburg,Bundesliga,2021-2022
9,Tomas Koubek,"€ 19,231","€ 1,000,000","€ 1,000,000",K,29,Czech Republic,Augsburg,Bundesliga,2021-2022
10,Michael Gregoritsch,"€ 19,231","€ 1,000,000","€ 1,000,000",F,27,Austria,Augsburg,Bundesliga,2021-2022
11,Tobias Strobl,"€ 19,231","€ 1,000,000","€ 1,000,000",M,31,Germany,Augsburg,Bundesliga,2021-2022
12,Ricardo Pepi,"€ 16,154","€ 840,000","€ 840,000",F,19,United States,Augsburg,Bundesliga,2021-2022
13,Felix Uduokhai,"€ 15,385","€ 800,000","€ 800,000",D,24,Germany,Augsburg,Bundesliga,2021-2022
14,Reece Oxford,"€ 14,808","€ 770,000","€ 770,000",D,23,England,Augsburg,Bundesliga,2021-2022
15,Niklas Dorsch,"€ 13,462","€ 700,000","€ 700,000",M,24,Germany,Augsburg,Bundesliga,2021-2022
16,Noah Sarenren Bazee,"€ 13,462","€ 700,000","€ 700,000",F,25,Germany,Augsburg,Bundesliga,2021-2022
17,Arne Maier,"€ 12,308","€ 640,000","€ 640,000",M,23,Germany,Augsburg,Bundesliga,2021-2022
18,Lasse Günther,"€ 11,154","€ 580,000","€ 580,000",F,18,Germany,Augsburg,Bundesliga,2021-2022
19,Raphael Framberger,"€ 10,962","€ 570,000","€ 570,000",D,26,Germany,Augsburg,Bundesliga,2021-2022
20,Rubén Vargas,"€ 10,577","€ 550,000","€ 550,000",F,23,Switzerland,Augsburg,Bundesliga,2021-2022
21,Rafal Gikiewicz,"€ 10,385","€ 540,000","€ 540,000",K,34,Poland,Augsburg,Bundesliga,2021-2022
22,Jan Moravek,"€ 10,192","€ 530,000","€ 530,000",M,32,Czech Republic,Augsburg,Bundesliga,2021-2022
23,Mads Pedersen,"€ 8,846","€ 460,000","€ 460,000",D,25,Denmark,Augsburg,Bundesliga,2021-2022
24,Fredrik Jensen,"€ 7,885","€ 410,000","€ 410,000",F,24,Finland,Augsburg,Bundesliga,2021-2022
25,Robert Gumny,"€ 4,231","€ 220,000","€ 220,000",D,23,Poland,Augsburg,Bundesliga,2021-2022
26,Sergio Córdova,"€ 3,846","€ 200,000","€ 200,000",F,24,Venezuela,Augsburg,Bundesliga,2021-2022
27,Tim Civeja,"€ 3,846","€ 200,000","€ 200,000",M,20,Germany,Augsburg,Bundesliga,2021-2022
28,Frederik Winther,"€ 1,538","€ 80,000","€ 80,000",D,21,Denmark,Augsburg,Bundesliga,2021-2022
29,Daniel Klein,€ 385,"€ 20,000","€ 20,000",K,20,Germany,Augsburg,Bundesliga,2021-2022
