,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Eduard Löwen,"€ 25,000","€ 1,300,000","€ 1,300,000",M,25,Germany,Bochum,Bundesliga,2021-2022
2,Manuel Riemann,"€ 23,654","€ 1,230,000","€ 1,230,000",K,33,Germany,Bochum,Bundesliga,2021-2022
3,Jürgen Locadia,"€ 20,769","€ 1,080,000","€ 1,080,000",F,28,Netherlands,Bochum,Bundesliga,2021-2022
4,Anthony Losilla,"€ 17,692","€ 920,000","€ 920,000",M,35,France,Bochum,Bundesliga,2021-2022
5,Robert Tesche,"€ 17,500","€ 910,000","€ 910,000",M,34,Germany,Bochum,Bundesliga,2021-2022
6,Raman Chibsah,"€ 16,538","€ 860,000","€ 860,000",M,28,Ghana,Bochum,Bundesliga,2021-2022
7,Sebastian Polter,"€ 16,154","€ 840,000","€ 840,000",F,30,Germany,Bochum,Bundesliga,2021-2022
8,Elvis Rexhbecaj,"€ 15,385","€ 800,000","€ 800,000",M,24,Germany,Bochum,Bundesliga,2021-2022
9,Saulo Decarli,"€ 14,808","€ 770,000","€ 770,000",D,29,Switzerland,Bochum,Bundesliga,2021-2022
10,Konstantinos Stafylidis,"€ 14,231","€ 740,000","€ 740,000",D,28,Greece,Bochum,Bundesliga,2021-2022
11,Erhan Masovic,"€ 12,308","€ 640,000","€ 640,000",D,23,Serbia,Bochum,Bundesliga,2021-2022
12,Herbert Bockhorn,"€ 9,038","€ 470,000","€ 470,000",D,27,Germany,Bochum,Bundesliga,2021-2022
13,Cristian Gamboa,"€ 9,038","€ 470,000","€ 470,000",D,32,Costa Rica,Bochum,Bundesliga,2021-2022
14,Gerrit Holtmann,"€ 8,654","€ 450,000","€ 450,000",F,26,Philippines,Bochum,Bundesliga,2021-2022
15,Simon Zoller,"€ 8,462","€ 440,000","€ 440,000",F,30,Germany,Bochum,Bundesliga,2021-2022
16,Danilo Soares,"€ 8,269","€ 430,000","€ 430,000",D,30,Brazil,Bochum,Bundesliga,2021-2022
17,Vasilios Lampropoulos,"€ 7,692","€ 400,000","€ 400,000",D,31,Greece,Bochum,Bundesliga,2021-2022
18,Danny Blum,"€ 6,731","€ 350,000","€ 350,000",F,31,Germany,Bochum,Bundesliga,2021-2022
19,Maxim Leitsch,"€ 5,769","€ 300,000","€ 300,000",D,23,Germany,Bochum,Bundesliga,2021-2022
20,Armel Bella Kotchap,"€ 5,577","€ 290,000","€ 290,000",D,20,Germany,Bochum,Bundesliga,2021-2022
21,Silvère Ganvoula,"€ 4,423","€ 230,000","€ 230,000",F,25,Congo,Bochum,Bundesliga,2021-2022
22,Tarsis Bonga,"€ 3,846","€ 200,000","€ 200,000",F,25,Germany,Bochum,Bundesliga,2021-2022
23,Tom Weilandt,"€ 3,654","€ 190,000","€ 190,000",F,29,Germany,Bochum,Bundesliga,2021-2022
24,Paul Grave,"€ 3,269","€ 170,000","€ 170,000",K,20,Germany,Bochum,Bundesliga,2021-2022
25,Soma Novothny,"€ 3,077","€ 160,000","€ 160,000",F,27,Hungary,Bochum,Bundesliga,2021-2022
26,Milos Pantovic,"€ 2,885","€ 150,000","€ 150,000",F,25,Serbia,Bochum,Bundesliga,2021-2022
27,Takuma Asano,€ 962,"€ 50,000","€ 50,000",F,27,Japan,Bochum,Bundesliga,2021-2022
28,Tjark Ernst,€ 769,"€ 40,000","€ 40,000",K,18,Germany,Bochum,Bundesliga,2021-2022
29,Michael Esser,€ 577,"€ 30,000","€ 30,000",K,34,Germany,Bochum,Bundesliga,2021-2022
30,Christopher Antwi-Adjei,€ 577,"€ 30,000","€ 30,000",F,27,Ghana,Bochum,Bundesliga,2021-2022
31,Luis Hartwig,€ 385,"€ 20,000","€ 20,000",F,19,Germany,Bochum,Bundesliga,2021-2022
32,Patrick Osterhage,€ 385,"€ 20,000","€ 20,000",M,22,Germany,Bochum,Bundesliga,2021-2022
