,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Marco Reus,"€ 211,538","€ 11,000,000","€ 11,000,000",F,32,Germany,Borussia Dortmund,Bundesliga,2021-2022
2,Thomas Meunier,"€ 192,308","€ 10,000,000","€ 10,000,000",D,30,Belgium,Borussia Dortmund,Bundesliga,2021-2022
3,Mats Hummels,"€ 192,308","€ 10,000,000","€ 10,000,000",D,33,Germany,Borussia Dortmund,Bundesliga,2021-2022
4,Emre Can,"€ 169,231","€ 8,800,000","€ 8,800,000",M,28,Germany,Borussia Dortmund,Bundesliga,2021-2022
5,Axel Witsel,"€ 153,846","€ 8,000,000","€ 8,000,000",M,33,Belgium,Borussia Dortmund,Bundesliga,2021-2022
6,Erling Haaland,"€ 151,923","€ 7,900,000","€ 7,900,000",F,21,Norway,Borussia Dortmund,Bundesliga,2021-2022
7,Donyell Malen,"€ 86,538","€ 4,500,000","€ 4,500,000",F,23,Netherlands,Borussia Dortmund,Bundesliga,2021-2022
8,Mahmoud Dahoud,"€ 76,923","€ 4,000,000","€ 4,000,000",M,26,Germany,Borussia Dortmund,Bundesliga,2021-2022
9,Julian Brandt,"€ 76,923","€ 4,000,000","€ 4,000,000",F,25,Germany,Borussia Dortmund,Bundesliga,2021-2022
10,Marcel Schmelzer,"€ 69,231","€ 3,600,000","€ 3,600,000",D,34,Germany,Borussia Dortmund,Bundesliga,2021-2022
11,Raphaël Guerreiro,"€ 67,308","€ 3,500,000","€ 3,500,000",D,28,Portugal,Borussia Dortmund,Bundesliga,2021-2022
12,Marius Wolf,"€ 63,462","€ 3,300,000","€ 3,300,000",F,26,Germany,Borussia Dortmund,Bundesliga,2021-2022
13,Roman Bürki,"€ 57,692","€ 3,000,000","€ 3,000,000",K,31,Switzerland,Borussia Dortmund,Bundesliga,2021-2022
14,Marin Pongracic,"€ 48,077","€ 2,500,000","€ 2,500,000",D,24,Croatia,Borussia Dortmund,Bundesliga,2021-2022
15,Manuel Akanji,"€ 48,077","€ 2,500,000","€ 2,500,000",D,26,Switzerland,Borussia Dortmund,Bundesliga,2021-2022
16,Marwin Hitz,"€ 42,308","€ 2,200,000","€ 2,200,000",K,34,Switzerland,Borussia Dortmund,Bundesliga,2021-2022
17,Gregor Kobel,"€ 39,231","€ 2,040,000","€ 2,040,000",K,24,Switzerland,Borussia Dortmund,Bundesliga,2021-2022
18,Jude Bellingham,"€ 30,769","€ 1,600,000","€ 1,600,000",M,18,England,Borussia Dortmund,Bundesliga,2021-2022
19,Thorgan Hazard,"€ 30,769","€ 1,600,000","€ 1,600,000",F,28,Belgium,Borussia Dortmund,Bundesliga,2021-2022
20,Nico Schulz,"€ 25,000","€ 1,300,000","€ 1,300,000",D,28,Germany,Borussia Dortmund,Bundesliga,2021-2022
21,Soumaïla Coulibaly,"€ 20,192","€ 1,050,000","€ 1,050,000",D,18,France,Borussia Dortmund,Bundesliga,2021-2022
22,Felix Passlack,"€ 17,115","€ 890,000","€ 890,000",D,23,Germany,Borussia Dortmund,Bundesliga,2021-2022
23,Mateu Morey Bauzà,"€ 13,846","€ 720,000","€ 720,000",D,21,Spain,Borussia Dortmund,Bundesliga,2021-2022
24,Reinier,"€ 10,962","€ 570,000","€ 570,000",F,20,Brazil,Borussia Dortmund,Bundesliga,2021-2022
25,Stefan Drljaca,"€ 6,731","€ 350,000","€ 350,000",K,22,Germany,Borussia Dortmund,Bundesliga,2021-2022
26,Youssoufa Moukoko,"€ 4,615","€ 240,000","€ 240,000",F,17,Germany,Borussia Dortmund,Bundesliga,2021-2022
27,Dan-Axel Zagadou,"€ 4,423","€ 230,000","€ 230,000",D,22,France,Borussia Dortmund,Bundesliga,2021-2022
28,Ansgar Knauff,"€ 3,077","€ 160,000","€ 160,000",F,19,Germany,Borussia Dortmund,Bundesliga,2021-2022
29,Abdoulaye Kamara,"€ 2,885","€ 150,000","€ 150,000",M,17,Guinea,Borussia Dortmund,Bundesliga,2021-2022
30,Giovanni Reyna,"€ 2,500","€ 130,000","€ 130,000",F,19,United States,Borussia Dortmund,Bundesliga,2021-2022
31,Tobias Raschl,"€ 1,538","€ 80,000","€ 80,000",M,21,Germany,Borussia Dortmund,Bundesliga,2021-2022
32,Steffen Tigges,€ 962,"€ 50,000","€ 50,000",F,23,Germany,Borussia Dortmund,Bundesliga,2021-2022
33,Luca Unbehaun,€ 962,"€ 50,000","€ 50,000",K,20,Germany,Borussia Dortmund,Bundesliga,2021-2022
