,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Luca Itter,"€ 20,192","€ 1,050,000","€ 1,050,000",D,23,Germany,Furth,Bundesliga,2021-2022
2,Paul Seguin,"€ 17,692","€ 920,000","€ 920,000",M,26,Germany,Furth,Bundesliga,2021-2022
3,Julian Green,"€ 15,769","€ 820,000","€ 820,000",M,26,United States,Furth,Bundesliga,2021-2022
4,Sascha Burchert,"€ 14,808","€ 770,000","€ 770,000",K,32,Germany,Furth,Bundesliga,2021-2022
5,Cedric Itten,"€ 14,615","€ 760,000","€ 760,000",F,24,Switzerland,Furth,Bundesliga,2021-2022
6,Havard Nielsen,"€ 13,462","€ 700,000","€ 700,000",F,28,Norway,Furth,Bundesliga,2021-2022
7,Nick Viergever,"€ 12,500","€ 650,000","€ 650,000",D,32,Netherlands,Furth,Bundesliga,2021-2022
8,Andreas Linde,"€ 11,538","€ 600,000","€ 600,000",K,28,Sweden,Furth,Bundesliga,2021-2022
9,Justin Hoogma,"€ 9,808","€ 510,000","€ 510,000",D,23,Netherlands,Furth,Bundesliga,2021-2022
10,Afimico Pululu,"€ 9,615","€ 500,000","€ 500,000",F,22,Angola,Furth,Bundesliga,2021-2022
11,Nunoo Sarpei,"€ 8,462","€ 440,000","€ 440,000",M,23,Ghana,Furth,Bundesliga,2021-2022
12,Branimir Hrgota,"€ 8,077","€ 420,000","€ 420,000",F,29,Sweden,Furth,Bundesliga,2021-2022
13,Sebastian Griesbeck,"€ 7,885","€ 410,000","€ 410,000",M,31,Germany,Furth,Bundesliga,2021-2022
14,Tobias Raschl,"€ 6,731","€ 350,000","€ 350,000",M,21,Germany,Furth,Bundesliga,2021-2022
15,Adrian Fein,"€ 6,731","€ 350,000","€ 350,000",M,22,Germany,Furth,Bundesliga,2021-2022
16,Simon Asta,"€ 6,346","€ 330,000","€ 330,000",D,21,Germany,Furth,Bundesliga,2021-2022
17,Marco Meyerhöfer,"€ 6,154","€ 320,000","€ 320,000",D,26,Germany,Furth,Bundesliga,2021-2022
18,Jetro Willems,"€ 5,962","€ 310,000","€ 310,000",D,27,Netherlands,Furth,Bundesliga,2021-2022
19,Emil Berggreen,"€ 5,962","€ 310,000","€ 310,000",F,28,Denmark,Furth,Bundesliga,2021-2022
20,Gideon Jung,"€ 5,385","€ 280,000","€ 280,000",D,27,Germany,Furth,Bundesliga,2021-2022
21,Jeremy Dudziak,"€ 4,808","€ 250,000","€ 250,000",F,26,Germany,Furth,Bundesliga,2021-2022
22,Timothy Tillman,"€ 4,231","€ 220,000","€ 220,000",F,23,Germany,Furth,Bundesliga,2021-2022
23,Marius Funk,"€ 3,654","€ 190,000","€ 190,000",K,26,Germany,Furth,Bundesliga,2021-2022
24,Maximilian Bauer,"€ 3,654","€ 190,000","€ 190,000",D,21,Germany,Furth,Bundesliga,2021-2022
25,Abdourahmane Barry,"€ 2,885","€ 150,000","€ 150,000",D,21,France,Furth,Bundesliga,2021-2022
26,Jamie Leweling,"€ 2,885","€ 150,000","€ 150,000",F,20,Germany,Furth,Bundesliga,2021-2022
27,Leon Schaffran,"€ 2,885","€ 150,000","€ 150,000",K,23,Germany,Furth,Bundesliga,2021-2022
28,Nils Seufert,"€ 2,885","€ 150,000","€ 150,000",M,24,Germany,Furth,Bundesliga,2021-2022
29,Max Christiansen,"€ 2,692","€ 140,000","€ 140,000",M,25,Germany,Furth,Bundesliga,2021-2022
30,Elias Kratzer,"€ 2,115","€ 110,000","€ 110,000",D,21,Germany,Furth,Bundesliga,2021-2022
31,Robin Kehr,"€ 1,154","€ 60,000","€ 60,000",F,21,Germany,Furth,Bundesliga,2021-2022
32,Jessic Ngankam,€ 962,"€ 50,000","€ 50,000",F,21,Germany,Furth,Bundesliga,2021-2022
33,Dickson Abiama,€ 769,"€ 40,000","€ 40,000",F,23,Nigeria,Furth,Bundesliga,2021-2022
34,Lasse Schulz,€ 577,"€ 30,000","€ 30,000",K,18,Finland,Furth,Bundesliga,2021-2022
35,Mert-Yusuf Torlak,€ 385,"€ 20,000","€ 20,000",F,19,Germany,Furth,Bundesliga,2021-2022
