,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Krzysztof Piatek,"€ 108,846","€ 5,660,000","€ 5,660,000",F,26,Poland,Hertha Berlin,Bundesliga,2021-2022
2,Suat Serdar,"€ 60,192","€ 3,130,000","€ 3,130,000",M,24,Germany,Hertha Berlin,Bundesliga,2021-2022
3,Lucas Tousart,"€ 50,000","€ 2,600,000","€ 2,600,000",M,24,France,Hertha Berlin,Bundesliga,2021-2022
4,Davie Selke,"€ 48,077","€ 2,500,000","€ 2,500,000",F,27,Germany,Hertha Berlin,Bundesliga,2021-2022
5,Dedryck Boyata,"€ 46,154","€ 2,400,000","€ 2,400,000",D,31,Belgium,Hertha Berlin,Bundesliga,2021-2022
6,Vladimir Darida,"€ 46,154","€ 2,400,000","€ 2,400,000",M,31,Czech Republic,Hertha Berlin,Bundesliga,2021-2022
7,Rune Jarstein,"€ 40,000","€ 2,080,000","€ 2,080,000",K,37,Norway,Hertha Berlin,Bundesliga,2021-2022
8,Santiago Ascacíbar,"€ 30,769","€ 1,600,000","€ 1,600,000",M,24,Argentina,Hertha Berlin,Bundesliga,2021-2022
9,Marvin Plattenhardt,"€ 28,846","€ 1,500,000","€ 1,500,000",D,30,Germany,Hertha Berlin,Bundesliga,2021-2022
10,Stevan Jovetic,"€ 25,192","€ 1,310,000","€ 1,310,000",F,32,Montenegro,Hertha Berlin,Bundesliga,2021-2022
11,Niklas Stark,"€ 23,077","€ 1,200,000","€ 1,200,000",D,26,Germany,Hertha Berlin,Bundesliga,2021-2022
12,Kevin-Prince Boateng,"€ 23,077","€ 1,200,000","€ 1,200,000",F,34,Ghana,Hertha Berlin,Bundesliga,2021-2022
13,Fredrik Björkan,"€ 22,115","€ 1,150,000","€ 1,150,000",D,23,Norway,Hertha Berlin,Bundesliga,2021-2022
14,Marc Oliver Kempf,"€ 20,769","€ 1,080,000","€ 1,080,000",D,27,Germany,Hertha Berlin,Bundesliga,2021-2022
15,Maximilian Mittelstädt,"€ 19,038","€ 990,000","€ 990,000",D,24,Germany,Hertha Berlin,Bundesliga,2021-2022
16,Alexander Schwolow,"€ 16,923","€ 880,000","€ 880,000",K,29,Germany,Hertha Berlin,Bundesliga,2021-2022
17,Jurgen Ekkelenkamp,"€ 15,000","€ 780,000","€ 780,000",M,21,Netherlands,Hertha Berlin,Bundesliga,2021-2022
18,Jordan Torunarigha,"€ 14,808","€ 770,000","€ 770,000",D,24,Germany,Hertha Berlin,Bundesliga,2021-2022
19,Ishak Belfodil,"€ 14,615","€ 760,000","€ 760,000",F,30,Algeria,Hertha Berlin,Bundesliga,2021-2022
20,Peter Pekarik,"€ 14,231","€ 740,000","€ 740,000",D,35,Slovakia,Hertha Berlin,Bundesliga,2021-2022
21,Lukas Klünter,"€ 14,038","€ 730,000","€ 730,000",D,25,Germany,Hertha Berlin,Bundesliga,2021-2022
22,Dong-jun Lee,"€ 13,654","€ 710,000","€ 710,000",F,25,South Korea,Hertha Berlin,Bundesliga,2021-2022
23,Deyovaisio Zeefuik,"€ 11,538","€ 600,000","€ 600,000",D,23,Netherlands,Hertha Berlin,Bundesliga,2021-2022
24,Oliver Christensen,"€ 8,654","€ 450,000","€ 450,000",K,22,Denmark,Hertha Berlin,Bundesliga,2021-2022
25,Marco Richter,"€ 8,654","€ 450,000","€ 450,000",F,24,Germany,Hertha Berlin,Bundesliga,2021-2022
26,Jonas Michelbrink,"€ 3,846","€ 200,000","€ 200,000",M,20,Germany,Hertha Berlin,Bundesliga,2021-2022
27,Kelian Nsona,"€ 3,462","€ 180,000","€ 180,000",F,19,France,Hertha Berlin,Bundesliga,2021-2022
28,Myziane Maolida,"€ 2,885","€ 150,000","€ 150,000",F,22,France,Hertha Berlin,Bundesliga,2021-2022
29,Nils Körber,"€ 1,538","€ 80,000","€ 80,000",K,25,Germany,Hertha Berlin,Bundesliga,2021-2022
30,Dennis Jastrzembski,"€ 1,346","€ 70,000","€ 70,000",F,21,Germany,Hertha Berlin,Bundesliga,2021-2022
31,Márton Dárdai,"€ 1,346","€ 70,000","€ 70,000",D,19,Germany,Hertha Berlin,Bundesliga,2021-2022
32,Anton Kade,"€ 1,154","€ 60,000","€ 60,000",F,18,Germany,Hertha Berlin,Bundesliga,2021-2022
33,Ruwen Werthmüller,"€ 1,154","€ 60,000","€ 60,000",F,21,Switzerland,Hertha Berlin,Bundesliga,2021-2022
34,Linus Gechter,€ 385,"€ 20,000","€ 20,000",D,17,Germany,Hertha Berlin,Bundesliga,2021-2022
