,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Sebastian Rudy,"€ 84,615","€ 4,400,000","€ 4,400,000",M,31,Germany,Hoffenheim,Bundesliga,2021-2022
2,Diadié Samassékou,"€ 75,000","€ 3,900,000","€ 3,900,000",M,26,Mali,Hoffenheim,Bundesliga,2021-2022
3,Oliver Baumann,"€ 60,577","€ 3,150,000","€ 3,150,000",K,31,Germany,Hoffenheim,Bundesliga,2021-2022
4,Andrej Kramaric,"€ 55,769","€ 2,900,000","€ 2,900,000",F,30,Croatia,Hoffenheim,Bundesliga,2021-2022
5,Florian Grillitsch,"€ 50,000","€ 2,600,000","€ 2,600,000",M,26,Austria,Hoffenheim,Bundesliga,2021-2022
6,Munas Dabbur,"€ 38,462","€ 2,000,000","€ 2,000,000",F,29,Israel,Hoffenheim,Bundesliga,2021-2022
7,Robert Skov,"€ 34,615","€ 1,800,000","€ 1,800,000",F,25,Denmark,Hoffenheim,Bundesliga,2021-2022
8,Kevin Vogt,"€ 32,692","€ 1,700,000","€ 1,700,000",D,30,Germany,Hoffenheim,Bundesliga,2021-2022
9,Pavel Kaderabek,"€ 32,692","€ 1,700,000","€ 1,700,000",D,29,Czech Republic,Hoffenheim,Bundesliga,2021-2022
10,Havard Nordtveit,"€ 32,692","€ 1,700,000","€ 1,700,000",D,31,Norway,Hoffenheim,Bundesliga,2021-2022
11,Ihlas Bebou,"€ 32,692","€ 1,700,000","€ 1,700,000",F,27,Togo,Hoffenheim,Bundesliga,2021-2022
12,Angelo Stiller,"€ 23,077","€ 1,200,000","€ 1,200,000",M,20,Germany,Hoffenheim,Bundesliga,2021-2022
13,Ermin Bicakcic,"€ 23,077","€ 1,200,000","€ 1,200,000",D,32,Bosnia-Herzegovina,Hoffenheim,Bundesliga,2021-2022
14,Stefan Posch,"€ 19,231","€ 1,000,000","€ 1,000,000",D,24,Austria,Hoffenheim,Bundesliga,2021-2022
15,Dennis Geiger,"€ 19,038","€ 990,000","€ 990,000",M,23,Germany,Hoffenheim,Bundesliga,2021-2022
16,Kasim Adams,"€ 18,846","€ 980,000","€ 980,000",D,26,Ghana,Hoffenheim,Bundesliga,2021-2022
17,Joshua Brenet,"€ 18,654","€ 970,000","€ 970,000",D,27,Netherlands,Hoffenheim,Bundesliga,2021-2022
18,Benjamin Hübner,"€ 16,923","€ 880,000","€ 880,000",D,32,Germany,Hoffenheim,Bundesliga,2021-2022
19,Kevin Akpoguma,"€ 16,731","€ 870,000","€ 870,000",D,26,Nigeria,Hoffenheim,Bundesliga,2021-2022
20,Mijat Gacinovic,"€ 15,769","€ 820,000","€ 820,000",F,26,Serbia,Hoffenheim,Bundesliga,2021-2022
21,Chris Richards,"€ 15,000","€ 780,000","€ 780,000",D,21,United States,Hoffenheim,Bundesliga,2021-2022
22,Sargis Adamyan,"€ 12,885","€ 670,000","€ 670,000",F,28,Armenia,Hoffenheim,Bundesliga,2021-2022
23,Georginio Rutter,"€ 11,538","€ 600,000","€ 600,000",F,19,France,Hoffenheim,Bundesliga,2021-2022
24,Jacob Bruun Larsen,"€ 8,654","€ 450,000","€ 450,000",F,23,Denmark,Hoffenheim,Bundesliga,2021-2022
25,Christoph Baumgartner,"€ 7,500","€ 390,000","€ 390,000",F,22,Austria,Hoffenheim,Bundesliga,2021-2022
26,David Raum,"€ 5,769","€ 300,000","€ 300,000",D,23,Germany,Hoffenheim,Bundesliga,2021-2022
27,Philipp Pentke,"€ 3,077","€ 160,000","€ 160,000",K,36,Germany,Hoffenheim,Bundesliga,2021-2022
28,Fisnik Asllani,"€ 2,308","€ 120,000","€ 120,000",F,19,Germany,Hoffenheim,Bundesliga,2021-2022
29,Tom Bischof,"€ 1,538","€ 80,000","€ 80,000",F,16,Germany,Hoffenheim,Bundesliga,2021-2022
30,Justin Che,"€ 1,346","€ 70,000","€ 70,000",D,18,United States,Hoffenheim,Bundesliga,2021-2022
31,Melayro Bogarde,"€ 1,154","€ 60,000","€ 60,000",D,19,Netherlands,Hoffenheim,Bundesliga,2021-2022
32,Marco John,€ 962,"€ 50,000","€ 50,000",M,19,Germany,Hoffenheim,Bundesliga,2021-2022
33,Nahue Noll,€ 769,"€ 40,000","€ 40,000",K,18,Germany,Hoffenheim,Bundesliga,2021-2022
34,Luca Philipp,€ 769,"€ 40,000","€ 40,000",K,21,Germany,Hoffenheim,Bundesliga,2021-2022
