,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Breel Embolo,"€ 80,769","€ 4,200,000","€ 4,200,000",F,24,Switzerland,Monchengladbach,Bundesliga,2021-2022
2,Christoph Kramer,"€ 67,308","€ 3,500,000","€ 3,500,000",M,30,Germany,Monchengladbach,Bundesliga,2021-2022
3,Marcus Thuram,"€ 61,538","€ 3,200,000","€ 3,200,000",F,24,France,Monchengladbach,Bundesliga,2021-2022
4,Alassane Plea,"€ 59,615","€ 3,100,000","€ 3,100,000",F,28,France,Monchengladbach,Bundesliga,2021-2022
5,Matthias Ginter,"€ 59,615","€ 3,100,000","€ 3,100,000",D,28,Germany,Monchengladbach,Bundesliga,2021-2022
6,Lars Stindl,"€ 55,769","€ 2,900,000","€ 2,900,000",F,33,Germany,Monchengladbach,Bundesliga,2021-2022
7,Luca Netz,"€ 51,923","€ 2,700,000","€ 2,700,000",D,18,Germany,Monchengladbach,Bundesliga,2021-2022
8,Jonas Hofmann,"€ 48,077","€ 2,500,000","€ 2,500,000",F,29,Germany,Monchengladbach,Bundesliga,2021-2022
9,Stefan Lainer,"€ 44,231","€ 2,300,000","€ 2,300,000",D,29,Austria,Monchengladbach,Bundesliga,2021-2022
10,Yann Sommer,"€ 42,308","€ 2,200,000","€ 2,200,000",K,33,Switzerland,Monchengladbach,Bundesliga,2021-2022
11,Denis Zakaria,"€ 40,385","€ 2,100,000","€ 2,100,000",M,24,Switzerland,Monchengladbach,Bundesliga,2021-2022
12,Ramy Bensebaini,"€ 36,538","€ 1,900,000","€ 1,900,000",D,26,Algeria,Monchengladbach,Bundesliga,2021-2022
13,Marvin Friedrich,"€ 33,654","€ 1,750,000","€ 1,750,000",D,26,Germany,Monchengladbach,Bundesliga,2021-2022
14,Patrick Herrmann,"€ 32,692","€ 1,700,000","€ 1,700,000",F,30,Germany,Monchengladbach,Bundesliga,2021-2022
15,Tony Jantschke,"€ 32,692","€ 1,700,000","€ 1,700,000",D,31,Germany,Monchengladbach,Bundesliga,2021-2022
16,Florian Neuhaus,"€ 30,769","€ 1,600,000","€ 1,600,000",M,24,Germany,Monchengladbach,Bundesliga,2021-2022
17,Nico Elvedi,"€ 30,769","€ 1,600,000","€ 1,600,000",D,25,Switzerland,Monchengladbach,Bundesliga,2021-2022
18,Keanan Bennetts,"€ 28,846","€ 1,500,000","€ 1,500,000",M,22,England,Monchengladbach,Bundesliga,2021-2022
19,Lászlo Bénes,"€ 21,154","€ 1,100,000","€ 1,100,000",M,24,Slovakia,Monchengladbach,Bundesliga,2021-2022
20,Hannes Wolf,"€ 19,231","€ 1,000,000","€ 1,000,000",F,22,Austria,Monchengladbach,Bundesliga,2021-2022
21,Conor Noß,"€ 13,846","€ 720,000","€ 720,000",F,21,Ireland,Monchengladbach,Bundesliga,2021-2022
22,Tobias Sippel,"€ 8,462","€ 440,000","€ 440,000",K,33,Germany,Monchengladbach,Bundesliga,2021-2022
23,Jan Olschowsky,"€ 6,923","€ 360,000","€ 360,000",K,20,Germany,Monchengladbach,Bundesliga,2021-2022
24,Kouadio Koné,"€ 6,731","€ 350,000","€ 350,000",M,20,France,Monchengladbach,Bundesliga,2021-2022
25,Torben Müsel,"€ 3,654","€ 190,000","€ 190,000",F,22,Germany,Monchengladbach,Bundesliga,2021-2022
26,Jordan Beyer,"€ 3,462","€ 180,000","€ 180,000",D,21,Germany,Monchengladbach,Bundesliga,2021-2022
27,Mamadou Doucouré,"€ 3,462","€ 180,000","€ 180,000",D,23,France,Monchengladbach,Bundesliga,2021-2022
28,Joe Scally,"€ 2,885","€ 150,000","€ 150,000",D,19,United States,Monchengladbach,Bundesliga,2021-2022
29,Jonas Kersken,"€ 1,154","€ 60,000","€ 60,000",K,21,Germany,Monchengladbach,Bundesliga,2021-2022
