,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Lionel Messi,"€ 736,231","€ 38,284,000","€ 40,279,548",F,29,Argentina,Barcelona,La Liga,2016-2017
2,Samuel Umtiti,"€ 615,385","€ 32,000,000","€ 33,667,995",D,22,France,Barcelona,La Liga,2016-2017
3,Neymar,"€ 550,288","€ 28,615,000","€ 30,106,553",F,24,Brazil,Barcelona,La Liga,2016-2017
4,Luis Suárez,"€ 430,692","€ 22,396,000","€ 23,563,388",F,29,Uruguay,Barcelona,La Liga,2016-2017
5,Andrés Iniesta,"€ 296,692","€ 15,428,000","€ 16,232,182",M,32,Spain,Barcelona,La Liga,2016-2017
6,Sergio Busquets,"€ 275,154","€ 14,308,000","€ 15,053,802",M,27,Spain,Barcelona,La Liga,2016-2017
7,Ivan Rakitic,"€ 245,788","€ 12,781,000","€ 13,447,208",M,28,Croatia,Barcelona,La Liga,2016-2017
8,Gerard Piqué,"€ 234,481","€ 12,193,000","€ 12,828,558",D,29,Spain,Barcelona,La Liga,2016-2017
9,Javier Mascherano,"€ 194,442","€ 10,111,000","€ 10,638,034",M,32,Argentina,Barcelona,La Liga,2016-2017
10,Jordi Alba,"€ 157,923","€ 8,212,000","€ 8,640,049",D,27,Spain,Barcelona,La Liga,2016-2017
11,Arda Turan,"€ 157,923","€ 8,212,000","€ 8,640,049",F,29,Turkey,Barcelona,La Liga,2016-2017
12,Marc-André ter Stegen,"€ 119,635","€ 6,221,000","€ 6,545,269",K,24,Germany,Barcelona,La Liga,2016-2017
13,André Gomes,"€ 119,635","€ 6,221,000","€ 6,545,269",M,22,Portugal,Barcelona,La Liga,2016-2017
14,Jérémy Mathieu,"€ 119,635","€ 6,221,000","€ 6,545,269",D,32,France,Barcelona,La Liga,2016-2017
15,Denis Suárez,"€ 92,019","€ 4,785,000","€ 5,034,417",M,22,Spain,Barcelona,La Liga,2016-2017
16,Lucas Digne,"€ 92,019","€ 4,785,000","€ 5,034,417",D,22,France,Barcelona,La Liga,2016-2017
17,Aleix Vidal,"€ 85,212","€ 4,431,000","€ 4,661,965",M,26,Spain,Barcelona,La Liga,2016-2017
18,Jasper Cillessen,"€ 82,308","€ 4,280,000","€ 4,503,094",K,27,Netherlands,Barcelona,La Liga,2016-2017
19,Rafinha,"€ 82,308","€ 4,280,000","€ 4,503,094",M,23,Brazil,Barcelona,La Liga,2016-2017
20,Paco Alcácer,"€ 73,365","€ 3,815,000","€ 4,013,856",F,22,Spain,Barcelona,La Liga,2016-2017
21,Sergi Roberto,"€ 57,423","€ 2,986,000","€ 3,141,645",D,24,Spain,Barcelona,La Liga,2016-2017
22,Douglas,"€ 51,346","€ 2,670,000","€ 2,809,173",D,25,Brazil,Barcelona,La Liga,2016-2017
23,Jordi Masip,"€ 34,077","€ 1,772,000","€ 1,864,365",K,27,Spain,Barcelona,La Liga,2016-2017
24,Sergi Samper,"€ 28,731","€ 1,494,000","€ 1,571,875",M,21,Spain,Barcelona,La Liga,2016-2017
25,Marlon,"€ 6,596","€ 343,000","€ 360,879",D,20,Brazil,Barcelona,La Liga,2016-2017
26,Marc Cardona,"€ 2,673","€ 139,000","€ 146,245",F,20,Spain,Barcelona,La Liga,2016-2017
27,Wilfrid Kaptoum,"€ 1,750","€ 91,000","€ 95,743",M,19,Cameroon,Barcelona,La Liga,2016-2017
28,Àlex Carbonell,"€ 1,019","€ 53,000","€ 55,763",M,18,Spain,Barcelona,La Liga,2016-2017
29,Juan Cámara,€ 0,€ 0,€ 0,F,22,Spain,Barcelona,La Liga,2016-2017
30,Francisco Nili,€ 0,€ 0,€ 0,M,22,Spain,Barcelona,La Liga,2016-2017
31,Cristian Tello,€ 0,€ 0,€ 0,F,24,Spain,Barcelona,La Liga,2016-2017
32,Claudio Bravo,€ 0,€ 0,€ 0,K,33,Chile,Barcelona,La Liga,2016-2017
33,Carles Aleñà,€ 0,€ 0,€ 0,M,18,Spain,Barcelona,La Liga,2016-2017
34,Borja López,€ 0,€ 0,€ 0,D,22,Spain,Barcelona,La Liga,2016-2017
35,Thomas Vermaelen,€ 0,€ 0,€ 0,D,30,Belgium,Barcelona,La Liga,2016-2017
36,Munir El Haddadi,€ 0,€ 0,€ 0,F,20,Spain,Barcelona,La Liga,2016-2017
37,Adrián Ortolá,€ 0,€ 0,€ 0,K,22,Spain,Barcelona,La Liga,2016-2017
