,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Alen Halilovic,"€ 55,212","€ 2,871,000","€ 3,020,650",M,20,Croatia,Las Palmas,La Liga,2016-2017
2,Jesé,"€ 48,942","€ 2,545,000","€ 2,677,658",F,23,Spain,Las Palmas,La Liga,2016-2017
3,Kevin-Prince Boateng,"€ 23,231","€ 1,208,000","€ 1,270,967",F,29,Ghana,Las Palmas,La Liga,2016-2017
4,Pedro Bigas,"€ 17,788","€ 925,000","€ 973,215",D,26,Spain,Las Palmas,La Liga,2016-2017
5,Mauricio Lemos,"€ 14,885","€ 774,000","€ 814,345",D,20,Uruguay,Las Palmas,La Liga,2016-2017
6,Javi Varas,"€ 13,962","€ 726,000","€ 763,843",K,33,Spain,Las Palmas,La Liga,2016-2017
7,Nabil El Zhar,"€ 13,750","€ 715,000","€ 752,269",F,29,Morocco,Las Palmas,La Liga,2016-2017
8,Marko Livaja,"€ 13,096","€ 681,000","€ 716,497",F,22,Croatia,Las Palmas,La Liga,2016-2017
9,Jonathan Viera,"€ 11,481","€ 597,000","€ 628,119",M,26,Spain,Las Palmas,La Liga,2016-2017
10,Ángel Montoro,"€ 10,750","€ 559,000","€ 588,138",M,28,Spain,Las Palmas,La Liga,2016-2017
11,David García,"€ 8,942","€ 465,000","€ 489,238",D,34,Spain,Las Palmas,La Liga,2016-2017
12,Javi Castellano,"€ 6,423","€ 334,000","€ 351,410",M,28,Spain,Las Palmas,La Liga,2016-2017
13,Mateo García,"€ 6,058","€ 315,000","€ 331,419",F,19,Argentina,Las Palmas,La Liga,2016-2017
14,Momo,"€ 5,500","€ 286,000","€ 300,908",F,33,Spain,Las Palmas,La Liga,2016-2017
15,Tana,"€ 5,115","€ 266,000","€ 279,865",M,25,Spain,Las Palmas,La Liga,2016-2017
16,Hernán Santana,"€ 4,769","€ 248,000","€ 260,927",M,25,Spain,Las Palmas,La Liga,2016-2017
17,Roque Mesa,"€ 4,596","€ 239,000","€ 251,458",M,27,Spain,Las Palmas,La Liga,2016-2017
18,David Simón,"€ 4,596","€ 239,000","€ 251,458",D,27,Spain,Las Palmas,La Liga,2016-2017
19,Dani Castellano,"€ 4,596","€ 239,000","€ 251,458",D,28,Spain,Las Palmas,La Liga,2016-2017
20,Hélder Lopes,"€ 2,192","€ 114,000","€ 119,942",D,27,Portugal,Las Palmas,La Liga,2016-2017
21,Sergio Araujo,€ 0,€ 0,€ 0,F,24,Argentina,Las Palmas,La Liga,2016-2017
22,Tyronne,€ 0,€ 0,€ 0,F,25,Spain,Las Palmas,La Liga,2016-2017
23,Erik Expósito,€ 0,€ 0,€ 0,F,20,Spain,Las Palmas,La Liga,2016-2017
24,Vicente Gómez,€ 0,€ 0,€ 0,M,27,Spain,Las Palmas,La Liga,2016-2017
25,Héctor Figueroa,€ 0,€ 0,€ 0,F,27,Spain,Las Palmas,La Liga,2016-2017
26,Eric Curbelo,€ 0,€ 0,€ 0,D,22,Spain,Las Palmas,La Liga,2016-2017
27,Alfredo Ortuño,€ 0,€ 0,€ 0,F,25,Spain,Las Palmas,La Liga,2016-2017
28,José Artiles,€ 0,€ 0,€ 0,F,23,Spain,Las Palmas,La Liga,2016-2017
29,Benito Ramírez,€ 0,€ 0,€ 0,M,20,Spain,Las Palmas,La Liga,2016-2017
30,Míchel,€ 0,€ 0,€ 0,D,26,Brazil,Las Palmas,La Liga,2016-2017
31,Aythami Artiles,€ 0,€ 0,€ 0,D,30,Spain,Las Palmas,La Liga,2016-2017
32,Asdrúbal Padrón,€ 0,€ 0,€ 0,F,25,Spain,Las Palmas,La Liga,2016-2017
33,Raúl Lizoain,€ 0,€ 0,€ 0,K,25,Spain,Las Palmas,La Liga,2016-2017
