,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Joaquín,"€ 38,750","€ 2,015,000","€ 2,120,032",F,34,Spain,Real Betis,La Liga,2016-2017
2,Ryan Donk,"€ 32,481","€ 1,689,000","€ 1,777,039",M,30,Netherlands,Real Betis,La Liga,2016-2017
3,Rubén Castro,"€ 29,904","€ 1,555,000","€ 1,636,054",F,35,Spain,Real Betis,La Liga,2016-2017
4,Antonio Adán,"€ 22,019","€ 1,145,000","€ 1,204,683",K,29,Spain,Real Betis,La Liga,2016-2017
5,Dani Ceballos,"€ 21,346","€ 1,110,000","€ 1,167,859",M,19,Spain,Real Betis,La Liga,2016-2017
6,Petros,"€ 20,442","€ 1,063,000","€ 1,118,409",M,27,Brazil,Real Betis,La Liga,2016-2017
7,Riza Durmisi,"€ 19,154","€ 996,000","€ 1,047,916",D,22,Denmark,Real Betis,La Liga,2016-2017
8,Germán Pezzella,"€ 17,712","€ 921,000","€ 969,007",D,25,Argentina,Real Betis,La Liga,2016-2017
9,Antonio Sanabria,"€ 15,769","€ 820,000","€ 862,742",F,20,Paraguay,Real Betis,La Liga,2016-2017
10,Felipe Gutiérrez,"€ 15,423","€ 802,000","€ 843,804",M,25,Chile,Real Betis,La Liga,2016-2017
11,Jonas Martin,"€ 13,558","€ 705,000","€ 741,748",M,26,France,Real Betis,La Liga,2016-2017
12,Aïssa Mandi,"€ 13,192","€ 686,000","€ 721,758",D,24,Algeria,Real Betis,La Liga,2016-2017
13,Álvaro Cejudo,"€ 12,500","€ 650,000","€ 683,881",F,32,Spain,Real Betis,La Liga,2016-2017
14,Álex Martínez,"€ 10,231","€ 532,000","€ 559,730",D,25,Spain,Real Betis,La Liga,2016-2017
15,Didier Digard,"€ 9,885","€ 514,000","€ 540,792",M,29,France,Real Betis,La Liga,2016-2017
16,Rubén Pardo,"€ 7,327","€ 381,000","€ 400,860",M,23,Spain,Real Betis,La Liga,2016-2017
17,Darko Brasanac,"€ 7,173","€ 373,000","€ 392,443",M,24,Serbia,Real Betis,La Liga,2016-2017
18,Alin Tosca,"€ 7,173","€ 373,000","€ 392,443",D,24,Romania,Real Betis,La Liga,2016-2017
19,Rafa Navarro,"€ 6,385","€ 332,000","€ 349,305",D,22,Spain,Real Betis,La Liga,2016-2017
20,Manu Herrera,"€ 6,154","€ 320,000","€ 336,680",K,34,Spain,Real Betis,La Liga,2016-2017
21,Dani Giménez,"€ 6,058","€ 315,000","€ 331,419",K,32,Spain,Real Betis,La Liga,2016-2017
22,Cristiano Piccini,"€ 4,846","€ 252,000","€ 265,135",D,23,Italy,Real Betis,La Liga,2016-2017
23,Alex Alegría,€ 0,€ 0,€ 0,F,23,Spain,Real Betis,La Liga,2016-2017
24,Fabián Ruiz,€ 0,€ 0,€ 0,M,20,Spain,Real Betis,La Liga,2016-2017
25,Francisco Portillo,€ 0,€ 0,€ 0,M,26,Spain,Real Betis,La Liga,2016-2017
26,Charly Musonda Jr,€ 0,€ 0,€ 0,M,19,Belgium,Real Betis,La Liga,2016-2017
27,Bruno González,€ 0,€ 0,€ 0,D,26,Spain,Real Betis,La Liga,2016-2017
28,José Carlos Ramírez,€ 0,€ 0,€ 0,D,20,Spain,Real Betis,La Liga,2016-2017
29,Matías Nahuel,€ 0,€ 0,€ 0,F,19,Spain,Real Betis,La Liga,2016-2017
30,Roman Zozulya,€ 0,€ 0,€ 0,F,26,Ukraine,Real Betis,La Liga,2016-2017
31,Dani Pacheco,€ 0,€ 0,€ 0,F,25,Spain,Real Betis,La Liga,2016-2017
