,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Douglas,"€ 51,346","€ 2,670,000","€ 2,809,173",D,25,Brazil,Sporting Gijon,La Liga,2016-2017
2,Lacina Traoré,"€ 33,981","€ 1,767,000","€ 1,859,105",F,26,Cote d'Ivoire,Sporting Gijon,La Liga,2016-2017
3,Víctor Rodríguez,"€ 18,577","€ 966,000","€ 1,016,353",F,26,Spain,Sporting Gijon,La Liga,2016-2017
4,Jorge Meré,"€ 17,962","€ 934,000","€ 982,685",D,19,Spain,Sporting Gijon,La Liga,2016-2017
5,Moi Gómez,"€ 15,519","€ 807,000","€ 849,065",M,22,Spain,Sporting Gijon,La Liga,2016-2017
6,Borja Viguera,"€ 11,904","€ 619,000","€ 651,265",F,29,Spain,Sporting Gijon,La Liga,2016-2017
7,Mikel Vesga,"€ 11,750","€ 611,000","€ 642,848",M,23,Spain,Sporting Gijon,La Liga,2016-2017
8,Xavi Torres,"€ 9,346","€ 486,000","€ 511,333",M,29,Spain,Sporting Gijon,La Liga,2016-2017
9,Carlos Carmona,"€ 8,769","€ 456,000","€ 479,769",F,28,Spain,Sporting Gijon,La Liga,2016-2017
10,Jean-Sylvain Babin,"€ 8,654","€ 450,000","€ 473,456",D,29,Martinique,Sporting Gijon,La Liga,2016-2017
11,Iván Cuéllar,"€ 8,250","€ 429,000","€ 451,362",K,32,Spain,Sporting Gijon,La Liga,2016-2017
12,Diego Mariño,"€ 8,250","€ 429,000","€ 451,362",K,26,Spain,Sporting Gijon,La Liga,2016-2017
13,Fernando Amorebieta,"€ 8,250","€ 429,000","€ 451,362",D,31,Venezuela,Sporting Gijon,La Liga,2016-2017
14,Roberto Canella,"€ 7,327","€ 381,000","€ 400,860",D,28,Spain,Sporting Gijon,La Liga,2016-2017
15,Carlos Castro,"€ 6,962","€ 362,000","€ 380,869",F,21,Spain,Sporting Gijon,La Liga,2016-2017
16,Burgui,"€ 5,923","€ 308,000","€ 324,054",F,22,Spain,Sporting Gijon,La Liga,2016-2017
17,Alberto Lora,"€ 5,500","€ 286,000","€ 300,908",D,29,Spain,Sporting Gijon,La Liga,2016-2017
18,Duje Cop,"€ 5,500","€ 286,000","€ 300,908",F,26,Croatia,Sporting Gijon,La Liga,2016-2017
19,Isma López,"€ 4,596","€ 239,000","€ 251,458",D,26,Spain,Sporting Gijon,La Liga,2016-2017
20,Nacho Cases,"€ 4,596","€ 239,000","€ 251,458",M,28,Spain,Sporting Gijon,La Liga,2016-2017
21,Juan Rodríguez,"€ 3,173","€ 165,000","€ 173,601",D,21,Spain,Sporting Gijon,La Liga,2016-2017
22,Rubén Sánchez,"€ 2,692","€ 140,000","€ 147,297",F,21,Spain,Sporting Gijon,La Liga,2016-2017
23,Sergio Álvarez,"€ 2,558","€ 133,000","€ 139,933",M,24,Spain,Sporting Gijon,La Liga,2016-2017
24,Cristian Salvador,"€ 2,346","€ 122,000","€ 128,359",M,21,Spain,Sporting Gijon,La Liga,2016-2017
25,Óscar Whalley,"€ 2,269","€ 118,000","€ 124,151",K,22,Spain,Sporting Gijon,La Liga,2016-2017
26,Pablo Fernández,"€ 1,942","€ 101,000","€ 106,265",M,19,Spain,Sporting Gijon,La Liga,2016-2017
27,Akram Afif,"€ 1,904","€ 99,000","€ 104,160",F,19,Qatar,Sporting Gijon,La Liga,2016-2017
28,Pablo Pérez,€ 0,€ 0,€ 0,M,22,Spain,Sporting Gijon,La Liga,2016-2017
29,Elderson,€ 0,€ 0,€ 0,D,28,Nigeria,Sporting Gijon,La Liga,2016-2017
30,Lillo Castellano,€ 0,€ 0,€ 0,D,27,Spain,Sporting Gijon,La Liga,2016-2017
31,Rachid Aït-Atmane,€ 0,€ 0,€ 0,M,23,Algeria,Sporting Gijon,La Liga,2016-2017
32,Dani Ndi,€ 0,€ 0,€ 0,M,20,Cameroon,Sporting Gijon,La Liga,2016-2017
33,Álvaro Bustos,€ 0,€ 0,€ 0,F,21,Spain,Sporting Gijon,La Liga,2016-2017
