,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Nani,"€ 200,981","€ 10,451,000","€ 10,995,757",F,29,Portugal,Valencia,La Liga,2016-2017
2,Eliaquim Mangala,"€ 111,115","€ 5,778,000","€ 6,079,177",D,25,France,Valencia,La Liga,2016-2017
3,Dani Parejo,"€ 97,231","€ 5,056,000","€ 5,319,543",M,27,Spain,Valencia,La Liga,2016-2017
4,Enzo Pérez,"€ 96,308","€ 5,008,000","€ 5,269,041",M,30,Argentina,Valencia,La Liga,2016-2017
5,Ezequiel Garay,"€ 92,019","€ 4,785,000","€ 5,034,417",D,29,Argentina,Valencia,La Liga,2016-2017
6,Aymen Abdennour,"€ 92,019","€ 4,785,000","€ 5,034,417",D,26,Tunisia,Valencia,La Liga,2016-2017
7,Guilherme Siqueira,"€ 73,365","€ 3,815,000","€ 4,013,856",D,30,Brazil,Valencia,La Liga,2016-2017
8,Paco Alcácer,"€ 73,365","€ 3,815,000","€ 4,013,856",F,22,Spain,Valencia,La Liga,2016-2017
9,Pablo Piatti,"€ 60,538","€ 3,148,000","€ 3,312,089",F,27,Argentina,Valencia,La Liga,2016-2017
10,José Gayà,"€ 60,538","€ 3,148,000","€ 3,312,089",D,21,Spain,Valencia,La Liga,2016-2017
11,Simone Zaza,"€ 58,115","€ 3,022,000","€ 3,179,521",F,25,Italy,Valencia,La Liga,2016-2017
12,Rodrigo,"€ 55,019","€ 2,861,000","€ 3,010,129",F,25,Spain,Valencia,La Liga,2016-2017
13,Martín Montoya,"€ 52,096","€ 2,709,000","€ 2,850,206",D,25,Spain,Valencia,La Liga,2016-2017
14,Diego Alves,"€ 47,692","€ 2,480,000","€ 2,609,270",K,31,Brazil,Valencia,La Liga,2016-2017
15,Mario Suárez,"€ 44,442","€ 2,311,000","€ 2,431,461",M,29,Spain,Valencia,La Liga,2016-2017
16,Álvaro Medrán,"€ 24,558","€ 1,277,000","€ 1,343,563",M,22,Spain,Valencia,La Liga,2016-2017
17,Zakaria Bakkali,"€ 24,308","€ 1,264,000","€ 1,329,886",F,20,Belgium,Valencia,La Liga,2016-2017
18,Rúben Vezo,"€ 23,846","€ 1,240,000","€ 1,304,635",D,22,Portugal,Valencia,La Liga,2016-2017
19,Santi Mina,"€ 21,346","€ 1,110,000","€ 1,167,859",F,20,Spain,Valencia,La Liga,2016-2017
20,João Cancelo,"€ 16,519","€ 859,000","€ 903,775",D,22,Portugal,Valencia,La Liga,2016-2017
21,Fabián Orellana,"€ 9,173","€ 477,000","€ 501,864",F,30,Chile,Valencia,La Liga,2016-2017
22,Aderllan Santos,"€ 7,654","€ 398,000","€ 418,746",D,27,Brazil,Valencia,La Liga,2016-2017
23,Eugeni Valderrama,"€ 1,904","€ 99,000","€ 104,160",M,21,Spain,Valencia,La Liga,2016-2017
24,Nacho Vidal,"€ 1,173","€ 61,000","€ 64,180",D,21,Spain,Valencia,La Liga,2016-2017
25,Nacho Gil,€ 692,"€ 36,000","€ 37,876",F,20,Spain,Valencia,La Liga,2016-2017
26,Sito,€ 538,"€ 28,000","€ 29,459",F,19,Spain,Valencia,La Liga,2016-2017
27,Toni Lato,€ 58,"€ 3,000","€ 3,156",D,18,Spain,Valencia,La Liga,2016-2017
28,Carlos Soler,€ 58,"€ 3,000","€ 3,156",M,19,Spain,Valencia,La Liga,2016-2017
29,Rafa Mir,€ 58,"€ 3,000","€ 3,156",F,19,Spain,Valencia,La Liga,2016-2017
30,Federico Cartabia,€ 0,€ 0,€ 0,F,23,Argentina,Valencia,La Liga,2016-2017
31,Shkodran Mustafi,€ 0,€ 0,€ 0,D,24,Germany,Valencia,La Liga,2016-2017
32,Vinícius Araújo,€ 0,€ 0,€ 0,F,23,Brazil,Valencia,La Liga,2016-2017
33,Yoel Rodríguez,€ 0,€ 0,€ 0,K,27,Spain,Valencia,La Liga,2016-2017
34,Álvaro Negredo,€ 0,€ 0,€ 0,F,30,Spain,Valencia,La Liga,2016-2017
35,Nando García,€ 0,€ 0,€ 0,F,22,Spain,Valencia,La Liga,2016-2017
36,Munir El Haddadi,€ 0,€ 0,€ 0,F,20,Spain,Valencia,La Liga,2016-2017
37,Mathew Ryan,€ 0,€ 0,€ 0,K,24,Australia,Valencia,La Liga,2016-2017
38,Javi Jiménez,€ 0,€ 0,€ 0,D,19,Spain,Valencia,La Liga,2016-2017
39,Robert Ibáñez,€ 0,€ 0,€ 0,F,23,Spain,Valencia,La Liga,2016-2017
40,Jaume Doménech,€ 0,€ 0,€ 0,K,25,Spain,Valencia,La Liga,2016-2017
