,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Juanfran,"€ 98,500","€ 5,122,000","€ 5,300,206",D,28,Spain,Deportivo,La Liga,2017-2018
2,Florin Andone,"€ 38,808","€ 2,018,000","€ 2,088,211",F,24,Romania,Deportivo,La Liga,2017-2018
3,Carles Gil,"€ 31,115","€ 1,618,000","€ 1,674,294",M,24,Spain,Deportivo,La Liga,2017-2018
4,Pedro Mosquera,"€ 28,827","€ 1,499,000","€ 1,551,154",M,29,Spain,Deportivo,La Liga,2017-2018
5,Celso Borges,"€ 25,154","€ 1,308,000","€ 1,353,508",M,29,Costa Rica,Deportivo,La Liga,2017-2018
6,Zakaria Bakkali,"€ 25,154","€ 1,308,000","€ 1,353,508",F,21,Belgium,Deportivo,La Liga,2017-2018
7,Michael Krohn-Dehli,"€ 23,462","€ 1,220,000","€ 1,262,447",M,34,Denmark,Deportivo,La Liga,2017-2018
8,Guilherme,"€ 23,385","€ 1,216,000","€ 1,258,307",M,26,Brazil,Deportivo,La Liga,2017-2018
9,Raúl Albentosa,"€ 15,096","€ 785,000","€ 812,312",D,28,Spain,Deportivo,La Liga,2017-2018
10,Eneko Bóveda,"€ 14,596","€ 759,000","€ 785,407",D,28,Spain,Deportivo,La Liga,2017-2018
11,Fabian Schär,"€ 13,750","€ 715,000","€ 739,876",D,25,Switzerland,Deportivo,La Liga,2017-2018
12,Luisinho,"€ 13,538","€ 704,000","€ 728,494",D,32,Portugal,Deportivo,La Liga,2017-2018
13,Borja Valle,"€ 11,269","€ 586,000","€ 606,388",F,24,Spain,Deportivo,La Liga,2017-2018
14,Fernando Navarro,"€ 9,038","€ 470,000","€ 486,352",D,35,Spain,Deportivo,La Liga,2017-2018
15,Gerard Valentín,"€ 8,846","€ 460,000","€ 476,004",D,23,Spain,Deportivo,La Liga,2017-2018
16,Przemyslaw Tyton,"€ 8,788","€ 457,000","€ 472,900",K,30,Poland,Deportivo,La Liga,2017-2018
17,Federico Valverde,"€ 6,731","€ 350,000","€ 362,177",M,18,Uruguay,Deportivo,La Liga,2017-2018
18,Edu Expósito,"€ 2,846","€ 148,000","€ 153,149",M,20,Spain,Deportivo,La Liga,2017-2018
19,Pinchi,"€ 2,462","€ 128,000","€ 132,453",F,21,Spain,Deportivo,La Liga,2017-2018
20,Quique Fornos,"€ 1,481","€ 77,000","€ 79,679",D,20,Spain,Deportivo,La Liga,2017-2018
21,Francis Uzoho,"€ 1,404","€ 73,000","€ 75,540",K,18,Nigeria,Deportivo,La Liga,2017-2018
22,Mujaid Sadick,€ 731,"€ 38,000","€ 39,322",D,17,Spain,Deportivo,La Liga,2017-2018
23,Costel Pantilimon,€ 0,€ 0,€ 0,K,30,Romania,Deportivo,La Liga,2017-2018
24,Maksym Koval,€ 0,€ 0,€ 0,K,24,Ukraine,Deportivo,La Liga,2017-2018
25,Bruno Gama,€ 0,€ 0,€ 0,F,29,Portugal,Deportivo,La Liga,2017-2018
26,Lucas Pérez,€ 0,€ 0,€ 0,F,28,Spain,Deportivo,La Liga,2017-2018
27,Blas Alonso,€ 0,€ 0,€ 0,D,20,Spain,Deportivo,La Liga,2017-2018
28,Emre Colak,€ 0,€ 0,€ 0,M,26,Turkey,Deportivo,La Liga,2017-2018
29,Adrián López,€ 0,€ 0,€ 0,M,29,Spain,Deportivo,La Liga,2017-2018
30,Federico Cartabia,€ 0,€ 0,€ 0,F,24,Argentina,Deportivo,La Liga,2017-2018
31,Alejandro Arribas,€ 0,€ 0,€ 0,D,28,Spain,Deportivo,La Liga,2017-2018
32,Rubén Martínez,€ 0,€ 0,€ 0,K,33,Spain,Deportivo,La Liga,2017-2018
33,Saúl García,€ 0,€ 0,€ 0,D,22,Spain,Deportivo,La Liga,2017-2018
34,Sidnei,€ 0,€ 0,€ 0,D,27,Brazil,Deportivo,La Liga,2017-2018
35,Sulley Muntari,€ 0,€ 0,€ 0,M,32,Ghana,Deportivo,La Liga,2017-2018
36,Aldo One,€ 0,€ 0,€ 0,D,22,Cameroon,Deportivo,La Liga,2017-2018
