,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Borja Bastón,"€ 50,000","€ 2,600,000","€ 2,690,460",F,24,Spain,Malaga,La Liga,2017-2018
2,Brown Ideye,"€ 34,962","€ 1,818,000","€ 1,881,252",F,28,Nigeria,Malaga,La Liga,2017-2018
3,Isaac Success,"€ 33,327","€ 1,733,000","€ 1,793,295",F,21,Nigeria,Malaga,La Liga,2017-2018
4,Alberto Bueno,"€ 31,904","€ 1,659,000","€ 1,716,720",F,29,Spain,Malaga,La Liga,2017-2018
5,Adrián González,"€ 27,731","€ 1,442,000","€ 1,492,170",M,29,Spain,Malaga,La Liga,2017-2018
6,Luis Hernández,"€ 25,750","€ 1,339,000","€ 1,385,587",D,28,Spain,Malaga,La Liga,2017-2018
7,Roberto Rosales,"€ 25,750","€ 1,339,000","€ 1,385,587",D,28,Venezuela,Malaga,La Liga,2017-2018
8,Keko,"€ 25,750","€ 1,339,000","€ 1,385,587",F,25,Spain,Malaga,La Liga,2017-2018
9,Recio,"€ 24,750","€ 1,287,000","€ 1,331,778",M,26,Spain,Malaga,La Liga,2017-2018
10,Juankar,"€ 20,808","€ 1,082,000","€ 1,119,645",D,27,Spain,Malaga,La Liga,2017-2018
11,Miguel Torres,"€ 20,808","€ 1,082,000","€ 1,119,645",D,31,Spain,Malaga,La Liga,2017-2018
12,Adalberto Peñaranda,"€ 19,808","€ 1,030,000","€ 1,065,836",F,20,Venezuela,Malaga,La Liga,2017-2018
13,Roberto,"€ 19,808","€ 1,030,000","€ 1,065,836",K,31,Spain,Malaga,La Liga,2017-2018
14,Diego González,"€ 17,827","€ 927,000","€ 959,252",D,22,Spain,Malaga,La Liga,2017-2018
15,Federico Ricca,"€ 17,827","€ 927,000","€ 959,252",D,22,Uruguay,Malaga,La Liga,2017-2018
16,Manuel Iturra,"€ 16,712","€ 869,000","€ 899,234",M,33,Chile,Malaga,La Liga,2017-2018
17,Esteban Rolón,"€ 12,885","€ 670,000","€ 693,311",M,22,Argentina,Malaga,La Liga,2017-2018
18,Cenk Gönen,"€ 12,885","€ 670,000","€ 693,311",K,29,Turkey,Malaga,La Liga,2017-2018
19,Mehdi Lacen,"€ 10,904","€ 567,000","€ 586,727",M,33,Algeria,Malaga,La Liga,2017-2018
20,Ignasi Miquel,"€ 10,115","€ 526,000","€ 544,301",D,24,Spain,Malaga,La Liga,2017-2018
21,Maxime Lestienne,"€ 9,385","€ 488,000","€ 504,979",F,25,Belgium,Malaga,La Liga,2017-2018
22,Andrés Prieto,"€ 3,962","€ 206,000","€ 213,167",K,23,Spain,Malaga,La Liga,2017-2018
23,Iván Rodríguez,"€ 2,615","€ 136,000","€ 140,732",D,21,Spain,Malaga,La Liga,2017-2018
24,Álex Robles,"€ 1,981","€ 103,000","€ 106,584",D,18,Spain,Malaga,La Liga,2017-2018
25,José Carlos Sánchez,"€ 1,981","€ 103,000","€ 106,584",M,18,Spain,Malaga,La Liga,2017-2018
26,Zdravko Kuzmanović,€ 0,€ 0,€ 0,M,29,Serbia,Malaga,La Liga,2017-2018
27,Alberto López,€ 0,€ 0,€ 0,D,22,Spain,Malaga,La Liga,2017-2018
28,Álex Mula,€ 0,€ 0,€ 0,F,20,Spain,Malaga,La Liga,2017-2018
29,Chory Castro,€ 0,€ 0,€ 0,F,32,Uruguay,Malaga,La Liga,2017-2018
30,Diego Rolán,€ 0,€ 0,€ 0,F,24,Uruguay,Malaga,La Liga,2017-2018
31,Emanuel Cecchini,€ 0,€ 0,€ 0,M,20,Argentina,Malaga,La Liga,2017-2018
32,Ian Soler,€ 0,€ 0,€ 0,D,21,Spain,Malaga,La Liga,2017-2018
33,Javi Ontiveros,€ 0,€ 0,€ 0,F,19,Spain,Malaga,La Liga,2017-2018
34,Jony,€ 0,€ 0,€ 0,F,25,Spain,Malaga,La Liga,2017-2018
35,Juan Cruz,€ 0,€ 0,€ 0,F,17,Spain,Malaga,La Liga,2017-2018
36,Juanpi Añor,€ 0,€ 0,€ 0,F,23,Venezuela,Malaga,La Liga,2017-2018
37,Miguel Cifuentes,€ 0,€ 0,€ 0,D,26,Spain,Malaga,La Liga,2017-2018
38,Paul Baysse,€ 0,€ 0,€ 0,D,29,France,Malaga,La Liga,2017-2018
39,Samu García,€ 0,€ 0,€ 0,F,26,Spain,Malaga,La Liga,2017-2018
40,Youssef En-Nesyri,€ 0,€ 0,€ 0,F,20,Morocco,Malaga,La Liga,2017-2018
