,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Carlos Bacca,"€ 116,558","€ 6,061,000","€ 6,271,876",F,30,Colombia,Villarreal,La Liga,2017-2018
2,Sergio Asenjo,"€ 48,077","€ 2,500,000","€ 2,586,981",K,28,Spain,Villarreal,La Liga,2017-2018
3,Samu Castillejo,"€ 44,462","€ 2,312,000","€ 2,392,440",F,22,Spain,Villarreal,La Liga,2017-2018
4,Manu Trigueros,"€ 43,673","€ 2,271,000","€ 2,350,013",M,25,Spain,Villarreal,La Liga,2017-2018
5,Víctor Ruiz,"€ 35,058","€ 1,823,000","€ 1,886,426",D,28,Spain,Villarreal,La Liga,2017-2018
6,Pablo Fornals,"€ 31,538","€ 1,640,000","€ 1,697,059",M,21,Spain,Villarreal,La Liga,2017-2018
7,Rodri,"€ 29,308","€ 1,524,000","€ 1,577,023",M,21,Spain,Villarreal,La Liga,2017-2018
8,Jaume Costa,"€ 28,904","€ 1,503,000","€ 1,555,293",D,29,Spain,Villarreal,La Liga,2017-2018
9,Denis Cheryshev,"€ 28,808","€ 1,498,000","€ 1,550,119",F,26,Russia,Villarreal,La Liga,2017-2018
10,Javi Fuego,"€ 24,673","€ 1,283,000","€ 1,327,638",M,33,Spain,Villarreal,La Liga,2017-2018
11,Rúben Semedo,"€ 23,827","€ 1,239,000","€ 1,282,108",D,23,Portugal,Villarreal,La Liga,2017-2018
12,Nicola Sansone,"€ 23,385","€ 1,216,000","€ 1,258,307",F,25,Italy,Villarreal,La Liga,2017-2018
13,Roberto Soriano,"€ 23,385","€ 1,216,000","€ 1,258,307",M,26,Italy,Villarreal,La Liga,2017-2018
14,Andrés Fernández,"€ 22,558","€ 1,173,000","€ 1,213,811",K,30,Spain,Villarreal,La Liga,2017-2018
15,Roger Martínez,"€ 19,808","€ 1,030,000","€ 1,065,836",F,23,Colombia,Villarreal,La Liga,2017-2018
16,Salem Al-Dawsari,"€ 19,596","€ 1,019,000","€ 1,054,453",F,25,Saudi Arabia,Villarreal,La Liga,2017-2018
17,Enes Ünal,"€ 18,635","€ 969,000","€ 1,002,714",F,20,Turkey,Villarreal,La Liga,2017-2018
18,Antonio Rukavina,"€ 11,942","€ 621,000","€ 642,606",D,33,Serbia,Villarreal,La Liga,2017-2018
19,Adrián Marín,"€ 10,269","€ 534,000","€ 552,579",D,20,Spain,Villarreal,La Liga,2017-2018
20,Daniele Bonera,"€ 8,654","€ 450,000","€ 465,657",D,36,Italy,Villarreal,La Liga,2017-2018
21,Mariano Barbosa,"€ 8,346","€ 434,000","€ 449,100",K,32,Argentina,Villarreal,La Liga,2017-2018
22,Ander Cantero,"€ 1,673","€ 87,000","€ 90,027",K,22,Spain,Villarreal,La Liga,2017-2018
23,Pau Torres,"€ 1,058","€ 55,000","€ 56,914",D,20,Spain,Villarreal,La Liga,2017-2018
24,Daniel Raba,"€ 1,038","€ 54,000","€ 55,879",F,21,Spain,Villarreal,La Liga,2017-2018
25,Ramiro Guerra,€ 827,"€ 43,000","€ 44,496",M,20,Uruguay,Villarreal,La Liga,2017-2018
26,Darío Poveda,€ 750,"€ 39,000","€ 40,357",F,20,Spain,Villarreal,La Liga,2017-2018
27,Pepe Castaño,€ 327,"€ 17,000","€ 17,591",D,18,Spain,Villarreal,La Liga,2017-2018
28,Álvaro González,€ 77,"€ 4,000","€ 4,139",D,27,Spain,Villarreal,La Liga,2017-2018
29,Manu Morlanes,€ 58,"€ 3,000","€ 3,104",M,18,Spain,Villarreal,La Liga,2017-2018
30,Leo Suárez,€ 0,€ 0,€ 0,F,21,Argentina,Villarreal,La Liga,2017-2018
31,Alfred N'Diaye,€ 0,€ 0,€ 0,M,27,Senegal,Villarreal,La Liga,2017-2018
32,Imanol García,€ 0,€ 0,€ 0,M,21,Spain,Villarreal,La Liga,2017-2018
33,Mario Gaspar,€ 0,€ 0,€ 0,D,26,Spain,Villarreal,La Liga,2017-2018
34,Mario González,€ 0,€ 0,€ 0,F,21,Spain,Villarreal,La Liga,2017-2018
35,Genís Montolio,€ 0,€ 0,€ 0,D,20,Spain,Villarreal,La Liga,2017-2018
36,Pedro Martínez,€ 0,€ 0,€ 0,M,21,Spain,Villarreal,La Liga,2017-2018
37,Chuca,€ 0,€ 0,€ 0,M,20,Spain,Villarreal,La Liga,2017-2018
38,Cédric Bakambu,€ 0,€ 0,€ 0,F,26,Democratic Republic of Congo,Villarreal,La Liga,2017-2018
39,Bruno Soriano,€ 0,€ 0,€ 0,M,33,Spain,Villarreal,La Liga,2017-2018
40,Sergio Lozano,€ 0,€ 0,€ 0,M,18,Spain,Villarreal,La Liga,2017-2018
