,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Juanfran,"€ 124,519","€ 6,475,000","€ 6,653,736",D,29,Spain,Celta Vigo,La Liga,2018-2019
2,Sofiane Boufal,"€ 72,404","€ 3,765,000","€ 3,868,929",F,24,Morocco,Celta Vigo,La Liga,2018-2019
3,Guido Carrillo,"€ 66,827","€ 3,475,000","€ 3,570,924",F,27,Argentina,Celta Vigo,La Liga,2018-2019
4,Wesley Hoedt,"€ 50,135","€ 2,607,000","€ 2,678,964",D,24,Netherlands,Celta Vigo,La Liga,2018-2019
5,Iago Aspas,"€ 50,000","€ 2,600,000","€ 2,671,770",F,30,Spain,Celta Vigo,La Liga,2018-2019
6,Hugo Mallo,"€ 39,712","€ 2,065,000","€ 2,122,002",D,27,Spain,Celta Vigo,La Liga,2018-2019
7,Stanislav Lobotka,"€ 39,692","€ 2,064,000","€ 2,120,975",M,23,Slovakia,Celta Vigo,La Liga,2018-2019
8,Okay Yokuslu,"€ 34,731","€ 1,806,000","€ 1,855,853",M,24,Turkey,Celta Vigo,La Liga,2018-2019
9,Diego Reyes,"€ 33,942","€ 1,765,000","€ 1,813,721",D,25,Mexico,Celta Vigo,La Liga,2018-2019
10,Martin Braithwaite,"€ 33,423","€ 1,738,000","€ 1,785,976",F,27,Denmark,Celta Vigo,La Liga,2018-2019
11,Pione Sisto,"€ 29,750","€ 1,547,000","€ 1,589,703",F,23,Denmark,Celta Vigo,La Liga,2018-2019
12,Néstor Araujo,"€ 29,154","€ 1,516,000","€ 1,557,848",D,26,Mexico,Celta Vigo,La Liga,2018-2019
13,Nemanja Radoja,"€ 28,404","€ 1,477,000","€ 1,517,771",M,25,Serbia,Celta Vigo,La Liga,2018-2019
14,Mathias Jensen,"€ 28,096","€ 1,461,000","€ 1,501,329",M,22,Denmark,Celta Vigo,La Liga,2018-2019
15,Gustavo Cabral,"€ 27,673","€ 1,439,000","€ 1,478,722",D,32,Argentina,Celta Vigo,La Liga,2018-2019
16,Dimitrios Siovas,"€ 26,904","€ 1,399,000","€ 1,437,618",D,29,Greece,Celta Vigo,La Liga,2018-2019
17,Rubén Blanco,"€ 24,115","€ 1,254,000","€ 1,288,615",K,22,Spain,Celta Vigo,La Liga,2018-2019
18,Emre Mor,"€ 23,654","€ 1,230,000","€ 1,263,953",F,20,Turkey,Celta Vigo,La Liga,2018-2019
19,Recio,"€ 23,385","€ 1,216,000","€ 1,249,566",M,27,Spain,Celta Vigo,La Liga,2018-2019
20,Sabin Merino,"€ 23,250","€ 1,209,000","€ 1,242,373",F,26,Spain,Celta Vigo,La Liga,2018-2019
21,Facundo Roncaglia,"€ 22,577","€ 1,174,000","€ 1,206,407",D,31,Argentina,Celta Vigo,La Liga,2018-2019
22,Ryad Boudebouz,"€ 22,288","€ 1,159,000","€ 1,190,993",M,28,Algeria,Celta Vigo,La Liga,2018-2019
23,Kenneth Omeruo,"€ 22,269","€ 1,158,000","€ 1,189,965",D,24,Nigeria,Celta Vigo,La Liga,2018-2019
24,Michael Santos,"€ 22,000","€ 1,144,000","€ 1,175,579",F,25,Uruguay,Celta Vigo,La Liga,2018-2019
25,Ezequiel Muñoz,"€ 21,365","€ 1,111,000","€ 1,141,668",D,27,Argentina,Celta Vigo,La Liga,2018-2019
26,Rubén Pérez,"€ 21,096","€ 1,097,000","€ 1,127,282",M,29,Spain,Celta Vigo,La Liga,2018-2019
27,Javi Eraso,"€ 20,827","€ 1,083,000","€ 1,112,895",M,28,Spain,Celta Vigo,La Liga,2018-2019
28,Sergio Álvarez,"€ 20,788","€ 1,081,000","€ 1,110,840",K,31,Spain,Celta Vigo,La Liga,2018-2019
29,Juan Hernández,"€ 19,615","€ 1,020,000","€ 1,048,156",F,23,Spain,Celta Vigo,La Liga,2018-2019
30,Alexander Szymanowski,"€ 19,365","€ 1,007,000","€ 1,034,797",F,29,Argentina,Celta Vigo,La Liga,2018-2019
31,Brais Méndez,"€ 19,231","€ 1,000,000","€ 1,027,604",F,21,Spain,Celta Vigo,La Liga,2018-2019
32,Mikel Vesga,"€ 19,019","€ 989,000","€ 1,016,300",M,25,Spain,Celta Vigo,La Liga,2018-2019
33,José Manuel Arnáiz,"€ 18,596","€ 967,000","€ 993,693",F,23,Spain,Celta Vigo,La Liga,2018-2019
34,Jozabed Sánchez,"€ 17,846","€ 928,000","€ 953,617",M,27,Spain,Celta Vigo,La Liga,2018-2019
35,Youssef En-Nesyri,"€ 16,442","€ 855,000","€ 878,601",F,21,Morocco,Celta Vigo,La Liga,2018-2019
36,Iván Cuéllar,"€ 16,173","€ 841,000","€ 864,215",K,34,Spain,Celta Vigo,La Liga,2018-2019
37,David Juncà,"€ 16,019","€ 833,000","€ 855,994",D,24,Spain,Celta Vigo,La Liga,2018-2019
38,Andriy Lunin,"€ 14,731","€ 766,000","€ 787,145",K,19,Ukraine,Celta Vigo,La Liga,2018-2019
39,Nabil El Zhar,"€ 14,365","€ 747,000","€ 767,620",F,31,Morocco,Celta Vigo,La Liga,2018-2019
40,Allan Nyom,"€ 13,923","€ 724,000","€ 743,985",D,30,Cameroon,Celta Vigo,La Liga,2018-2019
41,Júnior Alonso,"€ 13,577","€ 706,000","€ 725,488",D,25,Paraguay,Celta Vigo,La Liga,2018-2019
42,Kevin Vázquez,"€ 13,577","€ 706,000","€ 725,488",D,25,Spain,Celta Vigo,La Liga,2018-2019
43,Fran Beltrán,"€ 13,308","€ 692,000","€ 711,102",M,19,Spain,Celta Vigo,La Liga,2018-2019
44,Gerard Gumbau,"€ 13,096","€ 681,000","€ 699,798",M,23,Spain,Celta Vigo,La Liga,2018-2019
45,Unai Bustinza,"€ 12,904","€ 671,000","€ 689,522",D,26,Spain,Celta Vigo,La Liga,2018-2019
46,David Costas,"€ 12,865","€ 669,000","€ 687,467",D,23,Spain,Celta Vigo,La Liga,2018-2019
47,Robert Mazan,"€ 12,058","€ 627,000","€ 644,308",D,24,Slovakia,Celta Vigo,La Liga,2018-2019
48,Jonathan Silva,"€ 12,000","€ 624,000","€ 641,225",D,24,Argentina,Celta Vigo,La Liga,2018-2019
49,Andrew Hjulsager,"€ 11,981","€ 623,000","€ 640,197",F,23,Denmark,Celta Vigo,La Liga,2018-2019
50,Jon Ander Serantes,"€ 8,173","€ 425,000","€ 436,732",K,28,Spain,Celta Vigo,La Liga,2018-2019
51,Rodrigo Tarín,"€ 6,827","€ 355,000","€ 364,799",D,21,Spain,Celta Vigo,La Liga,2018-2019
52,Vasyl Kravets,"€ 6,154","€ 320,000","€ 328,833",D,20,Ukraine,Celta Vigo,La Liga,2018-2019
53,Andrés Prieto,"€ 5,885","€ 306,000","€ 314,447",K,24,Spain,Celta Vigo,La Liga,2018-2019
54,Lucas Olaza,"€ 5,712","€ 297,000","€ 305,198",D,23,Uruguay,Celta Vigo,La Liga,2018-2019
55,Iván Villar,"€ 5,269","€ 274,000","€ 281,563",K,20,Spain,Celta Vigo,La Liga,2018-2019
56,Dennis Eckert,"€ 2,962","€ 154,000","€ 158,251",F,21,Germany,Celta Vigo,La Liga,2018-2019
57,Óscar Rodríguez,"€ 1,442","€ 75,000","€ 77,070",M,20,Spain,Celta Vigo,La Liga,2018-2019
58,Raúl Carnero,€ 0,€ 0,€ 0,D,29,Spain,Celta Vigo,La Liga,2018-2019
59,Diego Rolán,€ 0,€ 0,€ 0,F,25,Uruguay,Celta Vigo,La Liga,2018-2019
60,Owusu,€ 0,€ 0,€ 0,F,21,Ghana,Celta Vigo,La Liga,2018-2019
61,David Tejero,€ 0,€ 0,€ 0,K,22,Spain,Celta Vigo,La Liga,2018-2019
62,Josua Mejías,€ 0,€ 0,€ 0,D,20,Venezuela,Celta Vigo,La Liga,2018-2019
63,Emmanuel Apeh,€ 0,€ 0,€ 0,F,21,Nigeria,Celta Vigo,La Liga,2018-2019
64,Dani Ojeda,€ 0,€ 0,€ 0,F,23,Spain,Celta Vigo,La Liga,2018-2019
65,Claudio Beauvue,€ 0,€ 0,€ 0,F,30,Guadeloupe,Celta Vigo,La Liga,2018-2019
66,Facundo García,€ 0,€ 0,€ 0,M,18,Argentina,Celta Vigo,La Liga,2018-2019
67,Fede Vico,€ 0,€ 0,€ 0,M,23,Spain,Celta Vigo,La Liga,2018-2019
68,Gabriel Fernández,€ 0,€ 0,€ 0,F,24,Uruguay,Celta Vigo,La Liga,2018-2019
69,Maxi Gómez,€ 0,€ 0,€ 0,F,21,Uruguay,Celta Vigo,La Liga,2018-2019
70,Mamadou Koné,€ 0,€ 0,€ 0,F,26,Cote d'Ivoire,Celta Vigo,La Liga,2018-2019
71,Javier Avilés,€ 0,€ 0,€ 0,F,20,Spain,Celta Vigo,La Liga,2018-2019
