,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Douglas Luiz,"€ 44,558","€ 2,317,000","€ 2,380,958",M,20,Brazil,Girona,La Liga,2018-2019
2,Cristhian Stuani,"€ 35,654","€ 1,854,000","€ 1,905,178",F,31,Uruguay,Girona,La Liga,2018-2019
3,Portu,"€ 27,846","€ 1,448,000","€ 1,487,971",M,26,Spain,Girona,La Liga,2018-2019
4,Marc Muniesa,"€ 21,250","€ 1,105,000","€ 1,135,502",D,26,Spain,Girona,La Liga,2018-2019
5,Carles Planas,"€ 20,192","€ 1,050,000","€ 1,078,984",D,27,Spain,Girona,La Liga,2018-2019
6,Borja García,"€ 19,981","€ 1,039,000","€ 1,067,681",M,27,Spain,Girona,La Liga,2018-2019
7,Pere Pons,"€ 18,346","€ 954,000","€ 980,334",M,25,Spain,Girona,La Liga,2018-2019
8,Juanpe,"€ 17,000","€ 884,000","€ 908,402",D,27,Spain,Girona,La Liga,2018-2019
9,Álex Granell,"€ 16,481","€ 857,000","€ 880,657",M,29,Spain,Girona,La Liga,2018-2019
10,Bernardo Espinosa,"€ 15,769","€ 820,000","€ 842,635",D,28,Colombia,Girona,La Liga,2018-2019
11,Johan Mojica,"€ 15,288","€ 795,000","€ 816,945",D,25,Colombia,Girona,La Liga,2018-2019
12,Patrick Roberts,"€ 13,923","€ 724,000","€ 743,985",F,21,England,Girona,La Liga,2018-2019
13,Pedro Alcalá,"€ 13,904","€ 723,000","€ 742,958",D,29,Spain,Girona,La Liga,2018-2019
14,Seydou Doumbia,"€ 13,750","€ 715,000","€ 734,737",F,30,Cote d'Ivoire,Girona,La Liga,2018-2019
15,Gorka Iraizoz,"€ 13,615","€ 708,000","€ 727,544",K,37,Spain,Girona,La Liga,2018-2019
16,Aday Benítez,"€ 13,385","€ 696,000","€ 715,212",D,30,Spain,Girona,La Liga,2018-2019
17,Jonás Ramalho,"€ 12,365","€ 643,000","€ 660,749",D,25,Angola,Girona,La Liga,2018-2019
18,Bono,"€ 10,769","€ 560,000","€ 575,458",K,27,Morocco,Girona,La Liga,2018-2019
19,Aleix García,"€ 5,577","€ 290,000","€ 298,005",M,21,Spain,Girona,La Liga,2018-2019
20,José Aurelio Suárez,"€ 4,269","€ 222,000","€ 228,128",K,22,Spain,Girona,La Liga,2018-2019
21,Pedro Porro,"€ 2,115","€ 110,000","€ 113,036",D,18,Spain,Girona,La Liga,2018-2019
22,Valery Fernández,"€ 1,308","€ 68,000","€ 69,877",F,18,Spain,Girona,La Liga,2018-2019
23,David Timor,€ 0,€ 0,€ 0,M,28,Spain,Girona,La Liga,2018-2019
24,Choco Lozano,€ 0,€ 0,€ 0,F,25,Honduras,Girona,La Liga,2018-2019
25,Kévin Soni,€ 0,€ 0,€ 0,F,20,Cameroon,Girona,La Liga,2018-2019
26,Álex Pachón,€ 0,€ 0,€ 0,F,17,Spain,Girona,La Liga,2018-2019
27,Raúl Carnero,€ 0,€ 0,€ 0,D,29,Spain,Girona,La Liga,2018-2019
28,Sebas Coris,€ 0,€ 0,€ 0,F,25,Spain,Girona,La Liga,2018-2019
29,Seung-ho Paik,€ 0,€ 0,€ 0,M,21,South Korea,Girona,La Liga,2018-2019
30,Jairo Izquierdo,€ 0,€ 0,€ 0,F,24,Spain,Girona,La Liga,2018-2019
31,Èric Montes,€ 0,€ 0,€ 0,D,20,Spain,Girona,La Liga,2018-2019
32,Yhoan Andzouana,€ 0,€ 0,€ 0,F,21,Congo,Girona,La Liga,2018-2019
33,Marc Vito,€ 0,€ 0,€ 0,K,22,Spain,Girona,La Liga,2018-2019
