,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Pablo Insua,"€ 30,000","€ 1,560,000","€ 1,603,062",D,24,Spain,Huesca,La Liga,2018-2019
2,Xabier Etxeita,"€ 22,519","€ 1,171,000","€ 1,203,324",D,30,Spain,Huesca,La Liga,2018-2019
3,Juanpi Añor,"€ 17,250","€ 897,000","€ 921,761",F,24,Venezuela,Huesca,La Liga,2018-2019
4,Álex Gallar,"€ 15,712","€ 817,000","€ 839,552",F,26,Spain,Huesca,La Liga,2018-2019
5,Jorge Miramón,"€ 15,673","€ 815,000","€ 837,497",D,29,Spain,Huesca,La Liga,2018-2019
6,Serdar Gürler,"€ 15,462","€ 804,000","€ 826,194",F,26,Turkey,Huesca,La Liga,2018-2019
7,Rúben Semedo,"€ 15,096","€ 785,000","€ 806,669",D,24,Portugal,Huesca,La Liga,2018-2019
8,Damián Musto,"€ 13,365","€ 695,000","€ 714,185",M,31,Argentina,Huesca,La Liga,2018-2019
9,Luisinho,"€ 12,865","€ 669,000","€ 687,467",D,33,Portugal,Huesca,La Liga,2018-2019
10,Gonzalo Melero,"€ 12,692","€ 660,000","€ 678,219",M,24,Spain,Huesca,La Liga,2018-2019
11,Lluis Sastre,"€ 11,538","€ 600,000","€ 616,562",M,32,Spain,Huesca,La Liga,2018-2019
12,Yangel Herrera,"€ 11,154","€ 580,000","€ 596,010",M,20,Venezuela,Huesca,La Liga,2018-2019
13,David Ferreiro,"€ 10,942","€ 569,000","€ 584,707",F,30,Spain,Huesca,La Liga,2018-2019
14,Axel Werner,"€ 10,462","€ 544,000","€ 559,017",K,22,Argentina,Huesca,La Liga,2018-2019
15,Samuele Longo,"€ 10,115","€ 526,000","€ 540,520",F,26,Italy,Huesca,La Liga,2018-2019
16,Carlos Akapo,"€ 9,731","€ 506,000","€ 519,968",D,25,Equatorial Guinea,Huesca,La Liga,2018-2019
17,Rajko Brezancic,"€ 8,827","€ 459,000","€ 471,670",D,28,Serbia,Huesca,La Liga,2018-2019
18,Javi Galán,"€ 8,212","€ 427,000","€ 438,787",D,23,Spain,Huesca,La Liga,2018-2019
19,Moi Gómez,"€ 8,173","€ 425,000","€ 436,732",M,24,Spain,Huesca,La Liga,2018-2019
20,Christian Rivera,"€ 7,173","€ 373,000","€ 383,296",M,20,Spain,Huesca,La Liga,2018-2019
21,Juan Aguilera,"€ 6,558","€ 341,000","€ 350,413",M,32,Spain,Huesca,La Liga,2018-2019
22,Enric Gallego,"€ 5,231","€ 272,000","€ 279,508",F,31,Spain,Huesca,La Liga,2018-2019
23,Aleksandar Jovanovic,"€ 5,096","€ 265,000","€ 272,315",K,25,Serbia,Huesca,La Liga,2018-2019
24,Roberto Santamaría,"€ 4,731","€ 246,000","€ 252,791",K,33,Spain,Huesca,La Liga,2018-2019
25,Jorge Pulido,"€ 4,500","€ 234,000","€ 240,459",D,27,Spain,Huesca,La Liga,2018-2019
26,Juanjo Camacho,"€ 1,923","€ 100,000","€ 102,760",M,37,Spain,Huesca,La Liga,2018-2019
27,Adrián Diéguez,€ 904,"€ 47,000","€ 48,297",D,22,Spain,Huesca,La Liga,2018-2019
28,Jonathan Toro,€ 0,€ 0,€ 0,F,21,Honduras,Huesca,La Liga,2018-2019
29,Martín Mantovani,€ 0,€ 0,€ 0,D,33,Argentina,Huesca,La Liga,2018-2019
30,Javi Varas,€ 0,€ 0,€ 0,K,35,Spain,Huesca,La Liga,2018-2019
31,Nacho Uche,€ 0,€ 0,€ 0,D,18,Spain,Huesca,La Liga,2018-2019
32,Javito,€ 0,€ 0,€ 0,M,19,Spain,Huesca,La Liga,2018-2019
33,Javier Almerge,€ 0,€ 0,€ 0,D,17,Spain,Huesca,La Liga,2018-2019
34,Eugeni Valderrama,€ 0,€ 0,€ 0,M,23,Spain,Huesca,La Liga,2018-2019
35,Dani Escriche,€ 0,€ 0,€ 0,F,20,Spain,Huesca,La Liga,2018-2019
36,Cucho Hernández,€ 0,€ 0,€ 0,F,19,Colombia,Huesca,La Liga,2018-2019
37,Chimy Ávila,€ 0,€ 0,€ 0,F,24,Argentina,Huesca,La Liga,2018-2019
38,Antonio Valera,€ 0,€ 0,€ 0,K,21,Spain,Huesca,La Liga,2018-2019
39,Ander Bardají,€ 0,€ 0,€ 0,K,23,Spain,Huesca,La Liga,2018-2019
