,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Gareth Bale,"€ 537,346","€ 27,942,000","€ 28,713,311",F,28,Wales,Real Madrid,La Liga,2018-2019
2,Toni Kroos,"€ 468,846","€ 24,380,000","€ 25,052,985",M,28,Germany,Real Madrid,La Liga,2018-2019
3,Marcelo,"€ 384,615","€ 20,000,000","€ 20,552,080",D,30,Brazil,Real Madrid,La Liga,2018-2019
4,Sergio Ramos,"€ 384,615","€ 20,000,000","€ 20,552,080",D,32,Spain,Real Madrid,La Liga,2018-2019
5,Luka Modric,"€ 358,385","€ 18,636,000","€ 19,150,428",M,32,Croatia,Real Madrid,La Liga,2018-2019
6,Karim Benzema,"€ 318,154","€ 16,544,000","€ 17,000,680",F,30,France,Real Madrid,La Liga,2018-2019
7,Isco,"€ 280,385","€ 14,580,000","€ 14,982,466",M,26,Spain,Real Madrid,La Liga,2018-2019
8,Thibaut Courtois,"€ 252,500","€ 13,130,000","€ 13,492,440",K,26,Belgium,Real Madrid,La Liga,2018-2019
9,Raphaël Varane,"€ 199,327","€ 10,365,000","€ 10,651,115",D,25,France,Real Madrid,La Liga,2018-2019
10,Daniel Carvajal,"€ 196,346","€ 10,210,000","€ 10,491,837",D,26,Spain,Real Madrid,La Liga,2018-2019
11,Keylor Navas,"€ 165,000","€ 8,580,000","€ 8,816,842",K,31,Costa Rica,Real Madrid,La Liga,2018-2019
12,Mariano Díaz,"€ 165,000","€ 8,580,000","€ 8,816,842",F,24,Dominican Republic,Real Madrid,La Liga,2018-2019
13,Marco Asensio,"€ 160,250","€ 8,333,000","€ 8,563,024",F,22,Spain,Real Madrid,La Liga,2018-2019
14,Álvaro Odriozola,"€ 140,192","€ 7,290,000","€ 7,491,233",D,22,Spain,Real Madrid,La Liga,2018-2019
15,Vinícius Júnior,"€ 128,269","€ 6,670,000","€ 6,854,119",F,17,Brazil,Real Madrid,La Liga,2018-2019
16,Nacho Fernández,"€ 89,038","€ 4,630,000","€ 4,757,806",D,28,Spain,Real Madrid,La Liga,2018-2019
17,Lucas Vázquez,"€ 70,981","€ 3,691,000","€ 3,792,886",F,27,Spain,Real Madrid,La Liga,2018-2019
18,Theo Hernández,"€ 69,231","€ 3,600,000","€ 3,699,374",D,20,France,Real Madrid,La Liga,2018-2019
19,Kiko Casilla,"€ 67,308","€ 3,500,000","€ 3,596,614",K,31,Spain,Real Madrid,La Liga,2018-2019
20,Dani Ceballos,"€ 60,192","€ 3,130,000","€ 3,216,400",M,21,Spain,Real Madrid,La Liga,2018-2019
21,Casemiro,"€ 47,904","€ 2,491,000","€ 2,559,762",M,26,Brazil,Real Madrid,La Liga,2018-2019
22,Jesús Vallejo,"€ 34,615","€ 1,800,000","€ 1,849,687",D,21,Spain,Real Madrid,La Liga,2018-2019
23,Marcos Llorente,"€ 21,981","€ 1,143,000","€ 1,174,551",M,23,Spain,Real Madrid,La Liga,2018-2019
24,Raúl de Tomás,"€ 20,288","€ 1,055,000","€ 1,084,122",F,23,Spain,Real Madrid,La Liga,2018-2019
25,Borja Mayoral,"€ 19,154","€ 996,000","€ 1,023,494",F,21,Spain,Real Madrid,La Liga,2018-2019
26,Federico Valverde,"€ 16,923","€ 880,000","€ 904,292",M,19,Uruguay,Real Madrid,La Liga,2018-2019
27,Andriy Lunin,"€ 14,731","€ 766,000","€ 787,145",K,19,Ukraine,Real Madrid,La Liga,2018-2019
28,Brahim Díaz,"€ 13,250","€ 689,000","€ 708,019",F,18,Spain,Real Madrid,La Liga,2018-2019
29,Sergio Reguilón,"€ 12,250","€ 637,000","€ 654,584",D,21,Spain,Real Madrid,La Liga,2018-2019
30,Jaime Seoane,"€ 2,500","€ 130,000","€ 133,589",M,21,Spain,Real Madrid,La Liga,2018-2019
31,Luca Zidane,"€ 1,962","€ 102,000","€ 104,816",K,20,France,Real Madrid,La Liga,2018-2019
32,Adrián de la Fuente,€ 0,€ 0,€ 0,D,19,Spain,Real Madrid,La Liga,2018-2019
33,James Rodríguez,€ 0,€ 0,€ 0,M,26,Colombia,Real Madrid,La Liga,2018-2019
34,Jaume Grau,€ 0,€ 0,€ 0,M,21,Spain,Real Madrid,La Liga,2018-2019
35,Javi Sánchez,€ 0,€ 0,€ 0,D,21,Spain,Real Madrid,La Liga,2018-2019
36,Fran García,€ 0,€ 0,€ 0,D,18,Spain,Real Madrid,La Liga,2018-2019
37,Franchu,€ 0,€ 0,€ 0,F,20,Argentina,Real Madrid,La Liga,2018-2019
38,Lucas Silva,€ 0,€ 0,€ 0,M,25,Brazil,Real Madrid,La Liga,2018-2019
39,Cristo,€ 0,€ 0,€ 0,F,20,Spain,Real Madrid,La Liga,2018-2019
40,Martin Ödegaard,€ 0,€ 0,€ 0,F,19,Norway,Real Madrid,La Liga,2018-2019
41,Mateo Kovacic,€ 0,€ 0,€ 0,M,24,Croatia,Real Madrid,La Liga,2018-2019
42,Álvaro Fidalgo,€ 0,€ 0,€ 0,M,21,Spain,Real Madrid,La Liga,2018-2019
