,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Simon Kjær,"€ 160,250","€ 8,333,000","€ 8,563,024",D,29,Denmark,Sevilla,La Liga,2018-2019
2,Nolito,"€ 126,923","€ 6,600,000","€ 6,782,186",F,31,Spain,Sevilla,La Liga,2018-2019
3,Éver Banega,"€ 123,846","€ 6,440,000","€ 6,617,770",M,30,Argentina,Sevilla,La Liga,2018-2019
4,Munir El Haddadi,"€ 95,827","€ 4,983,000","€ 5,120,551",F,22,Spain,Sevilla,La Liga,2018-2019
5,Luis Muriel,"€ 82,500","€ 4,290,000","€ 4,408,421",F,27,Colombia,Sevilla,La Liga,2018-2019
6,Jesús Navas,"€ 76,654","€ 3,986,000","€ 4,096,030",D,32,Spain,Sevilla,La Liga,2018-2019
7,Franco Vázquez,"€ 72,577","€ 3,774,000","€ 3,878,177",M,29,Argentina,Sevilla,La Liga,2018-2019
8,Maxime Gonalons,"€ 71,154","€ 3,700,000","€ 3,802,135",M,29,France,Sevilla,La Liga,2018-2019
9,André Silva,"€ 71,154","€ 3,700,000","€ 3,802,135",F,22,Portugal,Sevilla,La Liga,2018-2019
10,Aleix Vidal,"€ 67,346","€ 3,502,000","€ 3,598,669",M,28,Spain,Sevilla,La Liga,2018-2019
11,Quincy Promes,"€ 59,692","€ 3,104,000","€ 3,189,683",F,26,Netherlands,Sevilla,La Liga,2018-2019
12,Pablo Sarabia,"€ 55,135","€ 2,867,000","€ 2,946,141",M,26,Spain,Sevilla,La Liga,2018-2019
13,Roque Mesa,"€ 55,000","€ 2,860,000","€ 2,938,947",M,29,Spain,Sevilla,La Liga,2018-2019
14,Marko Rog,"€ 46,250","€ 2,405,000","€ 2,471,388",M,22,Croatia,Sevilla,La Liga,2018-2019
15,Ibrahim Amadou,"€ 42,808","€ 2,226,000","€ 2,287,446",M,25,France,Sevilla,La Liga,2018-2019
16,Wissam Ben Yedder,"€ 38,308","€ 1,992,000","€ 2,046,987",F,27,France,Sevilla,La Liga,2018-2019
17,Tomas Vaclik,"€ 38,308","€ 1,992,000","€ 2,046,987",K,29,Czech Republic,Sevilla,La Liga,2018-2019
18,Gabriel Mercado,"€ 37,731","€ 1,962,000","€ 2,016,159",D,31,Argentina,Sevilla,La Liga,2018-2019
19,Sergio Escudero,"€ 34,615","€ 1,800,000","€ 1,849,687",D,28,Spain,Sevilla,La Liga,2018-2019
20,Joris Gnagnon,"€ 27,481","€ 1,429,000","€ 1,468,446",D,21,France,Sevilla,La Liga,2018-2019
21,Guilherme Arana,"€ 26,962","€ 1,402,000","€ 1,440,701",D,21,Brazil,Sevilla,La Liga,2018-2019
22,Daniel Carriço,"€ 25,000","€ 1,300,000","€ 1,335,885",D,29,Portugal,Sevilla,La Liga,2018-2019
23,Sergi Gómez,"€ 23,692","€ 1,232,000","€ 1,266,008",D,26,Spain,Sevilla,La Liga,2018-2019
24,Borja Lasso,"€ 11,788","€ 613,000","€ 629,921",M,24,Spain,Sevilla,La Liga,2018-2019
25,Maximilian Wöber,"€ 6,462","€ 336,000","€ 345,275",D,20,Austria,Sevilla,La Liga,2018-2019
26,Juan Soriano,"€ 3,192","€ 166,000","€ 170,582",K,20,Spain,Sevilla,La Liga,2018-2019
27,Sébastien Corchia,€ 0,€ 0,€ 0,D,27,France,Sevilla,La Liga,2018-2019
28,Sergio Rico,€ 0,€ 0,€ 0,K,24,Spain,Sevilla,La Liga,2018-2019
29,Bryan Gil,€ 0,€ 0,€ 0,F,17,Spain,Sevilla,La Liga,2018-2019
30,Juan Berrocal,€ 0,€ 0,€ 0,D,19,Spain,Sevilla,La Liga,2018-2019
31,José Mena,€ 0,€ 0,€ 0,M,20,Spain,Sevilla,La Liga,2018-2019
32,Lucho Garcia,€ 0,€ 0,€ 0,K,20,Colombia,Sevilla,La Liga,2018-2019
33,Marc Gual,€ 0,€ 0,€ 0,F,22,Spain,Sevilla,La Liga,2018-2019
34,Javi Vázquez,€ 0,€ 0,€ 0,D,17,Spain,Sevilla,La Liga,2018-2019
35,Javi Díaz,€ 0,€ 0,€ 0,K,21,Spain,Sevilla,La Liga,2018-2019
36,Nicolás Pareja,€ 0,€ 0,€ 0,D,34,Argentina,Sevilla,La Liga,2018-2019
37,Ganso,€ 0,€ 0,€ 0,M,28,Brazil,Sevilla,La Liga,2018-2019
38,Pejiño,€ 0,€ 0,€ 0,F,21,Spain,Sevilla,La Liga,2018-2019
39,Carlos Fernández,€ 0,€ 0,€ 0,F,22,Spain,Sevilla,La Liga,2018-2019
