,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Keko,"€ 26,000","€ 1,352,000","€ 1,389,321",F,26,Spain,Valladolid,La Liga,2018-2019
2,Enes Ünal,"€ 25,269","€ 1,314,000","€ 1,350,272",F,21,Turkey,Valladolid,La Liga,2018-2019
3,Yoel Rodríguez,"€ 17,250","€ 897,000","€ 921,761",K,29,Spain,Valladolid,La Liga,2018-2019
4,Duje Cop,"€ 16,500","€ 858,000","€ 881,684",F,28,Croatia,Valladolid,La Liga,2018-2019
5,Pablo Hervías,"€ 14,981","€ 779,000","€ 800,504",F,25,Spain,Valladolid,La Liga,2018-2019
6,Nacho Martínez,"€ 14,404","€ 749,000","€ 769,675",D,29,Spain,Valladolid,La Liga,2018-2019
7,Míchel Herrero,"€ 14,077","€ 732,000","€ 752,206",M,29,Spain,Valladolid,La Liga,2018-2019
8,Luismi,"€ 13,269","€ 690,000","€ 709,047",M,26,Spain,Valladolid,La Liga,2018-2019
9,Alberto Guitián,"€ 13,231","€ 688,000","€ 706,992",D,27,Spain,Valladolid,La Liga,2018-2019
10,Óscar Plano,"€ 12,558","€ 653,000","€ 671,025",F,27,Spain,Valladolid,La Liga,2018-2019
11,Sergi Guardiola,"€ 11,692","€ 608,000","€ 624,783",F,27,Spain,Valladolid,La Liga,2018-2019
12,Ivi López,"€ 11,500","€ 598,000","€ 614,507",F,24,Spain,Valladolid,La Liga,2018-2019
13,Rubén Alcaraz,"€ 11,385","€ 592,000","€ 608,342",M,27,Spain,Valladolid,La Liga,2018-2019
14,Antoñito,"€ 10,750","€ 559,000","€ 574,431",D,30,Spain,Valladolid,La Liga,2018-2019
15,Kiko Olivas,"€ 10,750","€ 559,000","€ 574,431",D,29,Spain,Valladolid,La Liga,2018-2019
16,Fernando Calero,"€ 10,577","€ 550,000","€ 565,182",D,22,Spain,Valladolid,La Liga,2018-2019
17,Jordi Masip,"€ 10,462","€ 544,000","€ 559,017",K,29,Spain,Valladolid,La Liga,2018-2019
18,Antonio Cotán,"€ 10,250","€ 533,000","€ 547,713",M,22,Spain,Valladolid,La Liga,2018-2019
19,Moi Delgado,"€ 8,904","€ 463,000","€ 475,781",D,24,Spain,Valladolid,La Liga,2018-2019
20,Joaquín Fernández,"€ 8,712","€ 453,000","€ 465,505",D,22,Spain,Valladolid,La Liga,2018-2019
21,Fede San Emeterio,"€ 8,654","€ 450,000","€ 462,422",M,21,Spain,Valladolid,La Liga,2018-2019
22,Daniele Verde,"€ 7,827","€ 407,000","€ 418,235",F,22,Italy,Valladolid,La Liga,2018-2019
23,Toni Villa,"€ 6,731","€ 350,000","€ 359,661",F,23,Spain,Valladolid,La Liga,2018-2019
24,Stiven Plaza,"€ 6,635","€ 345,000","€ 354,523",F,19,Ecuador,Valladolid,La Liga,2018-2019
25,Borja Fernández,"€ 6,058","€ 315,000","€ 323,695",M,37,Spain,Valladolid,La Liga,2018-2019
26,Anuar,"€ 4,423","€ 230,000","€ 236,349",M,23,Morocco,Valladolid,La Liga,2018-2019
27,Leo Suárez,"€ 3,308","€ 172,000","€ 176,748",F,22,Argentina,Valladolid,La Liga,2018-2019
28,Javi Moyano,"€ 2,865","€ 149,000","€ 153,113",D,32,Spain,Valladolid,La Liga,2018-2019
29,Chris Ramos,€ 0,€ 0,€ 0,F,21,Spain,Valladolid,La Liga,2018-2019
30,Antonio Domínguez,€ 0,€ 0,€ 0,M,25,Spain,Valladolid,La Liga,2018-2019
31,Pablo Muñoz,€ 0,€ 0,€ 0,F,18,Spain,Valladolid,La Liga,2018-2019
32,Roberto Corral,€ 0,€ 0,€ 0,D,20,Spain,Valladolid,La Liga,2018-2019
33,Kuki Zalazar,€ 0,€ 0,€ 0,F,20,Spain,Valladolid,La Liga,2018-2019
34,Samuel Pérez,€ 0,€ 0,€ 0,K,21,Spain,Valladolid,La Liga,2018-2019
35,José Antonio Caro,€ 0,€ 0,€ 0,K,24,Spain,Valladolid,La Liga,2018-2019
36,Javi Aparicio,€ 0,€ 0,€ 0,D,18,Spain,Valladolid,La Liga,2018-2019
37,Waldo Rubio,€ 0,€ 0,€ 0,F,22,Spain,Valladolid,La Liga,2018-2019
38,El Hacen,€ 0,€ 0,€ 0,M,20,Mauritania,Valladolid,La Liga,2018-2019
39,David Mayoral,€ 0,€ 0,€ 0,F,21,Spain,Valladolid,La Liga,2018-2019
40,Miguel de la Fuente,€ 0,€ 0,€ 0,F,18,Spain,Valladolid,La Liga,2018-2019
41,Mohammed Salisu,€ 0,€ 0,€ 0,D,19,Ghana,Valladolid,La Liga,2018-2019
