,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Jan Oblak,"€ 400,000","€ 20,800,000","€ 21,443,372",K,26,Slovenia,Atletico Madrid,La Liga,2019-2020
2,Diego Costa,"€ 340,385","€ 17,700,000","€ 18,247,485",F,30,Spain,Atletico Madrid,La Liga,2019-2020
3,Koke,"€ 307,692","€ 16,000,000","€ 16,494,902",M,27,Spain,Atletico Madrid,La Liga,2019-2020
4,João Félix,"€ 278,846","€ 14,500,000","€ 14,948,505",F,19,Portugal,Atletico Madrid,La Liga,2019-2020
5,Saúl Ñíguez,"€ 230,769","€ 12,000,000","€ 12,371,176",M,24,Spain,Atletico Madrid,La Liga,2019-2020
6,Yannick Carrasco,"€ 200,385","€ 10,420,000","€ 10,742,305",F,26,Belgium,Atletico Madrid,La Liga,2019-2020
7,Vitolo,"€ 200,385","€ 10,420,000","€ 10,742,305",F,29,Spain,Atletico Madrid,La Liga,2019-2020
8,Álvaro Morata,"€ 188,462","€ 9,800,000","€ 10,103,127",F,26,Spain,Atletico Madrid,La Liga,2019-2020
9,Thomas Lemar,"€ 125,000","€ 6,500,000","€ 6,701,054",F,23,France,Atletico Madrid,La Liga,2019-2020
10,Héctor Herrera,"€ 115,385","€ 6,000,000","€ 6,185,588",M,29,Mexico,Atletico Madrid,La Liga,2019-2020
11,Thomas Partey,"€ 96,154","€ 5,000,000","€ 5,154,657",M,26,Ghana,Atletico Madrid,La Liga,2019-2020
12,Stefan Savic,"€ 86,538","€ 4,500,000","€ 4,639,191",D,28,Montenegro,Atletico Madrid,La Liga,2019-2020
13,Santiago Arias,"€ 80,000","€ 4,160,000","€ 4,288,674",D,27,Colombia,Atletico Madrid,La Liga,2019-2020
14,Sime Vrsaljko,"€ 80,000","€ 4,160,000","€ 4,288,674",D,27,Croatia,Atletico Madrid,La Liga,2019-2020
15,José Giménez,"€ 76,923","€ 4,000,000","€ 4,123,725",D,24,Uruguay,Atletico Madrid,La Liga,2019-2020
16,Renan Lodi,"€ 73,077","€ 3,800,000","€ 3,917,539",D,21,Brazil,Atletico Madrid,La Liga,2019-2020
17,Ángel Correa,"€ 67,308","€ 3,500,000","€ 3,608,260",F,24,Argentina,Atletico Madrid,La Liga,2019-2020
18,Felipe,"€ 60,000","€ 3,120,000","€ 3,216,506",D,30,Brazil,Atletico Madrid,La Liga,2019-2020
19,Mario Hermoso,"€ 40,385","€ 2,100,000","€ 2,164,956",D,24,Spain,Atletico Madrid,La Liga,2019-2020
20,Marcos Llorente,"€ 40,385","€ 2,100,000","€ 2,164,956",M,24,Spain,Atletico Madrid,La Liga,2019-2020
21,Antonio Adán,"€ 40,000","€ 2,080,000","€ 2,144,337",K,32,Spain,Atletico Madrid,La Liga,2019-2020
22,Kieran Trippier,"€ 38,462","€ 2,000,000","€ 2,061,863",D,28,England,Atletico Madrid,La Liga,2019-2020
23,Ivan Saponjic,"€ 16,154","€ 840,000","€ 865,982",F,22,Serbia,Atletico Madrid,La Liga,2019-2020
