,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Sebastián Cristóforo,"€ 25,000","€ 1,300,000","€ 1,340,211",M,26,Uruguay,Eibar,La Liga,2019-2020
2,Gonzalo Escalante,"€ 25,000","€ 1,300,000","€ 1,340,211",M,26,Argentina,Eibar,La Liga,2019-2020
3,Takashi Inui,"€ 22,308","€ 1,160,000","€ 1,195,880",F,31,Japan,Eibar,La Liga,2019-2020
4,Paulo Oliveira,"€ 21,154","€ 1,100,000","€ 1,134,024",D,27,Portugal,Eibar,La Liga,2019-2020
5,Pedro León,"€ 18,846","€ 980,000","€ 1,010,313",F,32,Spain,Eibar,La Liga,2019-2020
6,Iván Ramis,"€ 18,846","€ 980,000","€ 1,010,313",D,34,Spain,Eibar,La Liga,2019-2020
7,Fabián Orellana,"€ 18,846","€ 980,000","€ 1,010,313",F,33,Chile,Eibar,La Liga,2019-2020
8,Yoel Rodríguez,"€ 17,308","€ 900,000","€ 927,838",K,31,Spain,Eibar,La Liga,2019-2020
9,Marko Dmitrovic,"€ 17,308","€ 900,000","€ 927,838",K,27,Serbia,Eibar,La Liga,2019-2020
10,Pape Diop,"€ 17,308","€ 900,000","€ 927,838",M,33,Senegal,Eibar,La Liga,2019-2020
11,Pedro Bigas,"€ 17,308","€ 900,000","€ 927,838",D,29,Spain,Eibar,La Liga,2019-2020
12,Sergi Enrich,"€ 17,308","€ 900,000","€ 927,838",F,29,Spain,Eibar,La Liga,2019-2020
13,Charles,"€ 15,000","€ 780,000","€ 804,126",F,35,Brazil,Eibar,La Liga,2019-2020
14,Edu Expósito,"€ 14,808","€ 770,000","€ 793,817",M,23,Spain,Eibar,La Liga,2019-2020
15,Pablo de Blasis,"€ 13,462","€ 700,000","€ 721,652",F,31,Argentina,Eibar,La Liga,2019-2020
16,Sergio Álvarez,"€ 12,500","€ 650,000","€ 670,105",M,27,Spain,Eibar,La Liga,2019-2020
17,Anaitz Arbilla,"€ 11,538","€ 600,000","€ 618,559",D,32,Spain,Eibar,La Liga,2019-2020
18,Kike García,"€ 11,154","€ 580,000","€ 597,940",F,29,Spain,Eibar,La Liga,2019-2020
19,Quique González,"€ 11,154","€ 580,000","€ 597,940",F,29,Spain,Eibar,La Liga,2019-2020
20,José Ángel,"€ 10,385","€ 540,000","€ 556,703",D,30,Spain,Eibar,La Liga,2019-2020
21,Álvaro Tejero,"€ 10,385","€ 540,000","€ 556,703",D,23,Spain,Eibar,La Liga,2019-2020
22,Esteban Burgos,"€ 5,769","€ 300,000","€ 309,279",D,27,Argentina,Eibar,La Liga,2019-2020
23,Roberto Correa,"€ 5,769","€ 300,000","€ 309,279",D,26,Spain,Eibar,La Liga,2019-2020
24,Rafa Soares,"€ 2,115","€ 110,000","€ 113,402",D,24,Portugal,Eibar,La Liga,2019-2020
