,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Djené,"€ 41,923","€ 2,180,000","€ 2,247,430",D,27,Togo,Getafe,La Liga,2019-2020
2,Oghenekaro Etebo,"€ 34,808","€ 1,810,000","€ 1,865,986",M,24,Nigeria,Getafe,La Liga,2019-2020
3,Kenedy,"€ 28,846","€ 1,500,000","€ 1,546,397",M,23,Brazil,Getafe,La Liga,2019-2020
4,Marc Cucurella,"€ 28,846","€ 1,500,000","€ 1,546,397",D,21,Spain,Getafe,La Liga,2019-2020
5,Jason,"€ 23,462","€ 1,220,000","€ 1,257,736",F,25,Spain,Getafe,La Liga,2019-2020
6,Jaime Mata,"€ 23,462","€ 1,220,000","€ 1,257,736",F,30,Spain,Getafe,La Liga,2019-2020
7,Nemanja Maksimovic,"€ 23,077","€ 1,200,000","€ 1,237,118",M,24,Serbia,Getafe,La Liga,2019-2020
8,David Soria,"€ 22,115","€ 1,150,000","€ 1,185,571",K,26,Spain,Getafe,La Liga,2019-2020
9,Leandro Cabrera,"€ 19,615","€ 1,020,000","€ 1,051,550",D,28,Uruguay,Getafe,La Liga,2019-2020
10,Deyverson,"€ 19,231","€ 1,000,000","€ 1,030,931",F,28,Brazil,Getafe,La Liga,2019-2020
11,Fayçal Fajr,"€ 18,462","€ 960,000","€ 989,694",F,31,Morocco,Getafe,La Liga,2019-2020
12,Mauro Arambarri,"€ 17,308","€ 900,000","€ 927,838",M,23,Uruguay,Getafe,La Liga,2019-2020
13,Vitorino Antunes,"€ 17,308","€ 900,000","€ 927,838",D,32,Portugal,Getafe,La Liga,2019-2020
14,Allan Nyom,"€ 15,962","€ 830,000","€ 855,673",D,31,Cameroon,Getafe,La Liga,2019-2020
15,Damián Suárez,"€ 15,000","€ 780,000","€ 804,126",D,31,Uruguay,Getafe,La Liga,2019-2020
16,Ángel Rodríguez,"€ 15,000","€ 780,000","€ 804,126",F,32,Spain,Getafe,La Liga,2019-2020
17,Jorge Molina,"€ 14,808","€ 770,000","€ 793,817",F,37,Spain,Getafe,La Liga,2019-2020
18,Xabier Etxeita,"€ 13,654","€ 710,000","€ 731,961",D,31,Spain,Getafe,La Liga,2019-2020
19,Chema,"€ 12,500","€ 650,000","€ 670,105",D,27,Spain,Getafe,La Liga,2019-2020
20,Erick Cabaco,"€ 12,308","€ 640,000","€ 659,796",D,24,Uruguay,Getafe,La Liga,2019-2020
21,Amath Ndiaye,"€ 12,308","€ 640,000","€ 659,796",F,23,Senegal,Getafe,La Liga,2019-2020
22,Francisco Portillo,"€ 11,923","€ 620,000","€ 639,177",F,29,Spain,Getafe,La Liga,2019-2020
23,Enric Gallego,"€ 11,731","€ 610,000","€ 628,868",F,32,Spain,Getafe,La Liga,2019-2020
24,Bruno González,"€ 9,808","€ 510,000","€ 525,775",D,29,Spain,Getafe,La Liga,2019-2020
25,David Timor,"€ 9,231","€ 480,000","€ 494,847",M,29,Spain,Getafe,La Liga,2019-2020
26,Raúl Carnero,"€ 8,462","€ 440,000","€ 453,610",D,30,Spain,Getafe,La Liga,2019-2020
27,Leandro Chichizola,"€ 8,462","€ 440,000","€ 453,610",K,29,Argentina,Getafe,La Liga,2019-2020
28,Markel Bergara,"€ 7,692","€ 400,000","€ 412,373",M,33,Spain,Getafe,La Liga,2019-2020
29,Mathías Olivera,"€ 5,192","€ 270,000","€ 278,351",D,21,Uruguay,Getafe,La Liga,2019-2020
30,Filip Manojlovic,"€ 3,269","€ 170,000","€ 175,258",K,23,Serbia,Getafe,La Liga,2019-2020
31,Hugo Duro,"€ 3,077","€ 160,000","€ 164,949",F,20,Spain,Getafe,La Liga,2019-2020
