,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Adrián Ramos,"€ 115,577","€ 6,010,000","€ 6,195,897",F,33,Colombia,Granada,La Liga,2019-2020
2,Maxime Gonalons,"€ 71,154","€ 3,700,000","€ 3,814,446",M,30,France,Granada,La Liga,2019-2020
3,Jesús Vallejo,"€ 34,615","€ 1,800,000","€ 1,855,676",D,23,Spain,Granada,La Liga,2019-2020
4,Domingos Duarte,"€ 24,231","€ 1,260,000","€ 1,298,974",D,24,Portugal,Granada,La Liga,2019-2020
5,Dimitri Foulquier,"€ 23,269","€ 1,210,000","€ 1,247,427",D,26,Guadeloupe,Granada,La Liga,2019-2020
6,Yangel Herrera,"€ 23,077","€ 1,200,000","€ 1,237,118",M,21,Venezuela,Granada,La Liga,2019-2020
7,Darwin Machís,"€ 11,731","€ 610,000","€ 628,868",F,26,Venezuela,Granada,La Liga,2019-2020
8,Roberto Soldado,"€ 11,154","€ 580,000","€ 597,940",F,34,Spain,Granada,La Liga,2019-2020
9,Álvaro Vadillo,"€ 11,154","€ 580,000","€ 597,940",F,24,Spain,Granada,La Liga,2019-2020
10,Carlos Fernández,"€ 10,769","€ 560,000","€ 577,322",F,23,Spain,Granada,La Liga,2019-2020
11,Gil Dias,"€ 10,000","€ 520,000","€ 536,084",F,23,Portugal,Granada,La Liga,2019-2020
12,Fede Vico,"€ 8,654","€ 450,000","€ 463,919",F,25,Spain,Granada,La Liga,2019-2020
13,Ángel Montoro,"€ 8,654","€ 450,000","€ 463,919",M,31,Spain,Granada,La Liga,2019-2020
14,Ramon Azeez,"€ 8,654","€ 450,000","€ 463,919",M,26,Nigeria,Granada,La Liga,2019-2020
15,Neyder Lozano,"€ 5,577","€ 290,000","€ 298,970",D,25,Colombia,Granada,La Liga,2019-2020
16,Yan Eteki,"€ 5,577","€ 290,000","€ 298,970",M,22,Cameroon,Granada,La Liga,2019-2020
17,José Antonio Martínez,"€ 5,000","€ 260,000","€ 268,042",D,26,Spain,Granada,La Liga,2019-2020
18,Víctor Díaz,"€ 4,615","€ 240,000","€ 247,424",D,31,Spain,Granada,La Liga,2019-2020
19,Antonio Puertas,"€ 4,231","€ 220,000","€ 226,805",F,27,Spain,Granada,La Liga,2019-2020
20,Rui Silva,"€ 4,038","€ 210,000","€ 216,496",K,25,Portugal,Granada,La Liga,2019-2020
21,Germán Sánchez,"€ 3,846","€ 200,000","€ 206,186",D,32,Spain,Granada,La Liga,2019-2020
22,Aarón Escandell,"€ 3,077","€ 160,000","€ 164,949",K,23,Spain,Granada,La Liga,2019-2020
23,Quini,"€ 3,077","€ 160,000","€ 164,949",D,29,Spain,Granada,La Liga,2019-2020
24,Ismail Köybasi,"€ 3,077","€ 160,000","€ 164,949",D,30,Turkey,Granada,La Liga,2019-2020
25,Álex Martínez,"€ 3,077","€ 160,000","€ 164,949",D,29,Spain,Granada,La Liga,2019-2020
26,Carlos Neva,"€ 3,077","€ 160,000","€ 164,949",D,23,Spain,Granada,La Liga,2019-2020
