,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Martin Braithwaite,"€ 115,385","€ 6,000,000","€ 6,185,588",F,28,Denmark,Leganes,La Liga,2019-2020
2,Guido Carrillo,"€ 69,615","€ 3,620,000","€ 3,731,971",F,28,Argentina,Leganes,La Liga,2019-2020
3,Youssef En-Nesyri,"€ 57,692","€ 3,000,000","€ 3,092,794",F,22,Morocco,Leganes,La Liga,2019-2020
4,Roque Mesa,"€ 55,000","€ 2,860,000","€ 2,948,464",M,30,Spain,Leganes,La Liga,2019-2020
5,Ibrahim Amadou,"€ 43,077","€ 2,240,000","€ 2,309,286",M,26,France,Leganes,La Liga,2019-2020
6,Dimitrios Siovas,"€ 26,923","€ 1,400,000","€ 1,443,304",D,30,Greece,Leganes,La Liga,2019-2020
7,Marc Navarro,"€ 26,731","€ 1,390,000","€ 1,432,995",D,24,Spain,Leganes,La Liga,2019-2020
8,Roberto Rosales,"€ 25,962","€ 1,350,000","€ 1,391,757",D,30,Venezuela,Leganes,La Liga,2019-2020
9,Sabin Merino,"€ 23,269","€ 1,210,000","€ 1,247,427",F,27,Spain,Leganes,La Liga,2019-2020
10,Rubén Pérez,"€ 20,000","€ 1,040,000","€ 1,072,169",M,30,Spain,Leganes,La Liga,2019-2020
11,Roger Assalé,"€ 18,462","€ 960,000","€ 989,694",F,26,Cote d'Ivoire,Leganes,La Liga,2019-2020
12,Iván Cuéllar,"€ 17,692","€ 920,000","€ 948,457",K,35,Spain,Leganes,La Liga,2019-2020
13,Miguel Ángel Guerrero,"€ 17,500","€ 910,000","€ 938,148",F,29,Spain,Leganes,La Liga,2019-2020
14,Kenneth Omeruo,"€ 15,000","€ 780,000","€ 804,126",D,25,Nigeria,Leganes,La Liga,2019-2020
15,Javi Eraso,"€ 14,038","€ 730,000","€ 752,580",F,29,Spain,Leganes,La Liga,2019-2020
16,José Manuel Arnáiz,"€ 12,885","€ 670,000","€ 690,724",F,24,Spain,Leganes,La Liga,2019-2020
17,Recio,"€ 11,731","€ 610,000","€ 628,868",M,28,Spain,Leganes,La Liga,2019-2020
18,Jonathan Silva,"€ 11,731","€ 610,000","€ 628,868",D,25,Argentina,Leganes,La Liga,2019-2020
19,Kévin Rodrigues,"€ 10,962","€ 570,000","€ 587,631",D,25,Portugal,Leganes,La Liga,2019-2020
20,Óscar Rodríguez,"€ 10,769","€ 560,000","€ 577,322",F,21,Spain,Leganes,La Liga,2019-2020
21,Unai Bustinza,"€ 10,577","€ 550,000","€ 567,012",D,27,Spain,Leganes,La Liga,2019-2020
22,Aitor Ruibal,"€ 10,000","€ 520,000","€ 536,084",F,23,Spain,Leganes,La Liga,2019-2020
23,Alexander Szymanowski,"€ 9,231","€ 480,000","€ 494,847",F,30,Argentina,Leganes,La Liga,2019-2020
24,Rodrigo Tarín,"€ 8,654","€ 450,000","€ 463,919",D,23,Spain,Leganes,La Liga,2019-2020
25,Juan Soriano,"€ 6,923","€ 360,000","€ 371,135",K,22,Spain,Leganes,La Liga,2019-2020
26,Fede Varela,"€ 6,731","€ 350,000","€ 360,826",F,22,Argentina,Leganes,La Liga,2019-2020
27,Christian Rivera,"€ 6,346","€ 330,000","€ 340,207",M,22,Spain,Leganes,La Liga,2019-2020
28,Vasyl Kravets,"€ 6,154","€ 320,000","€ 329,898",D,22,Ukraine,Leganes,La Liga,2019-2020
29,Bryan Gil,"€ 4,808","€ 250,000","€ 257,733",F,18,Spain,Leganes,La Liga,2019-2020
30,Chidozie Awaziem,"€ 3,846","€ 200,000","€ 206,186",D,22,Nigeria,Leganes,La Liga,2019-2020
31,André Grandi,"€ 1,538","€ 80,000","€ 82,475",K,22,Brazil,Leganes,La Liga,2019-2020
