,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Chimy Ávila,"€ 26,346","€ 1,370,000","€ 1,412,376",F,25,Argentina,Osasuna,La Liga,2019-2020
2,Raúl Navas,"€ 22,308","€ 1,160,000","€ 1,195,880",D,31,Spain,Osasuna,La Liga,2019-2020
3,Rubén García,"€ 21,538","€ 1,120,000","€ 1,154,643",F,26,Spain,Osasuna,La Liga,2019-2020
4,Facundo Roncaglia,"€ 15,577","€ 810,000","€ 835,054",D,32,Argentina,Osasuna,La Liga,2019-2020
5,Brandon,"€ 14,038","€ 730,000","€ 752,580",F,24,Spain,Osasuna,La Liga,2019-2020
6,Juan Villar,"€ 13,269","€ 690,000","€ 711,343",F,31,Spain,Osasuna,La Liga,2019-2020
7,José Manuel Arnáiz,"€ 12,885","€ 670,000","€ 690,724",F,24,Spain,Osasuna,La Liga,2019-2020
8,Adrián López,"€ 11,923","€ 620,000","€ 639,177",F,31,Spain,Osasuna,La Liga,2019-2020
9,Darko Brasanac,"€ 11,923","€ 620,000","€ 639,177",M,27,Serbia,Osasuna,La Liga,2019-2020
10,Enric Gallego,"€ 11,731","€ 610,000","€ 628,868",F,33,Spain,Osasuna,La Liga,2019-2020
11,Robert Ibáñez,"€ 11,346","€ 590,000","€ 608,249",F,26,Spain,Osasuna,La Liga,2019-2020
12,Nacho Vidal,"€ 10,769","€ 560,000","€ 577,322",D,24,Spain,Osasuna,La Liga,2019-2020
13,Toni Lato,"€ 10,769","€ 560,000","€ 577,322",D,22,Spain,Osasuna,La Liga,2019-2020
14,Rubén Martínez,"€ 10,000","€ 520,000","€ 536,084",K,35,Spain,Osasuna,La Liga,2019-2020
15,Roberto Torres,"€ 9,038","€ 470,000","€ 484,538",F,30,Spain,Osasuna,La Liga,2019-2020
16,Sergio Herrera,"€ 7,115","€ 370,000","€ 381,445",K,26,Spain,Osasuna,La Liga,2019-2020
17,Marc Cardona,"€ 6,154","€ 320,000","€ 329,898",F,24,Spain,Osasuna,La Liga,2019-2020
18,Unai García,"€ 5,385","€ 280,000","€ 288,661",D,27,Spain,Osasuna,La Liga,2019-2020
19,Oier,"€ 5,000","€ 260,000","€ 268,042",M,33,Spain,Osasuna,La Liga,2019-2020
20,Lillo Castellano,"€ 4,615","€ 240,000","€ 247,424",D,30,Spain,Osasuna,La Liga,2019-2020
21,Juan Pérez,"€ 4,423","€ 230,000","€ 237,114",K,23,Spain,Osasuna,La Liga,2019-2020
22,Iñigo Pérez,"€ 4,423","€ 230,000","€ 237,114",M,31,Spain,Osasuna,La Liga,2019-2020
23,Aridane Hernández,"€ 3,846","€ 200,000","€ 206,186",D,30,Spain,Osasuna,La Liga,2019-2020
24,David García,"€ 3,846","€ 200,000","€ 206,186",D,25,Spain,Osasuna,La Liga,2019-2020
25,Pervis Estupiñán,"€ 3,462","€ 180,000","€ 185,568",D,21,Ecuador,Osasuna,La Liga,2019-2020
26,Fran Mérida,"€ 3,462","€ 180,000","€ 185,568",M,29,Spain,Osasuna,La Liga,2019-2020
27,Jon Moncayola,"€ 3,077","€ 160,000","€ 164,949",M,21,Spain,Osasuna,La Liga,2019-2020
28,Kike Barja,"€ 3,077","€ 160,000","€ 164,949",F,22,Spain,Osasuna,La Liga,2019-2020
29,Luis Perea,"€ 1,346","€ 70,000","€ 72,165",M,22,Spain,Osasuna,La Liga,2019-2020
