,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Martin Ödegaard,"€ 94,423","€ 4,910,000","€ 5,061,873",F,20,Norway,Real Sociedad,La Liga,2019-2020
2,Adnan Januzaj,"€ 76,923","€ 4,000,000","€ 4,123,725",F,24,Belgium,Real Sociedad,La Liga,2019-2020
3,Asier Illarramendi,"€ 55,000","€ 2,860,000","€ 2,948,464",M,29,Spain,Real Sociedad,La Liga,2019-2020
4,Nacho Monreal,"€ 50,000","€ 2,600,000","€ 2,680,422",D,33,Spain,Real Sociedad,La Liga,2019-2020
5,Willian José,"€ 44,615","€ 2,320,000","€ 2,391,761",F,27,Brazil,Real Sociedad,La Liga,2019-2020
6,Mikel Merino,"€ 44,615","€ 2,320,000","€ 2,391,761",M,23,Spain,Real Sociedad,La Liga,2019-2020
7,Mikel Oyarzabal,"€ 43,077","€ 2,240,000","€ 2,309,286",F,22,Spain,Real Sociedad,La Liga,2019-2020
8,Igor Zubeldia,"€ 39,423","€ 2,050,000","€ 2,113,409",M,22,Spain,Real Sociedad,La Liga,2019-2020
9,Diego Llorente,"€ 39,423","€ 2,050,000","€ 2,113,409",D,26,Spain,Real Sociedad,La Liga,2019-2020
10,Portu,"€ 36,731","€ 1,910,000","€ 1,969,079",F,27,Spain,Real Sociedad,La Liga,2019-2020
11,Joseba Zaldua,"€ 34,808","€ 1,810,000","€ 1,865,986",D,27,Spain,Real Sociedad,La Liga,2019-2020
12,Aritz Elustondo,"€ 26,346","€ 1,370,000","€ 1,412,376",D,25,Spain,Real Sociedad,La Liga,2019-2020
13,Miguel Ángel Moyà,"€ 25,000","€ 1,300,000","€ 1,340,211",K,35,Spain,Real Sociedad,La Liga,2019-2020
14,Alex Remiro,"€ 20,962","€ 1,090,000","€ 1,123,715",K,24,Spain,Real Sociedad,La Liga,2019-2020
15,Luca Sangalli,"€ 19,615","€ 1,020,000","€ 1,051,550",F,24,Spain,Real Sociedad,La Liga,2019-2020
16,Alexander Isak,"€ 18,462","€ 960,000","€ 989,694",F,19,Sweden,Real Sociedad,La Liga,2019-2020
17,David Zurutuza,"€ 15,385","€ 800,000","€ 824,745",M,33,Spain,Real Sociedad,La Liga,2019-2020
18,Aihen Muñoz,"€ 13,077","€ 680,000","€ 701,033",D,22,Spain,Real Sociedad,La Liga,2019-2020
19,Robin Le Normand,"€ 12,500","€ 650,000","€ 670,105",D,22,France,Real Sociedad,La Liga,2019-2020
20,Ander Guevara,"€ 11,731","€ 610,000","€ 628,868",M,22,Spain,Real Sociedad,La Liga,2019-2020
21,Andoni Gorosabel,"€ 9,615","€ 500,000","€ 515,466",D,23,Spain,Real Sociedad,La Liga,2019-2020
22,Rubén Pardo,"€ 7,692","€ 400,000","€ 412,373",M,26,Spain,Real Sociedad,La Liga,2019-2020
23,Modibo Sagnan,"€ 5,962","€ 310,000","€ 319,589",D,20,France,Real Sociedad,La Liga,2019-2020
24,Ander Barrenetxea,"€ 5,769","€ 300,000","€ 309,279",F,17,Spain,Real Sociedad,La Liga,2019-2020
25,Andoni Zubiaurre,"€ 3,077","€ 160,000","€ 164,949",K,22,Spain,Real Sociedad,La Liga,2019-2020
