,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Gonzalo Escalante,"€ 56,154","€ 2,920,000","€ 2,920,000",M,28,Argentina,Alaves,La Liga,2021-2022
2,Manu Vallejo,"€ 50,577","€ 2,630,000","€ 2,630,000",F,24,Spain,Alaves,La Liga,2021-2022
3,Fernando Pacheco,"€ 28,269","€ 1,470,000","€ 1,470,000",K,29,Spain,Alaves,La Liga,2021-2022
4,Tomás Pina,"€ 27,500","€ 1,430,000","€ 1,430,000",M,34,Spain,Alaves,La Liga,2021-2022
5,Florian Lejeune,"€ 27,500","€ 1,430,000","€ 1,430,000",D,30,France,Alaves,La Liga,2021-2022
6,Manu García,"€ 22,692","€ 1,180,000","€ 1,180,000",F,24,Spain,Alaves,La Liga,2021-2022
7,Facundo Pellistri,"€ 21,346","€ 1,110,000","€ 1,110,000",F,20,Uruguay,Alaves,La Liga,2021-2022
8,Jason,"€ 20,192","€ 1,050,000","€ 1,050,000",F,27,Spain,Alaves,La Liga,2021-2022
9,Pere Pons,"€ 20,192","€ 1,050,000","€ 1,050,000",M,28,Spain,Alaves,La Liga,2021-2022
10,Iván Martín,"€ 20,000","€ 1,040,000","€ 1,040,000",F,22,Spain,Alaves,La Liga,2021-2022
11,Matt Miazga,"€ 17,500","€ 910,000","€ 910,000",D,26,United States,Alaves,La Liga,2021-2022
12,Luis Rioja,"€ 15,769","€ 820,000","€ 820,000",F,28,Spain,Alaves,La Liga,2021-2022
13,Joselu,"€ 13,654","€ 710,000","€ 710,000",F,31,Spain,Alaves,La Liga,2021-2022
14,Víctor Laguardia,"€ 12,500","€ 650,000","€ 650,000",D,32,Spain,Alaves,La Liga,2021-2022
15,Rubén Duarte,"€ 10,962","€ 570,000","€ 570,000",D,26,Spain,Alaves,La Liga,2021-2022
16,John Guidetti,"€ 10,000","€ 520,000","€ 520,000",F,29,Sweden,Alaves,La Liga,2021-2022
17,Edgar Méndez,"€ 9,615","€ 500,000","€ 500,000",F,32,Spain,Alaves,La Liga,2021-2022
18,Mamadou Sylla,"€ 9,615","€ 500,000","€ 500,000",F,27,Senegal,Alaves,La Liga,2021-2022
19,Saúl García,"€ 8,462","€ 440,000","€ 440,000",D,27,Spain,Alaves,La Liga,2021-2022
20,Miguel de la Fuente,"€ 8,269","€ 430,000","€ 430,000",F,22,Spain,Alaves,La Liga,2021-2022
21,Mamadou Loum,"€ 7,500","€ 390,000","€ 390,000",M,25,Senegal,Alaves,La Liga,2021-2022
22,Toni Moya,"€ 7,500","€ 390,000","€ 390,000",M,23,Spain,Alaves,La Liga,2021-2022
23,Ximo Navarro,"€ 6,923","€ 360,000","€ 360,000",D,32,Spain,Alaves,La Liga,2021-2022
24,Martín Aguirregabiria,"€ 6,731","€ 350,000","€ 350,000",D,25,Spain,Alaves,La Liga,2021-2022
25,Nahuel Tenaglia,"€ 5,962","€ 310,000","€ 310,000",D,25,Argentina,Alaves,La Liga,2021-2022
26,Antonio Sivera,"€ 3,846","€ 200,000","€ 200,000",K,25,Spain,Alaves,La Liga,2021-2022
27,Javi López,"€ 3,077","€ 160,000","€ 160,000",D,19,Spain,Alaves,La Liga,2021-2022
28,Tachi,"€ 2,981","€ 155,000","€ 155,000",D,23,Spain,Alaves,La Liga,2021-2022
