,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Raúl García,"€ 160,000","€ 8,320,000","€ 8,320,000",F,35,Spain,Athletic Club,La Liga,2021-2022
2,Iñaki Williams,"€ 114,808","€ 5,970,000","€ 5,970,000",F,27,Spain,Athletic Club,La Liga,2021-2022
3,Iñigo Martínez,"€ 96,154","€ 5,000,000","€ 5,000,000",D,30,Spain,Athletic Club,La Liga,2021-2022
4,Iker Muniain,"€ 84,615","€ 4,400,000","€ 4,400,000",F,29,Spain,Athletic Club,La Liga,2021-2022
5,Unai Simón,"€ 83,654","€ 4,350,000","€ 4,350,000",K,24,Spain,Athletic Club,La Liga,2021-2022
6,Yuri Berchiche,"€ 80,769","€ 4,200,000","€ 4,200,000",D,31,Spain,Athletic Club,La Liga,2021-2022
7,Álex Berenguer,"€ 54,808","€ 2,850,000","€ 2,850,000",F,26,Spain,Athletic Club,La Liga,2021-2022
8,Dani García,"€ 53,269","€ 2,770,000","€ 2,770,000",M,31,Spain,Athletic Club,La Liga,2021-2022
9,Yeray Álvarez,"€ 49,231","€ 2,560,000","€ 2,560,000",D,27,Spain,Athletic Club,La Liga,2021-2022
10,Nico Williams,"€ 45,192","€ 2,350,000","€ 2,350,000",F,19,Spain,Athletic Club,La Liga,2021-2022
11,Unai Núñez,"€ 43,077","€ 2,240,000","€ 2,240,000",D,25,Spain,Athletic Club,La Liga,2021-2022
12,Jon Morcillo,"€ 41,154","€ 2,140,000","€ 2,140,000",F,22,Spain,Athletic Club,La Liga,2021-2022
13,Ander Capa,"€ 38,462","€ 2,000,000","€ 2,000,000",D,29,Spain,Athletic Club,La Liga,2021-2022
14,Óscar de Marcos,"€ 35,577","€ 1,850,000","€ 1,850,000",D,32,Spain,Athletic Club,La Liga,2021-2022
15,Asier Villalibre,"€ 34,038","€ 1,770,000","€ 1,770,000",F,24,Spain,Athletic Club,La Liga,2021-2022
16,Mikel Balenziaga,"€ 31,731","€ 1,650,000","€ 1,650,000",D,33,Spain,Athletic Club,La Liga,2021-2022
17,Jokin Ezkieta,"€ 30,000","€ 1,560,000","€ 1,560,000",K,25,Spain,Athletic Club,La Liga,2021-2022
18,Iñigo Lekue,"€ 29,808","€ 1,550,000","€ 1,550,000",D,28,Spain,Athletic Club,La Liga,2021-2022
19,Oier Zarraga,"€ 28,846","€ 1,500,000","€ 1,500,000",M,23,Spain,Athletic Club,La Liga,2021-2022
20,Oihan Sancet,"€ 26,923","€ 1,400,000","€ 1,400,000",F,21,Spain,Athletic Club,La Liga,2021-2022
21,Dani Vivian,"€ 22,692","€ 1,180,000","€ 1,180,000",D,22,Spain,Athletic Club,La Liga,2021-2022
22,Mikel Vesga,"€ 11,538","€ 600,000","€ 600,000",M,28,Spain,Athletic Club,La Liga,2021-2022
23,Julen Agirrezabala,"€ 11,154","€ 580,000","€ 580,000",K,21,Spain,Athletic Club,La Liga,2021-2022
24,Peru Nolaskoain,"€ 8,462","€ 440,000","€ 440,000",M,22,Spain,Athletic Club,La Liga,2021-2022
25,Álex Petxa,"€ 6,154","€ 320,000","€ 320,000",D,24,Spain,Athletic Club,La Liga,2021-2022
26,Nico Serrano,"€ 5,962","€ 310,000","€ 310,000",F,18,Spain,Athletic Club,La Liga,2021-2022
27,Unai Vencedor,"€ 4,615","€ 240,000","€ 240,000",M,21,Spain,Athletic Club,La Liga,2021-2022
