,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Florin Andone,"€ 46,731","€ 2,430,000","€ 2,430,000",F,28,Romania,Cadiz,La Liga,2021-2022
2,Oussama Idrissi,"€ 28,462","€ 1,480,000","€ 1,480,000",F,25,Morocco,Cadiz,La Liga,2021-2022
3,Álvaro Negredo,"€ 24,808","€ 1,290,000","€ 1,290,000",F,36,Spain,Cadiz,La Liga,2021-2022
4,Jeremías Ledesma,"€ 24,615","€ 1,280,000","€ 1,280,000",K,28,Argentina,Cadiz,La Liga,2021-2022
5,Juan Cala,"€ 21,154","€ 1,100,000","€ 1,100,000",D,32,Spain,Cadiz,La Liga,2021-2022
6,Lucas Pérez,"€ 20,769","€ 1,080,000","€ 1,080,000",F,33,Spain,Cadiz,La Liga,2021-2022
7,Jens Jönsson,"€ 16,154","€ 840,000","€ 840,000",M,29,Denmark,Cadiz,La Liga,2021-2022
8,Tomás Alarcón,"€ 15,962","€ 830,000","€ 830,000",M,23,Chile,Cadiz,La Liga,2021-2022
9,Rubén Alcaraz,"€ 14,808","€ 770,000","€ 770,000",M,30,Spain,Cadiz,La Liga,2021-2022
10,Rubén Sobrino,"€ 13,462","€ 700,000","€ 700,000",F,29,Spain,Cadiz,La Liga,2021-2022
11,Choco Lozano,"€ 11,923","€ 620,000","€ 620,000",F,28,Honduras,Cadiz,La Liga,2021-2022
12,Fede San Emeterio,"€ 10,577","€ 550,000","€ 550,000",M,24,Spain,Cadiz,La Liga,2021-2022
13,Fali,"€ 9,615","€ 500,000","€ 500,000",D,28,Spain,Cadiz,La Liga,2021-2022
14,Alfonso Espino,"€ 9,615","€ 500,000","€ 500,000",D,30,Uruguay,Cadiz,La Liga,2021-2022
15,Álex Fernández,"€ 9,423","€ 490,000","€ 490,000",F,29,Spain,Cadiz,La Liga,2021-2022
16,Iza Carcelén,"€ 9,231","€ 480,000","€ 480,000",D,28,Spain,Cadiz,La Liga,2021-2022
17,Iván Alejo,"€ 9,038","€ 470,000","€ 470,000",F,26,Spain,Cadiz,La Liga,2021-2022
18,Carlos Akapo,"€ 8,654","€ 450,000","€ 450,000",D,28,Equatorial Guinea,Cadiz,La Liga,2021-2022
19,Filip Malbasic,"€ 7,885","€ 410,000","€ 410,000",F,28,Serbia,Cadiz,La Liga,2021-2022
20,José Mari,"€ 7,885","€ 410,000","€ 410,000",M,34,Spain,Cadiz,La Liga,2021-2022
21,Jon Ander Garrido,"€ 7,500","€ 390,000","€ 390,000",M,31,Spain,Cadiz,La Liga,2021-2022
22,Marcos Mauro,"€ 6,538","€ 340,000","€ 340,000",D,30,Argentina,Cadiz,La Liga,2021-2022
23,David Gil,"€ 6,346","€ 330,000","€ 330,000",K,28,Spain,Cadiz,La Liga,2021-2022
24,Varazdat Haroyan,"€ 6,154","€ 320,000","€ 320,000",D,29,Armenia,Cadiz,La Liga,2021-2022
25,Álvaro Jiménez,"€ 6,154","€ 320,000","€ 320,000",F,26,Spain,Cadiz,La Liga,2021-2022
26,Salvi Sánchez,"€ 5,962","€ 310,000","€ 310,000",F,30,Spain,Cadiz,La Liga,2021-2022
27,Alberto Perea,"€ 5,577","€ 290,000","€ 290,000",F,31,Spain,Cadiz,La Liga,2021-2022
28,Santiago Arzamendia,"€ 3,846","€ 200,000","€ 200,000",D,23,Paraguay,Cadiz,La Liga,2021-2022
29,Víctor Chust,"€ 3,654","€ 190,000","€ 190,000",D,21,Spain,Cadiz,La Liga,2021-2022
30,Milutin Osmajic,"€ 3,462","€ 180,000","€ 180,000",F,22,Montenegro,Cadiz,La Liga,2021-2022
31,Martín Calderón,"€ 3,077","€ 160,000","€ 160,000",M,22,Spain,Cadiz,La Liga,2021-2022
32,Luis Hernández,"€ 2,692","€ 140,000","€ 140,000",D,32,Spain,Cadiz,La Liga,2021-2022
33,Álvaro Bastida,"€ 1,154","€ 60,000","€ 60,000",M,17,Spain,Cadiz,La Liga,2021-2022
34,Ivan Chapela,€ 769,"€ 40,000","€ 40,000",F,22,Spain,Cadiz,La Liga,2021-2022
