,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Darío Benedetto,"€ 59,615","€ 3,100,000","€ 3,100,000",F,31,Argentina,Elche,La Liga,2021-2022
2,Kiko Casilla,"€ 37,308","€ 1,940,000","€ 1,940,000",K,35,Spain,Elche,La Liga,2021-2022
3,Ezequiel Ponce,"€ 34,615","€ 1,800,000","€ 1,800,000",F,24,Argentina,Elche,La Liga,2021-2022
4,Iván Marcone,"€ 34,231","€ 1,780,000","€ 1,780,000",M,31,Argentina,Elche,La Liga,2021-2022
5,Javier Pastore,"€ 28,846","€ 1,500,000","€ 1,500,000",F,32,Argentina,Elche,La Liga,2021-2022
6,Guido Carrillo,"€ 23,654","€ 1,230,000","€ 1,230,000",F,30,Argentina,Elche,La Liga,2021-2022
7,Johan Mojica,"€ 20,192","€ 1,050,000","€ 1,050,000",D,29,Colombia,Elche,La Liga,2021-2022
8,Lucas Olaza,"€ 19,231","€ 1,000,000","€ 1,000,000",D,27,Uruguay,Elche,La Liga,2021-2022
9,Lucas Pérez,"€ 15,962","€ 830,000","€ 830,000",F,32,Spain,Elche,La Liga,2021-2022
10,Omar Mascarell,"€ 15,769","€ 820,000","€ 820,000",M,29,Spain,Elche,La Liga,2021-2022
11,Édgar Badía,"€ 12,500","€ 650,000","€ 650,000",K,29,Spain,Elche,La Liga,2021-2022
12,Fidel,"€ 11,923","€ 620,000","€ 620,000",F,32,Spain,Elche,La Liga,2021-2022
13,Raúl Guti,"€ 9,038","€ 470,000","€ 470,000",M,25,Spain,Elche,La Liga,2021-2022
14,Kike Pérez,"€ 8,077","€ 420,000","€ 420,000",M,24,Spain,Elche,La Liga,2021-2022
15,Pere Milla,"€ 6,538","€ 340,000","€ 340,000",F,29,Spain,Elche,La Liga,2021-2022
16,Pablo Piatti,"€ 6,346","€ 330,000","€ 330,000",F,32,Argentina,Elche,La Liga,2021-2022
17,Lucas Boyé,"€ 6,154","€ 320,000","€ 320,000",F,25,Argentina,Elche,La Liga,2021-2022
18,Tete Morente,"€ 5,577","€ 290,000","€ 290,000",F,25,Spain,Elche,La Liga,2021-2022
19,Gerard Gumbau,"€ 4,038","€ 210,000","€ 210,000",M,27,Spain,Elche,La Liga,2021-2022
20,Pedro Bigas,"€ 4,038","€ 210,000","€ 210,000",D,31,Spain,Elche,La Liga,2021-2022
21,Antonio Barragán,"€ 3,846","€ 200,000","€ 200,000",D,34,Spain,Elche,La Liga,2021-2022
22,Josema,"€ 3,462","€ 180,000","€ 180,000",D,25,Spain,Elche,La Liga,2021-2022
23,Gonzalo Verdú,"€ 2,981","€ 155,000","€ 155,000",D,33,Spain,Elche,La Liga,2021-2022
24,Helibelton Palacios,"€ 2,981","€ 155,000","€ 155,000",D,28,Colombia,Elche,La Liga,2021-2022
25,Josan,"€ 2,981","€ 155,000","€ 155,000",F,32,Spain,Elche,La Liga,2021-2022
26,Enzo Roco,"€ 2,981","€ 155,000","€ 155,000",D,29,Chile,Elche,La Liga,2021-2022
27,Diego González,"€ 2,981","€ 155,000","€ 155,000",D,27,Spain,Elche,La Liga,2021-2022
