,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,David López,"€ 86,538","€ 4,500,000","€ 4,500,000",M,32,Spain,Espanyol,La Liga,2021-2022
2,Raúl de Tomás,"€ 51,731","€ 2,690,000","€ 2,690,000",F,27,Spain,Espanyol,La Liga,2021-2022
3,Sergi Darder,"€ 44,038","€ 2,290,000","€ 2,290,000",M,28,Spain,Espanyol,La Liga,2021-2022
4,Diego López,"€ 43,269","€ 2,250,000","€ 2,250,000",K,40,Spain,Espanyol,La Liga,2021-2022
5,Leandro Cabrera,"€ 28,462","€ 1,480,000","€ 1,480,000",D,30,Uruguay,Espanyol,La Liga,2021-2022
6,Manu Morlanes,"€ 25,192","€ 1,310,000","€ 1,310,000",M,23,Spain,Espanyol,La Liga,2021-2022
7,Lei Wu,"€ 25,192","€ 1,310,000","€ 1,310,000",F,30,China,Espanyol,La Liga,2021-2022
8,Landry Dimata,"€ 22,692","€ 1,180,000","€ 1,180,000",F,24,Belgium,Espanyol,La Liga,2021-2022
9,Dídac Vilà,"€ 19,423","€ 1,010,000","€ 1,010,000",D,32,Spain,Espanyol,La Liga,2021-2022
10,Fernando Calero,"€ 19,038","€ 990,000","€ 990,000",D,26,Spain,Espanyol,La Liga,2021-2022
11,Oier Olazábal,"€ 19,038","€ 990,000","€ 990,000",K,32,Spain,Espanyol,La Liga,2021-2022
12,Adrià Pedrosa,"€ 18,462","€ 960,000","€ 960,000",D,23,Spain,Espanyol,La Liga,2021-2022
13,Loren Morón,"€ 15,577","€ 810,000","€ 810,000",F,28,Spain,Espanyol,La Liga,2021-2022
14,Fran Mérida,"€ 15,192","€ 790,000","€ 790,000",M,31,Spain,Espanyol,La Liga,2021-2022
15,Tonny Vilhena,"€ 14,423","€ 750,000","€ 750,000",M,27,Netherlands,Espanyol,La Liga,2021-2022
16,Yangel Herrera,"€ 13,846","€ 720,000","€ 720,000",M,24,Venezuela,Espanyol,La Liga,2021-2022
17,Keidi Bare,"€ 13,462","€ 700,000","€ 700,000",M,24,Albania,Espanyol,La Liga,2021-2022
18,Adrián Embarba,"€ 12,692","€ 660,000","€ 660,000",F,29,Spain,Espanyol,La Liga,2021-2022
19,Sergi Gómez,"€ 12,500","€ 650,000","€ 650,000",D,29,Spain,Espanyol,La Liga,2021-2022
20,Óscar Melendo,"€ 12,500","€ 650,000","€ 650,000",F,24,Spain,Espanyol,La Liga,2021-2022
21,Álvaro Vadillo,"€ 11,923","€ 620,000","€ 620,000",F,26,Spain,Espanyol,La Liga,2021-2022
22,Óscar Gil,"€ 10,000","€ 520,000","€ 520,000",D,23,Spain,Espanyol,La Liga,2021-2022
23,Javi Puado,"€ 9,615","€ 500,000","€ 500,000",F,23,Spain,Espanyol,La Liga,2021-2022
24,Nico Melamed,"€ 8,846","€ 460,000","€ 460,000",F,20,Spain,Espanyol,La Liga,2021-2022
25,Miguelón,"€ 6,731","€ 350,000","€ 350,000",D,26,Spain,Espanyol,La Liga,2021-2022
26,Aleix Vidal,"€ 4,231","€ 220,000","€ 220,000",D,32,Spain,Espanyol,La Liga,2021-2022
27,Joan García,"€ 3,846","€ 200,000","€ 200,000",K,20,Spain,Espanyol,La Liga,2021-2022
