,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,José Luis Morales,"€ 35,385","€ 1,840,000","€ 1,840,000",F,34,Spain,Levante,La Liga,2021-2022
2,José Campaña,"€ 30,769","€ 1,600,000","€ 1,600,000",M,28,Spain,Levante,La Liga,2021-2022
3,Shkodran Mustafi,"€ 23,077","€ 1,200,000","€ 1,200,000",D,29,Germany,Levante,La Liga,2021-2022
4,Roger Martí,"€ 22,500","€ 1,170,000","€ 1,170,000",F,31,Spain,Levante,La Liga,2021-2022
5,Aitor Fernández,"€ 20,769","€ 1,080,000","€ 1,080,000",K,30,Spain,Levante,La Liga,2021-2022
6,Enis Bardhi,"€ 19,615","€ 1,020,000","€ 1,020,000",F,26,North Macedonia,Levante,La Liga,2021-2022
7,Nikola Vukcevic,"€ 18,462","€ 960,000","€ 960,000",M,30,Montenegro,Levante,La Liga,2021-2022
8,Rúben Vezo,"€ 14,423","€ 750,000","€ 750,000",D,27,Portugal,Levante,La Liga,2021-2022
9,Martín Cáceres,"€ 14,423","€ 750,000","€ 750,000",D,34,Uruguay,Levante,La Liga,2021-2022
10,Roberto Soldado,"€ 13,654","€ 710,000","€ 710,000",F,36,Spain,Levante,La Liga,2021-2022
11,Coke,"€ 13,077","€ 680,000","€ 680,000",D,34,Spain,Levante,La Liga,2021-2022
12,Nemanja Radoja,"€ 13,077","€ 680,000","€ 680,000",M,28,Serbia,Levante,La Liga,2021-2022
13,Dani Gómez,"€ 12,500","€ 650,000","€ 650,000",F,23,Spain,Levante,La Liga,2021-2022
14,Enric Franquesa,"€ 11,538","€ 600,000","€ 600,000",D,24,Spain,Levante,La Liga,2021-2022
15,Hernâni,"€ 11,346","€ 590,000","€ 590,000",F,30,Portugal,Levante,La Liga,2021-2022
16,Gonzalo Melero,"€ 10,385","€ 540,000","€ 540,000",M,28,Spain,Levante,La Liga,2021-2022
17,Mickaël Malsa,"€ 10,192","€ 530,000","€ 530,000",M,26,Martinique,Levante,La Liga,2021-2022
18,Pablo Martínez,"€ 9,615","€ 500,000","€ 500,000",M,23,Spain,Levante,La Liga,2021-2022
19,Carlos Clerc,"€ 9,615","€ 500,000","€ 500,000",D,29,Spain,Levante,La Liga,2021-2022
20,Óscar Duarte,"€ 8,654","€ 450,000","€ 450,000",D,32,Costa Rica,Levante,La Liga,2021-2022
21,Sergio Postigo,"€ 8,462","€ 440,000","€ 440,000",D,33,Spain,Levante,La Liga,2021-2022
22,Jorge de Frutos,"€ 8,077","€ 420,000","€ 420,000",F,24,Spain,Levante,La Liga,2021-2022
23,Son,"€ 6,923","€ 360,000","€ 360,000",D,27,Spain,Levante,La Liga,2021-2022
24,Jorge Miramón,"€ 6,154","€ 320,000","€ 320,000",D,32,Spain,Levante,La Liga,2021-2022
25,Alejandro Cantero,"€ 6,154","€ 320,000","€ 320,000",F,21,Spain,Levante,La Liga,2021-2022
26,Rober Pier,"€ 5,769","€ 300,000","€ 300,000",D,26,Spain,Levante,La Liga,2021-2022
27,Dani Cárdenas,"€ 3,846","€ 200,000","€ 200,000",K,24,Spain,Levante,La Liga,2021-2022
28,Pepelu,"€ 3,269","€ 170,000","€ 170,000",M,23,Spain,Levante,La Liga,2021-2022
29,Álex Blesa,"€ 2,981","€ 155,000","€ 155,000",M,19,Spain,Levante,La Liga,2021-2022
30,Marc Pubill,"€ 2,885","€ 150,000","€ 150,000",D,18,Spain,Levante,La Liga,2021-2022
