,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Vedat Muriqi,"€ 88,077","€ 4,580,000","€ 4,580,000",F,27,Kosovo,Mallorca,La Liga,2021-2022
2,Sergio Rico,"€ 39,423","€ 2,050,000","€ 2,050,000",K,28,Spain,Mallorca,La Liga,2021-2022
3,Rodrigo Battaglia,"€ 26,538","€ 1,380,000","€ 1,380,000",M,30,Argentina,Mallorca,La Liga,2021-2022
4,Takefusa Kubo,"€ 19,231","€ 1,000,000","€ 1,000,000",F,20,Japan,Mallorca,La Liga,2021-2022
5,Pablo Maffeo,"€ 18,846","€ 980,000","€ 980,000",D,24,Spain,Mallorca,La Liga,2021-2022
6,Iddrisu Baba,"€ 15,769","€ 820,000","€ 820,000",M,26,Ghana,Mallorca,La Liga,2021-2022
7,Giovanni González,"€ 15,385","€ 800,000","€ 800,000",D,27,Uruguay,Mallorca,La Liga,2021-2022
8,Antonio Raíllo,"€ 15,000","€ 780,000","€ 780,000",D,30,Spain,Mallorca,La Liga,2021-2022
9,Aleix Febas,"€ 14,615","€ 760,000","€ 760,000",M,25,Spain,Mallorca,La Liga,2021-2022
10,Martin Valjent,"€ 13,462","€ 700,000","€ 700,000",D,26,Slovakia,Mallorca,La Liga,2021-2022
11,Iñigo Ruiz de Galarreta,"€ 12,692","€ 660,000","€ 660,000",M,28,Spain,Mallorca,La Liga,2021-2022
12,Franco Russo,"€ 12,500","€ 650,000","€ 650,000",D,27,Argentina,Mallorca,La Liga,2021-2022
13,Joan Sastre,"€ 10,769","€ 560,000","€ 560,000",D,24,Spain,Mallorca,La Liga,2021-2022
14,Salva Sevilla,"€ 10,192","€ 530,000","€ 530,000",M,37,Spain,Mallorca,La Liga,2021-2022
15,Aleksandar Sedlar,"€ 9,231","€ 480,000","€ 480,000",D,30,Serbia,Mallorca,La Liga,2021-2022
16,Lago Júnior,"€ 8,654","€ 450,000","€ 450,000",F,30,Cote d'Ivoire,Mallorca,La Liga,2021-2022
17,Brian Oliván,"€ 8,462","€ 440,000","€ 440,000",D,27,Spain,Mallorca,La Liga,2021-2022
18,Dani Rodríguez,"€ 8,462","€ 440,000","€ 440,000",F,33,Spain,Mallorca,La Liga,2021-2022
19,Amath Ndiaye,"€ 8,077","€ 420,000","€ 420,000",F,25,Senegal,Mallorca,La Liga,2021-2022
20,Antonio Sánchez,"€ 7,500","€ 390,000","€ 390,000",M,24,Spain,Mallorca,La Liga,2021-2022
21,Jordi Mboula,"€ 7,308","€ 380,000","€ 380,000",F,22,Spain,Mallorca,La Liga,2021-2022
22,Ángel Rodríguez,"€ 6,538","€ 340,000","€ 340,000",F,34,Spain,Mallorca,La Liga,2021-2022
23,Jaume Costa,"€ 6,346","€ 330,000","€ 330,000",D,33,Spain,Mallorca,La Liga,2021-2022
24,Dominik Greif,"€ 5,769","€ 300,000","€ 300,000",K,24,Slovakia,Mallorca,La Liga,2021-2022
25,Kang-in Lee,"€ 4,808","€ 250,000","€ 250,000",F,20,South Korea,Mallorca,La Liga,2021-2022
26,Abdón Prats,"€ 4,423","€ 230,000","€ 230,000",F,29,Spain,Mallorca,La Liga,2021-2022
27,Fer Niño,"€ 4,231","€ 220,000","€ 220,000",F,21,Spain,Mallorca,La Liga,2021-2022
28,Manolo Reina,"€ 3,077","€ 160,000","€ 160,000",K,36,Spain,Mallorca,La Liga,2021-2022
29,Leo Román,"€ 2,981","€ 155,000","€ 155,000",K,21,Spain,Mallorca,La Liga,2021-2022
30,Matthew Hoppe,"€ 2,981","€ 155,000","€ 155,000",F,20,United States,Mallorca,La Liga,2021-2022
