,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Falcao,"€ 23,077","€ 1,200,000","€ 1,200,000",F,35,Colombia,Rayo Vallecano,La Liga,2021-2022
2,Álvaro García,"€ 15,385","€ 800,000","€ 800,000",F,29,Spain,Rayo Vallecano,La Liga,2021-2022
3,Stole Dimitrievski,"€ 13,462","€ 700,000","€ 700,000",K,28,North Macedonia,Rayo Vallecano,La Liga,2021-2022
4,Esteban Saveljich,"€ 11,923","€ 620,000","€ 620,000",D,30,Montenegro,Rayo Vallecano,La Liga,2021-2022
5,José Pozo,"€ 11,538","€ 600,000","€ 600,000",F,25,Spain,Rayo Vallecano,La Liga,2021-2022
6,Unai López,"€ 11,346","€ 590,000","€ 590,000",M,26,Spain,Rayo Vallecano,La Liga,2021-2022
7,Mario Suárez,"€ 10,962","€ 570,000","€ 570,000",D,34,Spain,Rayo Vallecano,La Liga,2021-2022
8,Santi Comesaña,"€ 10,000","€ 520,000","€ 520,000",M,25,Spain,Rayo Vallecano,La Liga,2021-2022
9,Mamadou Sylla,"€ 9,615","€ 500,000","€ 500,000",F,27,Senegal,Rayo Vallecano,La Liga,2021-2022
10,Martín Merquelanz,"€ 9,615","€ 500,000","€ 500,000",F,26,Spain,Rayo Vallecano,La Liga,2021-2022
11,Alejandro Catena,"€ 8,462","€ 440,000","€ 440,000",D,27,Spain,Rayo Vallecano,La Liga,2021-2022
12,Sergi Guardiola,"€ 7,500","€ 390,000","€ 390,000",F,30,Spain,Rayo Vallecano,La Liga,2021-2022
13,Óscar Trejo,"€ 6,731","€ 350,000","€ 350,000",F,33,Argentina,Rayo Vallecano,La Liga,2021-2022
14,Kévin Rodrigues,"€ 6,538","€ 340,000","€ 340,000",D,27,Portugal,Rayo Vallecano,La Liga,2021-2022
15,Pathé Ciss,"€ 6,538","€ 340,000","€ 340,000",M,27,Senegal,Rayo Vallecano,La Liga,2021-2022
16,Iván Balliu,"€ 6,346","€ 330,000","€ 330,000",D,30,Albania,Rayo Vallecano,La Liga,2021-2022
17,Nikola Maras,"€ 5,769","€ 300,000","€ 300,000",D,26,Serbia,Rayo Vallecano,La Liga,2021-2022
18,Bebé,"€ 5,385","€ 280,000","€ 280,000",F,31,Portugal,Rayo Vallecano,La Liga,2021-2022
19,Óscar Valentín,"€ 4,423","€ 230,000","€ 230,000",M,27,Spain,Rayo Vallecano,La Liga,2021-2022
20,Randy Nteka,"€ 4,423","€ 230,000","€ 230,000",F,24,France,Rayo Vallecano,La Liga,2021-2022
21,Isi Palazón,"€ 3,269","€ 170,000","€ 170,000",F,27,Spain,Rayo Vallecano,La Liga,2021-2022
22,Fran García,"€ 3,269","€ 170,000","€ 170,000",D,22,Spain,Rayo Vallecano,La Liga,2021-2022
23,Mario Hernández,"€ 3,077","€ 160,000","€ 160,000",D,23,Spain,Rayo Vallecano,La Liga,2021-2022
24,Andrés Martín,"€ 3,077","€ 160,000","€ 160,000",F,22,Spain,Rayo Vallecano,La Liga,2021-2022
25,Sergio Moreno,"€ 2,981","€ 155,000","€ 155,000",F,22,Spain,Rayo Vallecano,La Liga,2021-2022
26,Luca Zidane,"€ 2,981","€ 155,000","€ 155,000",K,23,France,Rayo Vallecano,La Liga,2021-2022
27,Yacine Qasmi,"€ 2,981","€ 155,000","€ 155,000",F,30,Morocco,Rayo Vallecano,La Liga,2021-2022
