,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Kévin Bérigaud,"€ 13,269","€ 690,000","€ 725,670",F,28,France,Angers,Ligue 1,2016-2017
2,Thomas Mangani,"€ 10,096","€ 525,000","€ 552,140",M,29,France,Angers,Ligue 1,2016-2017
3,Famara Diédhiou,"€ 10,096","€ 525,000","€ 552,140",F,23,Senegal,Angers,Ligue 1,2016-2017
4,Karl Toko Ekambi,"€ 10,096","€ 525,000","€ 552,140",F,23,Cameroon,Angers,Ligue 1,2016-2017
5,Jamel Saihi,"€ 9,904","€ 515,000","€ 541,623",M,29,Tunisia,Angers,Ligue 1,2016-2017
6,Romain Thomas,"€ 8,692","€ 452,000","€ 475,367",D,28,France,Angers,Ligue 1,2016-2017
7,Pablo Martinez,"€ 8,615","€ 448,000","€ 471,160",D,27,France,Angers,Ligue 1,2016-2017
8,Yoann Andreu,"€ 7,577","€ 394,000","€ 414,368",D,27,France,Angers,Ligue 1,2016-2017
9,Gilles Sunu,"€ 7,577","€ 394,000","€ 414,368",F,25,Togo,Angers,Ligue 1,2016-2017
10,Ismaël Traoré,"€ 7,577","€ 394,000","€ 414,368",D,29,Cote d'Ivoire,Angers,Ligue 1,2016-2017
11,Pierrick Capelle,"€ 7,577","€ 394,000","€ 414,368",M,29,France,Angers,Ligue 1,2016-2017
12,Vincent Manceau,"€ 7,577","€ 394,000","€ 414,368",D,26,France,Angers,Ligue 1,2016-2017
13,Flavien Tait,"€ 7,519","€ 391,000","€ 411,213",F,23,France,Angers,Ligue 1,2016-2017
14,Nicolas Pépé,"€ 7,481","€ 389,000","€ 409,110",F,21,Cote d'Ivoire,Angers,Ligue 1,2016-2017
15,Abdoulaye Bamba,"€ 7,462","€ 388,000","€ 408,058",D,26,Cote d'Ivoire,Angers,Ligue 1,2016-2017
16,Denis Petric,"€ 7,423","€ 386,000","€ 405,955",K,28,Serbia,Angers,Ligue 1,2016-2017
17,Mathieu Michel,"€ 7,346","€ 382,000","€ 401,748",K,24,France,Angers,Ligue 1,2016-2017
18,Mateo Pavlovic,"€ 7,250","€ 377,000","€ 396,489",D,26,Croatia,Angers,Ligue 1,2016-2017
19,Grégory Bourillon,"€ 6,462","€ 336,000","€ 353,370",D,32,France,Angers,Ligue 1,2016-2017
20,Mathias Serin,"€ 6,058","€ 315,000","€ 331,284",M,24,France,Angers,Ligue 1,2016-2017
21,Issa Cissokho,"€ 6,019","€ 313,000","€ 329,181",D,31,Senegal,Angers,Ligue 1,2016-2017
22,Dickson Nwakaeme,"€ 5,635","€ 293,000","€ 308,147",F,30,Nigeria,Angers,Ligue 1,2016-2017
23,Jonathan Bamba,"€ 3,962","€ 206,000","€ 216,649",F,20,France,Angers,Ligue 1,2016-2017
24,Alexandre Letellier,"€ 3,077","€ 160,000","€ 168,271",K,25,France,Angers,Ligue 1,2016-2017
25,Ronan Touzet,"€ 1,231","€ 64,000","€ 67,309",D,18,France,Angers,Ligue 1,2016-2017
26,Mehdi Tahrat,€ 0,€ 0,€ 0,D,26,Algeria,Angers,Ligue 1,2016-2017
27,Anthony Mandrea,€ 0,€ 0,€ 0,K,19,France,Angers,Ligue 1,2016-2017
28,Yoane Wissa,€ 0,€ 0,€ 0,M,19,France,Angers,Ligue 1,2016-2017
29,Goran Karanovic,€ 0,€ 0,€ 0,F,28,Switzerland,Angers,Ligue 1,2016-2017
30,Férébory Doré,€ 0,€ 0,€ 0,F,27,Congo,Angers,Ligue 1,2016-2017
31,Kalifa Traoré,€ 0,€ 0,€ 0,D,25,Mali,Angers,Ligue 1,2016-2017
32,Aïssa Laïdouni,€ 0,€ 0,€ 0,M,19,France,Angers,Ligue 1,2016-2017
33,Billy Ketkeophomphone,€ 0,€ 0,€ 0,M,26,France,Angers,Ligue 1,2016-2017
34,Baptiste Santamaría,€ 0,€ 0,€ 0,M,21,France,Angers,Ligue 1,2016-2017
35,Gabriel Mutombo,€ 0,€ 0,€ 0,D,20,France,Angers,Ligue 1,2016-2017
36,Cheikh N'Doye,€ 0,€ 0,€ 0,M,30,Senegal,Angers,Ligue 1,2016-2017
