,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Abdelhamid El Kaoutari,"€ 17,750","€ 923,000","€ 970,715",D,26,Morocco,Bastia,Ligue 1,2016-2017
2,Pierre Bengtsson,"€ 15,231","€ 792,000","€ 832,943",D,28,Sweden,Bastia,Ligue 1,2016-2017
3,Sébastien Squillaci,"€ 15,231","€ 792,000","€ 832,943",D,35,France,Bastia,Ligue 1,2016-2017
4,Allan Saint-Maximin,"€ 13,269","€ 690,000","€ 725,670",F,19,France,Bastia,Ligue 1,2016-2017
5,Prince Oniangué,"€ 11,115","€ 578,000","€ 607,880",M,27,Congo,Bastia,Ligue 1,2016-2017
6,Lenny Nangis,"€ 10,904","€ 567,000","€ 596,312",F,22,Guadeloupe,Bastia,Ligue 1,2016-2017
7,Lindsay Rose,"€ 10,442","€ 543,000","€ 571,071",D,24,Mauritius,Bastia,Ligue 1,2016-2017
8,Florian Marange,"€ 10,096","€ 525,000","€ 552,140",D,30,France,Bastia,Ligue 1,2016-2017
9,Mathieu Peybernes,"€ 9,904","€ 515,000","€ 541,623",D,25,France,Bastia,Ligue 1,2016-2017
10,Yannick Cahuzac,"€ 9,788","€ 509,000","€ 535,313",M,31,France,Bastia,Ligue 1,2016-2017
11,Florian Raspentino,"€ 9,750","€ 507,000","€ 533,210",F,27,France,Bastia,Ligue 1,2016-2017
12,Farid Boulaya,"€ 8,769","€ 456,000","€ 479,573",F,23,Algeria,Bastia,Ligue 1,2016-2017
13,Sadio Diallo,"€ 8,692","€ 452,000","€ 475,367",M,25,Guinea,Bastia,Ligue 1,2016-2017
14,Axel Ngando,"€ 8,519","€ 443,000","€ 465,901",M,22,France,Bastia,Ligue 1,2016-2017
15,Mehdi Mostefa,"€ 8,019","€ 417,000","€ 438,557",M,32,Algeria,Bastia,Ligue 1,2016-2017
16,Enzo Crivelli,"€ 7,692","€ 400,000","€ 420,678",F,21,France,Bastia,Ligue 1,2016-2017
17,Gilles Cioni,"€ 7,635","€ 397,000","€ 417,523",D,32,France,Bastia,Ligue 1,2016-2017
18,Gaël Danic,"€ 7,615","€ 396,000","€ 416,472",F,34,France,Bastia,Ligue 1,2016-2017
19,Jean-Louis Leca,"€ 6,654","€ 346,000","€ 363,887",K,30,France,Bastia,Ligue 1,2016-2017
20,Nicolas Saint-Ruf,"€ 6,250","€ 325,000","€ 341,801",D,23,France,Bastia,Ligue 1,2016-2017
21,Alexander Djiku,"€ 5,750","€ 299,000","€ 314,457",D,21,France,Bastia,Ligue 1,2016-2017
22,Abdoulaye Keita,"€ 4,769","€ 248,000","€ 260,821",M,22,Mali,Bastia,Ligue 1,2016-2017
23,Lassana Coulibaly,"€ 4,750","€ 247,000","€ 259,769",M,20,Mali,Bastia,Ligue 1,2016-2017
24,Alexis Thébaux,"€ 4,519","€ 235,000","€ 247,149",K,31,France,Bastia,Ligue 1,2016-2017
25,Thomas Vincensini,"€ 3,462","€ 180,000","€ 189,305",K,22,France,Bastia,Ligue 1,2016-2017
26,Geoffrey Acheampong,"€ 3,327","€ 173,000","€ 181,943",M,19,Ghana,Bastia,Ligue 1,2016-2017
27,Julien Benhaim,"€ 1,692","€ 88,000","€ 92,549",D,19,France,Bastia,Ligue 1,2016-2017
28,Lucas Triki,"€ 1,192","€ 62,000","€ 65,205",D,18,Morocco,Bastia,Ligue 1,2016-2017
29,Fodé Camara,"€ 1,096","€ 57,000","€ 59,947",D,18,Guinea,Bastia,Ligue 1,2016-2017
30,Sami Ben Amar,€ 288,"€ 15,000","€ 15,775",F,18,Morocco,Bastia,Ligue 1,2016-2017
31,Hugo Magnetti,€ 96,"€ 5,000","€ 5,258",M,18,France,Bastia,Ligue 1,2016-2017
32,Julien Romain,€ 0,€ 0,€ 0,F,20,France,Bastia,Ligue 1,2016-2017
33,Lyes Houri,€ 0,€ 0,€ 0,M,20,France,Bastia,Ligue 1,2016-2017
34,Jerson Cabral,€ 0,€ 0,€ 0,F,25,Cape Verde,Bastia,Ligue 1,2016-2017
35,Thievy Bifouma,€ 0,€ 0,€ 0,F,24,Congo,Bastia,Ligue 1,2016-2017
36,Ismaël Diallo,€ 0,€ 0,€ 0,D,19,Cote d'Ivoire,Bastia,Ligue 1,2016-2017
37,Paul Charruau,€ 0,€ 0,€ 0,K,22,France,Bastia,Ligue 1,2016-2017
