,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Cheick Diabaté,"€ 16,250","€ 845,000","€ 888,683",F,28,Mali,Metz,Ligue 1,2016-2017
2,Fallou Diagne,"€ 14,346","€ 746,000","€ 784,565",D,26,Senegal,Metz,Ligue 1,2016-2017
3,Milan Bisevac,"€ 13,038","€ 678,000","€ 713,050",D,32,Serbia,Metz,Ligue 1,2016-2017
4,Renaud Cohade,"€ 10,885","€ 566,000","€ 595,260",M,31,France,Metz,Ligue 1,2016-2017
5,Georges Mandjeck,"€ 10,096","€ 525,000","€ 552,140",M,27,Cameroon,Metz,Ligue 1,2016-2017
6,Yann Jouffre,"€ 8,692","€ 452,000","€ 475,367",M,31,France,Metz,Ligue 1,2016-2017
7,Simon Falette,"€ 8,692","€ 452,000","€ 475,367",D,24,Guinea,Metz,Ligue 1,2016-2017
8,Cheick Doukouré,"€ 8,692","€ 452,000","€ 475,367",M,23,Cote d'Ivoire,Metz,Ligue 1,2016-2017
9,Benoît Assou-Ekotto,"€ 8,692","€ 452,000","€ 475,367",D,32,Cameroon,Metz,Ligue 1,2016-2017
10,Franck Signorino,"€ 8,615","€ 448,000","€ 471,160",D,34,France,Metz,Ligue 1,2016-2017
11,Eiji Kawashima,"€ 8,135","€ 423,000","€ 444,867",K,33,Japan,Metz,Ligue 1,2016-2017
12,Opa Nguette,"€ 6,462","€ 336,000","€ 353,370",F,21,Senegal,Metz,Ligue 1,2016-2017
13,Jonathan Rivierez,"€ 6,308","€ 328,000","€ 344,956",D,27,France,Metz,Ligue 1,2016-2017
14,Florent Mollet,"€ 6,115","€ 318,000","€ 334,439",M,24,France,Metz,Ligue 1,2016-2017
15,Thomas Didillon,"€ 6,115","€ 318,000","€ 334,439",K,20,France,Metz,Ligue 1,2016-2017
16,Iván Balliu,"€ 5,269","€ 274,000","€ 288,165",D,24,Albania,Metz,Ligue 1,2016-2017
17,David Oberhauser,"€ 3,788","€ 197,000","€ 207,184",K,25,France,Metz,Ligue 1,2016-2017
18,Chris Philipps,"€ 3,327","€ 173,000","€ 181,943",M,22,Luxembourg,Metz,Ligue 1,2016-2017
19,Ismaïla Sarr,"€ 3,096","€ 161,000","€ 169,323",F,18,Senegal,Metz,Ligue 1,2016-2017
20,Matthieu Udol,"€ 2,212","€ 115,000","€ 120,945",D,20,France,Metz,Ligue 1,2016-2017
21,Moussa Seydi,"€ 1,692","€ 88,000","€ 92,549",F,19,Senegal,Metz,Ligue 1,2016-2017
22,Thibaut Vion,"€ 1,442","€ 75,000","€ 78,877",D,22,France,Metz,Ligue 1,2016-2017
23,Boris Mathis,"€ 1,231","€ 64,000","€ 67,309",F,18,France,Metz,Ligue 1,2016-2017
24,Lemouya Goudiaby,"€ 1,173","€ 61,000","€ 64,153",D,19,Senegal,Metz,Ligue 1,2016-2017
25,Vahid Selimovic,"€ 1,096","€ 57,000","€ 59,947",D,19,Luxembourg,Metz,Ligue 1,2016-2017
26,Gauthier Hein,€ 962,"€ 50,000","€ 52,585",F,19,France,Metz,Ligue 1,2016-2017
27,Youssef Maziz,€ 769,"€ 40,000","€ 42,068",M,18,France,Metz,Ligue 1,2016-2017
28,Nicolas Basin,€ 692,"€ 36,000","€ 37,861",D,17,France,Metz,Ligue 1,2016-2017
29,Vincent Thill,€ 615,"€ 32,000","€ 33,654",M,16,Luxembourg,Metz,Ligue 1,2016-2017
30,Kevin Lejeune,€ 0,€ 0,€ 0,M,31,France,Metz,Ligue 1,2016-2017
31,Guido Milán,€ 0,€ 0,€ 0,D,28,Argentina,Metz,Ligue 1,2016-2017
32,Habib Diallo,€ 0,€ 0,€ 0,F,21,Senegal,Metz,Ligue 1,2016-2017
33,Hamza Sakhi,€ 0,€ 0,€ 0,M,20,Morocco,Metz,Ligue 1,2016-2017
34,Alexis Larriere,€ 0,€ 0,€ 0,M,19,France,Metz,Ligue 1,2016-2017
35,Lucas Toussaint,€ 0,€ 0,€ 0,M,20,France,Metz,Ligue 1,2016-2017
36,Médéric Deher,€ 0,€ 0,€ 0,D,21,France,Metz,Ligue 1,2016-2017
37,Mevlüt Erdinc,€ 0,€ 0,€ 0,F,29,Turkey,Metz,Ligue 1,2016-2017
38,Oumar Gonzalez,€ 0,€ 0,€ 0,D,18,France,Metz,Ligue 1,2016-2017
39,Théodore Efouba Ayissi,€ 0,€ 0,€ 0,D,19,Cameroon,Metz,Ligue 1,2016-2017
