,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Youssef Aït Bennasser,"€ 11,250","€ 585,000","€ 615,242",M,19,Morocco,Nancy,Ligue 1,2016-2017
2,Issiar Dia,"€ 11,000","€ 572,000","€ 601,570",F,29,Senegal,Nancy,Ligue 1,2016-2017
3,Youssouf Hadji,"€ 11,000","€ 572,000","€ 601,570",F,36,Morocco,Nancy,Ligue 1,2016-2017
4,Christophe Mandanne,"€ 8,808","€ 458,000","€ 481,677",F,31,France,Nancy,Ligue 1,2016-2017
5,Anthony Koura,"€ 8,808","€ 458,000","€ 481,677",F,23,Burkina Faso,Nancy,Ligue 1,2016-2017
6,Loïc Puyo,"€ 8,462","€ 440,000","€ 462,746",M,27,France,Nancy,Ligue 1,2016-2017
7,Joffrey Cuffaut,"€ 7,673","€ 399,000","€ 419,627",D,28,France,Nancy,Ligue 1,2016-2017
8,Serge N'Guessan,"€ 7,538","€ 392,000","€ 412,265",M,21,Cote d'Ivoire,Nancy,Ligue 1,2016-2017
9,Erick Cabaco,"€ 6,596","€ 343,000","€ 360,732",D,21,Uruguay,Nancy,Ligue 1,2016-2017
10,Vincent Muratori,"€ 6,385","€ 332,000","€ 349,163",D,28,France,Nancy,Ligue 1,2016-2017
11,Sergey Chernik,"€ 6,327","€ 329,000","€ 346,008",K,27,Belarus,Nancy,Ligue 1,2016-2017
12,Alexis Busin,"€ 5,846","€ 304,000","€ 319,716",F,20,France,Nancy,Ligue 1,2016-2017
13,Alou Diarra,"€ 5,500","€ 286,000","€ 300,785",M,34,France,Nancy,Ligue 1,2016-2017
14,Karim Coulibaly,"€ 4,904","€ 255,000","€ 268,182",F,23,France,Nancy,Ligue 1,2016-2017
15,Modou Diagne,"€ 4,808","€ 250,000","€ 262,924",D,22,Senegal,Nancy,Ligue 1,2016-2017
16,Tobias Badila,"€ 4,788","€ 249,000","€ 261,872",D,23,Congo,Nancy,Ligue 1,2016-2017
17,Vincent Marchetti,"€ 4,423","€ 230,000","€ 241,890",M,18,France,Nancy,Ligue 1,2016-2017
18,Benoît Pedretti,"€ 4,404","€ 229,000","€ 240,838",M,35,France,Nancy,Ligue 1,2016-2017
19,Yann Mabella,"€ 3,615","€ 188,000","€ 197,719",F,20,France,Nancy,Ligue 1,2016-2017
20,Faitout Maouassa,"€ 2,308","€ 120,000","€ 126,204",D,17,France,Nancy,Ligue 1,2016-2017
21,Amine Bassi,"€ 1,404","€ 73,000","€ 76,774",M,18,Morocco,Nancy,Ligue 1,2016-2017
22,Alexandre Menay,"€ 1,058","€ 55,000","€ 57,843",K,19,France,Nancy,Ligue 1,2016-2017
23,Ryan Bidounga,€ 923,"€ 48,000","€ 50,481",D,19,France,Nancy,Ligue 1,2016-2017
24,Mickaël Chrétien Basser,€ 0,€ 0,€ 0,D,31,Morocco,Nancy,Ligue 1,2016-2017
25,Maurice Dalé,€ 0,€ 0,€ 0,F,30,France,Nancy,Ligue 1,2016-2017
26,Julien Cetout,€ 0,€ 0,€ 0,D,28,France,Nancy,Ligue 1,2016-2017
27,Guy Ndy Assembé,€ 0,€ 0,€ 0,K,30,Cameroon,Nancy,Ligue 1,2016-2017
28,Diallo Guidileye,€ 0,€ 0,€ 0,M,26,Mauritania,Nancy,Ligue 1,2016-2017
29,Clément Lenglet,€ 0,€ 0,€ 0,D,21,France,Nancy,Ligue 1,2016-2017
30,Anthony Robic,€ 0,€ 0,€ 0,F,30,France,Nancy,Ligue 1,2016-2017
