,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Sylvain Armand,"€ 22,481","€ 1,169,000","€ 1,229,433",D,35,France,Rennes,Ligue 1,2016-2017
2,Benoît Costil,"€ 20,269","€ 1,054,000","€ 1,108,488",K,28,France,Rennes,Ligue 1,2016-2017
3,Yoann Gourcuff,"€ 16,885","€ 878,000","€ 923,389",M,29,France,Rennes,Ligue 1,2016-2017
4,Benjamin André,"€ 16,269","€ 846,000","€ 889,735",M,25,France,Rennes,Ligue 1,2016-2017
5,Gelson Fernandes,"€ 15,231","€ 792,000","€ 832,943",M,29,Switzerland,Rennes,Ligue 1,2016-2017
6,Morgan Amalfitano,"€ 15,231","€ 792,000","€ 832,943",F,31,France,Rennes,Ligue 1,2016-2017
7,Clément Chantôme,"€ 15,231","€ 792,000","€ 832,943",M,28,France,Rennes,Ligue 1,2016-2017
8,Ludovic Baal,"€ 14,135","€ 735,000","€ 772,997",D,30,French Guiana,Rennes,Ligue 1,2016-2017
9,Romain Danzé,"€ 13,038","€ 678,000","€ 713,050",D,29,France,Rennes,Ligue 1,2016-2017
10,Pedro Mendes,"€ 13,038","€ 678,000","€ 713,050",D,25,Portugal,Rennes,Ligue 1,2016-2017
11,Giovanni Sio,"€ 12,000","€ 624,000","€ 656,258",F,27,Cote d'Ivoire,Rennes,Ligue 1,2016-2017
12,Afonso Figueiredo,"€ 9,558","€ 497,000","€ 522,693",D,23,Portugal,Rennes,Ligue 1,2016-2017
13,Adama Diakhaby,"€ 9,308","€ 484,000","€ 509,021",F,19,France,Rennes,Ligue 1,2016-2017
14,Yacouba Sylla,"€ 8,231","€ 428,000","€ 450,126",M,25,Mali,Rennes,Ligue 1,2016-2017
15,Adrien Hunou,"€ 8,115","€ 422,000","€ 443,816",M,22,France,Rennes,Ligue 1,2016-2017
16,Wesley Saïd,"€ 8,058","€ 419,000","€ 440,661",F,21,France,Rennes,Ligue 1,2016-2017
17,Joris Gnagnon,"€ 8,058","€ 419,000","€ 440,661",D,19,France,Rennes,Ligue 1,2016-2017
18,Sanjin Prcic,"€ 8,058","€ 419,000","€ 440,661",M,22,Bosnia-Herzegovina,Rennes,Ligue 1,2016-2017
19,Steven Moreira,"€ 7,981","€ 415,000","€ 436,454",D,21,France,Rennes,Ligue 1,2016-2017
20,Aldo Kalulu,"€ 7,558","€ 393,000","€ 413,317",F,20,France,Rennes,Ligue 1,2016-2017
21,Ermir Lenjani,"€ 7,423","€ 386,000","€ 405,955",M,26,Albania,Rennes,Ligue 1,2016-2017
22,Raïs M'Bolhi,"€ 7,115","€ 370,000","€ 389,128",K,30,Algeria,Rennes,Ligue 1,2016-2017
23,Mehdi Zeffane,"€ 6,769","€ 352,000","€ 370,197",D,24,Algeria,Rennes,Ligue 1,2016-2017
24,Nicolas Janvier,"€ 3,385","€ 176,000","€ 185,099",M,17,France,Rennes,Ligue 1,2016-2017
25,Namakoro Diallo,"€ 2,519","€ 131,000","€ 137,772",D,20,France,Rennes,Ligue 1,2016-2017
26,James Léa Siliki,"€ 2,173","€ 113,000","€ 118,842",M,20,France,Rennes,Ligue 1,2016-2017
27,Romain Cagnon,€ 769,"€ 40,000","€ 42,068",K,19,France,Rennes,Ligue 1,2016-2017
28,Edvinas Gertmonas,€ 692,"€ 36,000","€ 37,861",K,20,Lithuania,Rennes,Ligue 1,2016-2017
29,Séga Coulibaly,€ 0,€ 0,€ 0,D,20,France,Rennes,Ligue 1,2016-2017
30,Anthony Ribelin,€ 0,€ 0,€ 0,M,20,France,Rennes,Ligue 1,2016-2017
31,Denis Will Poha,€ 0,€ 0,€ 0,M,19,France,Rennes,Ligue 1,2016-2017
32,Dimitri Kevin Cavaré,€ 0,€ 0,€ 0,D,21,Guadeloupe,Rennes,Ligue 1,2016-2017
33,Firmin Mubele,€ 0,€ 0,€ 0,F,22,Democratic Republic of Congo,Rennes,Ligue 1,2016-2017
34,Habib Habibou,€ 0,€ 0,€ 0,F,29,Central African Republic,Rennes,Ligue 1,2016-2017
35,Kamil Grosicki,€ 0,€ 0,€ 0,F,28,Poland,Rennes,Ligue 1,2016-2017
36,Kermit Erasmus,€ 0,€ 0,€ 0,F,25,South Africa,Rennes,Ligue 1,2016-2017
37,Mexer,€ 0,€ 0,€ 0,D,27,Mozambique,Rennes,Ligue 1,2016-2017
38,Paul-Georges Ntep,€ 0,€ 0,€ 0,F,23,Cameroon,Rennes,Ligue 1,2016-2017
39,Paul Nardi,€ 0,€ 0,€ 0,K,22,France,Rennes,Ligue 1,2016-2017
40,Pedro Henrique,€ 0,€ 0,€ 0,F,26,Brazil,Rennes,Ligue 1,2016-2017
41,Ramy Bensebaini,€ 0,€ 0,€ 0,D,21,Algeria,Rennes,Ligue 1,2016-2017
42,Sébastien Salles-Lamonge,€ 0,€ 0,€ 0,M,20,France,Rennes,Ligue 1,2016-2017
43,Abdoulaye Diallo,€ 0,€ 0,€ 0,K,24,Senegal,Rennes,Ligue 1,2016-2017
