,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Jimmy Briand,"€ 18,231","€ 948,000","€ 978,890",F,31,France,Guingamp,Ligue 1,2017-2018
2,Clément Grenier,"€ 12,538","€ 652,000","€ 673,245",M,26,France,Guingamp,Ligue 1,2017-2018
3,Jérémy Sorbon,"€ 11,385","€ 592,000","€ 611,290",D,33,France,Guingamp,Ligue 1,2017-2018
4,Lucas Deaux,"€ 10,250","€ 533,000","€ 550,368",M,28,France,Guingamp,Ligue 1,2017-2018
5,Jonathan Martins Pereira,"€ 9,212","€ 479,000","€ 494,608",D,31,France,Guingamp,Ligue 1,2017-2018
6,Yannis Salibur,"€ 9,115","€ 474,000","€ 489,445",F,26,France,Guingamp,Ligue 1,2017-2018
7,Franck Tabanou,"€ 9,115","€ 474,000","€ 489,445",D,28,France,Guingamp,Ligue 1,2017-2018
8,Ludovic Blas,"€ 9,115","€ 474,000","€ 489,445",M,19,France,Guingamp,Ligue 1,2017-2018
9,Christophe Kerbrat,"€ 9,115","€ 474,000","€ 489,445",D,30,France,Guingamp,Ligue 1,2017-2018
10,Félix Eboa Eboa,"€ 7,942","€ 413,000","€ 426,458",D,20,Cameroon,Guingamp,Ligue 1,2017-2018
11,Benjamin Angoua,"€ 7,692","€ 400,000","€ 413,034",D,30,Cote d'Ivoire,Guingamp,Ligue 1,2017-2018
12,Pedro Rebocho,"€ 6,904","€ 359,000","€ 370,698",D,22,Portugal,Guingamp,Ligue 1,2017-2018
13,Lebogang Phiri,"€ 6,904","€ 359,000","€ 370,698",M,22,South Africa,Guingamp,Ligue 1,2017-2018
14,Karl-Johan Johnsson,"€ 6,750","€ 351,000","€ 362,437",K,27,Sweden,Guingamp,Ligue 1,2017-2018
15,Thibault Giresse,"€ 6,750","€ 351,000","€ 362,437",M,36,France,Guingamp,Ligue 1,2017-2018
16,Marcus Thuram,"€ 6,538","€ 340,000","€ 351,079",F,19,France,Guingamp,Ligue 1,2017-2018
17,Denis Petric,"€ 6,288","€ 327,000","€ 337,655",K,29,Serbia,Guingamp,Ligue 1,2017-2018
18,Nathaël Julan,"€ 6,115","€ 318,000","€ 328,362",F,20,France,Guingamp,Ligue 1,2017-2018
19,Marcus Coco,"€ 5,615","€ 292,000","€ 301,515",F,21,France,Guingamp,Ligue 1,2017-2018
20,Jordan Ikoko,"€ 5,615","€ 292,000","€ 301,515",D,23,Democratic Republic of Congo,Guingamp,Ligue 1,2017-2018
21,Marc-Aurèle Caillard,"€ 3,750","€ 195,000","€ 201,354",K,23,France,Guingamp,Ligue 1,2017-2018
22,Mattéo Ahlinvi,"€ 1,519","€ 79,000","€ 81,574",M,17,France,Guingamp,Ligue 1,2017-2018
23,Killian Le Roy,€ 692,"€ 36,000","€ 37,173",K,19,France,Guingamp,Ligue 1,2017-2018
24,Yeni N'Gbakoto,€ 0,€ 0,€ 0,F,25,Democratic Republic of Congo,Guingamp,Ligue 1,2017-2018
25,Étienne Didot,€ 0,€ 0,€ 0,M,33,France,Guingamp,Ligue 1,2017-2018
26,Karim Achahbar,€ 0,€ 0,€ 0,F,21,Morocco,Guingamp,Ligue 1,2017-2018
27,Mustapha Diallo,€ 0,€ 0,€ 0,M,31,Senegal,Guingamp,Ligue 1,2017-2018
28,Nicolas Benezet,€ 0,€ 0,€ 0,F,26,France,Guingamp,Ligue 1,2017-2018
29,Sloan Privat,€ 0,€ 0,€ 0,F,27,French Guiana,Guingamp,Ligue 1,2017-2018
30,Abdoul Camara,€ 0,€ 0,€ 0,F,27,Guinea,Guingamp,Ligue 1,2017-2018
