,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Giovanni Sio,"€ 17,096","€ 889,000","€ 917,968",F,28,Cote d'Ivoire,Montpellier,Ligue 1,2017-2018
2,Souleymane Camara,"€ 16,096","€ 837,000","€ 864,273",F,34,Senegal,Montpellier,Ligue 1,2017-2018
3,Benjamin Lecomte,"€ 15,942","€ 829,000","€ 856,013",K,26,France,Montpellier,Ligue 1,2017-2018
4,Paul Lasne,"€ 15,327","€ 797,000","€ 822,970",M,28,France,Montpellier,Ligue 1,2017-2018
5,Pedro Mendes,"€ 14,808","€ 770,000","€ 795,090",D,26,Portugal,Montpellier,Ligue 1,2017-2018
6,Daniel Congré,"€ 13,673","€ 711,000","€ 734,168",D,32,France,Montpellier,Ligue 1,2017-2018
7,Hilton,"€ 13,519","€ 703,000","€ 725,907",D,39,Brazil,Montpellier,Ligue 1,2017-2018
8,Jérôme Roussillon,"€ 12,769","€ 664,000","€ 685,636",D,24,France,Montpellier,Ligue 1,2017-2018
9,Facundo Píriz,"€ 12,308","€ 640,000","€ 660,854",M,27,Uruguay,Montpellier,Ligue 1,2017-2018
10,Jonathan Ikoné,"€ 11,192","€ 582,000","€ 600,964",M,19,France,Montpellier,Ligue 1,2017-2018
11,Isaac Mbenza,"€ 10,250","€ 533,000","€ 550,368",F,21,Belgium,Montpellier,Ligue 1,2017-2018
12,Ambroise Oyongo,"€ 9,308","€ 484,000","€ 499,771",D,26,Cameroon,Montpellier,Ligue 1,2017-2018
13,Keagan Dolly,"€ 9,115","€ 474,000","€ 489,445",F,24,South Africa,Montpellier,Ligue 1,2017-2018
14,Laurent Pionnier,"€ 9,000","€ 468,000","€ 483,250",K,35,France,Montpellier,Ligue 1,2017-2018
15,Casimir Ninga,"€ 7,981","€ 415,000","€ 428,523",F,24,Chad,Montpellier,Ligue 1,2017-2018
16,Ellyes Skhiri,"€ 7,981","€ 415,000","€ 428,523",M,22,Tunisia,Montpellier,Ligue 1,2017-2018
17,Ruben Aguilar,"€ 6,827","€ 355,000","€ 366,568",D,24,France,Montpellier,Ligue 1,2017-2018
18,Nordi Mukiele,"€ 6,827","€ 355,000","€ 366,568",D,19,France,Montpellier,Ligue 1,2017-2018
19,Junior Sambia,"€ 4,692","€ 244,000","€ 251,951",M,20,France,Montpellier,Ligue 1,2017-2018
20,Nicolas Cozza,"€ 4,673","€ 243,000","€ 250,918",D,18,France,Montpellier,Ligue 1,2017-2018
21,Bryan Passi,"€ 2,712","€ 141,000","€ 145,594",D,19,France,Montpellier,Ligue 1,2017-2018
22,Dimitry Bertaud,"€ 2,308","€ 120,000","€ 123,910",K,19,France,Montpellier,Ligue 1,2017-2018
23,Morgan Poaty,"€ 2,115","€ 110,000","€ 113,584",D,19,France,Montpellier,Ligue 1,2017-2018
24,Killian Sanson,"€ 1,769","€ 92,000","€ 94,998",M,20,France,Montpellier,Ligue 1,2017-2018
25,Romain Caumet,"€ 1,442","€ 75,000","€ 77,444",M,18,France,Montpellier,Ligue 1,2017-2018
26,Jérémie Porsan-Clemente,"€ 1,154","€ 60,000","€ 61,955",D,19,France,Montpellier,Ligue 1,2017-2018
27,Lukas Pokorny,€ 0,€ 0,€ 0,D,23,Czech Republic,Montpellier,Ligue 1,2017-2018
28,Kévin Bérigaud,€ 0,€ 0,€ 0,F,29,France,Montpellier,Ligue 1,2017-2018
29,Stéphane Sessègnon,€ 0,€ 0,€ 0,M,33,Benin,Montpellier,Ligue 1,2017-2018
30,Yanis Ammour,€ 0,€ 0,€ 0,F,18,France,Montpellier,Ligue 1,2017-2018
