,Player,Gross P/W(IN EUR),Gross P/Y(IN EUR),Adj. Gross(IN EUR),Pos. DFKM,Age,Country,Team,League,Season
1,Giannelli Imbula,"€ 67,769","€ 3,524,000","€ 3,638,829",M,24,Democratic Republic of Congo,Toulouse,Ligue 1,2017-2018
2,Andy Delort,"€ 33,769","€ 1,756,000","€ 1,813,219",F,25,Algeria,Toulouse,Ligue 1,2017-2018
3,Max Gradel,"€ 30,000","€ 1,560,000","€ 1,610,832",F,29,Cote d'Ivoire,Toulouse,Ligue 1,2017-2018
4,Yaya Sanogo,"€ 24,442","€ 1,271,000","€ 1,312,415",F,24,France,Toulouse,Ligue 1,2017-2018
5,Ola Toivonen,"€ 21,654","€ 1,126,000","€ 1,162,690",F,30,Sweden,Toulouse,Ligue 1,2017-2018
6,Jimmy Durmaz,"€ 18,231","€ 948,000","€ 978,890",F,28,Sweden,Toulouse,Ligue 1,2017-2018
7,Somália,"€ 14,481","€ 753,000","€ 777,536",M,28,Brazil,Toulouse,Ligue 1,2017-2018
8,Firmin Mubele,"€ 14,212","€ 739,000","€ 763,080",F,23,Democratic Republic of Congo,Toulouse,Ligue 1,2017-2018
9,Christopher Jullien,"€ 13,519","€ 703,000","€ 725,907",D,24,France,Toulouse,Ligue 1,2017-2018
10,Corentin Jean,"€ 11,423","€ 594,000","€ 613,355",F,21,France,Toulouse,Ligue 1,2017-2018
11,François Moubandje,"€ 11,385","€ 592,000","€ 611,290",D,27,Switzerland,Toulouse,Ligue 1,2017-2018
12,Issiaga Sylla,"€ 9,769","€ 508,000","€ 524,553",D,23,Guinea,Toulouse,Ligue 1,2017-2018
13,Steven Fortes,"€ 9,212","€ 479,000","€ 494,608",D,25,Cape Verde,Toulouse,Ligue 1,2017-2018
14,Yann Bodiger,"€ 9,115","€ 474,000","€ 489,445",M,22,France,Toulouse,Ligue 1,2017-2018
15,Issa Diop,"€ 9,115","€ 474,000","€ 489,445",D,20,France,Toulouse,Ligue 1,2017-2018
16,Alban Lafont,"€ 9,115","€ 474,000","€ 489,445",K,18,France,Toulouse,Ligue 1,2017-2018
17,Alexis Blin,"€ 9,000","€ 468,000","€ 483,250",M,20,France,Toulouse,Ligue 1,2017-2018
18,Steeve Yago,"€ 8,019","€ 417,000","€ 430,588",D,24,Burkina Faso,Toulouse,Ligue 1,2017-2018
19,Yannick Cahuzac,"€ 7,404","€ 385,000","€ 397,545",M,32,France,Toulouse,Ligue 1,2017-2018
20,Clément Michelin,"€ 5,019","€ 261,000","€ 269,505",D,20,France,Toulouse,Ligue 1,2017-2018
21,Ibrahim Sangaré,"€ 5,019","€ 261,000","€ 269,505",M,19,Cote d'Ivoire,Toulouse,Ligue 1,2017-2018
22,Marc Vidal,"€ 4,500","€ 234,000","€ 241,625",K,26,France,Toulouse,Ligue 1,2017-2018
23,Kelvin Amian,"€ 4,135","€ 215,000","€ 222,006",D,19,France,Toulouse,Ligue 1,2017-2018
24,Quentin Boisgard,"€ 3,923","€ 204,000","€ 210,647",M,20,France,Toulouse,Ligue 1,2017-2018
25,Mauro Goicoechea,"€ 2,962","€ 154,000","€ 159,018",K,29,Uruguay,Toulouse,Ligue 1,2017-2018
26,Driss Khalid,"€ 1,750","€ 91,000","€ 93,965",F,18,Morocco,Toulouse,Ligue 1,2017-2018
27,Jordan Sebban,"€ 1,500","€ 78,000","€ 80,542",M,20,France,Toulouse,Ligue 1,2017-2018
28,Zinédine Machach,€ 0,€ 0,€ 0,M,21,France,Toulouse,Ligue 1,2017-2018
